racerName_1,count,mean,count_rank_1,ratio_rank_1,count_rank_2,ratio_rank_2,count_rank_3,ratio_rank_3,count_rank_4,ratio_rank_4,count_rank_5,ratio_rank_5,count_rank_6,ratio_rank_6,rank_ratio_rank_1
上　野　　秀　和,23,2.217391304347826,7.0,0.30434782608695654,9.0,0.391304347826087,3.0,0.13043478260869565,3.0,0.13043478260869565,1.0,0.043478260869565216,0.0,0.0,1027.0
下　出　　卓　矢,45,1.511111111111111,33.0,0.7333333333333333,5.0,0.1111111111111111,3.0,0.06666666666666667,0.0,0.0,2.0,0.044444444444444446,1.0,0.022222222222222223,157.0
下　出　　秀　明,21,2.6666666666666665,11.0,0.5238095238095238,2.0,0.09523809523809523,0.0,0.0,2.0,0.09523809523809523,3.0,0.14285714285714285,3.0,0.14285714285714285,630.0
下　寺　　秀　和,36,1.8611111111111112,21.0,0.5833333333333334,8.0,0.2222222222222222,2.0,0.05555555555555555,2.0,0.05555555555555555,2.0,0.05555555555555555,1.0,0.027777777777777776,499.0
下　條　　雄太郎,55,1.3818181818181818,43.0,0.7818181818181819,7.0,0.12727272727272726,3.0,0.05454545454545454,0.0,0.0,2.0,0.03636363636363636,0.0,0.0,70.5
下　河　　誉　史,35,1.9714285714285715,16.0,0.45714285714285713,11.0,0.3142857142857143,3.0,0.08571428571428572,0.0,0.0,2.0,0.05714285714285714,2.0,0.05714285714285714,763.0
下　河　　雅　史,20,2.05,9.0,0.45,6.0,0.3,2.0,0.1,2.0,0.1,0.0,0.0,1.0,0.05,776.0
下　田　　哲　也,38,2.1315789473684212,19.0,0.5,6.0,0.15789473684210525,5.0,0.13157894736842105,2.0,0.05263157894736842,3.0,0.07894736842105263,2.0,0.05263157894736842,679.5
中　井　　俊　祐,37,2.5135135135135136,10.0,0.2702702702702703,13.0,0.35135135135135137,5.0,0.13513513513513514,5.0,0.13513513513513514,2.0,0.05405405405405406,2.0,0.05405405405405406,1065.0
中　北　　将　史,26,3.3076923076923075,8.0,0.3076923076923077,1.0,0.038461538461538464,4.0,0.15384615384615385,4.0,0.15384615384615385,6.0,0.23076923076923078,3.0,0.11538461538461539,1018.5
中　尾　　　　誠,36,1.8333333333333333,24.0,0.6666666666666666,4.0,0.1111111111111111,1.0,0.027777777777777776,2.0,0.05555555555555555,1.0,0.027777777777777776,3.0,0.08333333333333333,316.5
中　山　　　　将,30,1.9333333333333333,23.0,0.7666666666666667,0.0,0.0,1.0,0.03333333333333333,1.0,0.03333333333333333,2.0,0.06666666666666667,3.0,0.1,89.5
中　山　　将　太,28,2.9642857142857144,10.0,0.35714285714285715,4.0,0.14285714285714285,2.0,0.07142857142857142,4.0,0.14285714285714285,5.0,0.17857142857142858,3.0,0.10714285714285714,949.0
中　山　　雄　太,44,1.6136363636363635,32.0,0.7272727272727273,5.0,0.11363636363636363,3.0,0.06818181818181818,1.0,0.022727272727272728,2.0,0.045454545454545456,1.0,0.022727272727272728,171.5
中　岡　　健　人,25,2.24,13.0,0.52,2.0,0.08,5.0,0.2,2.0,0.08,2.0,0.08,1.0,0.04,637.5
中　岡　　正　彦,65,1.2153846153846153,56.0,0.8615384615384616,5.0,0.07692307692307693,1.0,0.015384615384615385,0.0,0.0,2.0,0.03076923076923077,0.0,0.0,7.5
中　島　　友　和,48,2.0,24.0,0.5,12.0,0.25,5.0,0.10416666666666667,3.0,0.0625,3.0,0.0625,1.0,0.020833333333333332,679.5
中　島　　孝　平,48,1.7291666666666667,33.0,0.6875,6.0,0.125,3.0,0.0625,3.0,0.0625,1.0,0.020833333333333332,2.0,0.041666666666666664,270.0
中　島　　浩　哉,25,1.84,13.0,0.52,8.0,0.32,2.0,0.08,0.0,0.0,1.0,0.04,1.0,0.04,637.5
中　島　　真　二,20,2.35,6.0,0.3,7.0,0.35,0.0,0.0,3.0,0.15,3.0,0.15,0.0,0.0,1033.5
中　嶋　　健一郎,31,1.2580645161290323,26.0,0.8387096774193549,3.0,0.0967741935483871,1.0,0.03225806451612903,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,17.5
中　嶋　　誠一郎,51,1.8431372549019607,28.0,0.5490196078431373,12.0,0.23529411764705882,5.0,0.09803921568627451,4.0,0.0784313725490196,1.0,0.0196078431372549,1.0,0.0196078431372549,573.5
中　嶋　　達　也,20,3.5,5.0,0.25,3.0,0.15,1.0,0.05,2.0,0.1,6.0,0.3,3.0,0.15,1078.0
中　川　　り　な,26,2.576923076923077,11.0,0.4230769230769231,1.0,0.038461538461538464,4.0,0.15384615384615385,4.0,0.15384615384615385,4.0,0.15384615384615385,1.0,0.038461538461538464,826.0
中　村　　　　尊,40,1.575,26.0,0.65,9.0,0.225,2.0,0.05,2.0,0.05,1.0,0.025,0.0,0.0,367.5
中　村　　　　格,29,2.9310344827586206,7.0,0.2413793103448276,6.0,0.20689655172413793,5.0,0.1724137931034483,5.0,0.1724137931034483,5.0,0.1724137931034483,1.0,0.034482758620689655,1085.0
中　村　　　　真,34,1.7352941176470589,17.0,0.5,9.0,0.2647058823529412,5.0,0.14705882352941177,1.0,0.029411764705882353,1.0,0.029411764705882353,0.0,0.0,679.5
中　村　　亮　太,54,1.6111111111111112,39.0,0.7222222222222222,8.0,0.14814814814814814,2.0,0.037037037037037035,1.0,0.018518518518518517,2.0,0.037037037037037035,2.0,0.037037037037037035,180.0
中　村　　守　成,32,2.09375,15.0,0.46875,8.0,0.25,3.0,0.09375,1.0,0.03125,1.0,0.03125,3.0,0.09375,734.0
中　村　　将　隆,22,2.772727272727273,4.0,0.18181818181818182,6.0,0.2727272727272727,3.0,0.13636363636363635,6.0,0.2727272727272727,0.0,0.0,2.0,0.09090909090909091,1134.0
中　村　　晃　朋,56,1.4821428571428572,40.0,0.7142857142857143,9.0,0.16071428571428573,2.0,0.03571428571428571,2.0,0.03571428571428571,1.0,0.017857142857142856,1.0,0.017857142857142856,207.0
中　村　　有　裕,43,1.9767441860465116,25.0,0.5813953488372093,8.0,0.18604651162790697,2.0,0.046511627906976744,4.0,0.09302325581395349,2.0,0.046511627906976744,2.0,0.046511627906976744,503.5
中　村　　泰　平,30,1.8666666666666667,17.0,0.5666666666666667,6.0,0.2,3.0,0.1,3.0,0.1,0.0,0.0,1.0,0.03333333333333333,532.5
中　村　　裕　将,40,1.5,26.0,0.65,8.0,0.2,0.0,0.0,2.0,0.05,2.0,0.05,0.0,0.0,367.5
中　村　　辰　也,29,1.7241379310344827,16.0,0.5517241379310345,8.0,0.27586206896551724,0.0,0.0,2.0,0.06896551724137931,2.0,0.06896551724137931,0.0,0.0,568.0
中　林　　秀　人,24,2.9166666666666665,8.0,0.3333333333333333,3.0,0.125,3.0,0.125,5.0,0.20833333333333334,3.0,0.125,2.0,0.08333333333333333,982.5
中　渡　　修　作,32,1.625,19.0,0.59375,8.0,0.25,2.0,0.0625,0.0,0.0,1.0,0.03125,1.0,0.03125,477.0
中　澤　　和　志,66,1.6818181818181819,46.0,0.696969696969697,9.0,0.13636363636363635,3.0,0.045454545454545456,5.0,0.07575757575757576,0.0,0.0,3.0,0.045454545454545456,249.0
中　澤　　宏　奈,24,2.5833333333333335,8.0,0.3333333333333333,4.0,0.16666666666666666,4.0,0.16666666666666666,3.0,0.125,2.0,0.08333333333333333,2.0,0.08333333333333333,982.5
中　田　　元　泰,41,1.8048780487804879,27.0,0.6585365853658537,6.0,0.14634146341463414,2.0,0.04878048780487805,2.0,0.04878048780487805,3.0,0.07317073170731707,1.0,0.024390243902439025,342.5
中　田　　友　也,28,2.1785714285714284,15.0,0.5357142857142857,5.0,0.17857142857142858,2.0,0.07142857142857142,2.0,0.07142857142857142,2.0,0.07142857142857142,2.0,0.07142857142857142,606.0
中　田　　夕　貴,27,2.0,14.0,0.5185185185185185,7.0,0.25925925925925924,2.0,0.07407407407407407,2.0,0.07407407407407407,0.0,0.0,2.0,0.07407407407407407,644.0
中　田　　竜　太,45,1.9555555555555555,30.0,0.6666666666666666,4.0,0.08888888888888889,2.0,0.044444444444444446,4.0,0.08888888888888889,2.0,0.044444444444444446,3.0,0.06666666666666667,316.5
中　田　　達　也,55,2.018181818181818,33.0,0.6,8.0,0.14545454545454545,3.0,0.05454545454545454,5.0,0.09090909090909091,3.0,0.05454545454545454,3.0,0.05454545454545454,467.5
中　西　　宏　文,29,3.2758620689655173,5.0,0.1724137931034483,6.0,0.20689655172413793,3.0,0.10344827586206896,6.0,0.20689655172413793,3.0,0.10344827586206896,5.0,0.1724137931034483,1140.0
中　谷　　朋　子,33,1.303030303030303,27.0,0.8181818181818182,4.0,0.12121212121212122,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,32.5
中　越　　博　紀,46,1.6521739130434783,33.0,0.717391304347826,5.0,0.10869565217391304,2.0,0.043478260869565216,1.0,0.021739130434782608,1.0,0.021739130434782608,3.0,0.06521739130434782,197.0
中　辻　　博　訓,60,1.2166666666666666,46.0,0.7666666666666667,11.0,0.18333333333333332,0.0,0.0,0.0,0.0,1.0,0.016666666666666666,0.0,0.0,89.5
中　辻　　崇　人,46,1.5434782608695652,35.0,0.7608695652173914,3.0,0.06521739130434782,4.0,0.08695652173913043,2.0,0.043478260869565216,2.0,0.043478260869565216,0.0,0.0,103.0
中　里　　優　子,26,1.9230769230769231,15.0,0.5769230769230769,4.0,0.15384615384615385,2.0,0.07692307692307693,1.0,0.038461538461538464,1.0,0.038461538461538464,2.0,0.07692307692307693,511.5
中　里　　昌　志,45,1.8444444444444446,22.0,0.4888888888888889,12.0,0.26666666666666666,4.0,0.08888888888888889,5.0,0.1111111111111111,1.0,0.022222222222222223,0.0,0.0,699.0
中　里　　英　夫,53,1.5471698113207548,35.0,0.660377358490566,11.0,0.20754716981132076,5.0,0.09433962264150944,0.0,0.0,2.0,0.03773584905660377,0.0,0.0,332.5
中　野　　次　郎,58,1.5172413793103448,44.0,0.7586206896551724,8.0,0.13793103448275862,1.0,0.017241379310344827,2.0,0.034482758620689655,1.0,0.017241379310344827,2.0,0.034482758620689655,110.0
丸　尾　　義　孝,60,1.5666666666666667,41.0,0.6833333333333333,11.0,0.18333333333333332,4.0,0.06666666666666667,2.0,0.03333333333333333,1.0,0.016666666666666666,1.0,0.016666666666666666,275.5
丸　岡　　正　典,56,1.4642857142857142,43.0,0.7678571428571429,9.0,0.16071428571428573,0.0,0.0,1.0,0.017857142857142856,1.0,0.017857142857142856,2.0,0.03571428571428571,87.0
丸　野　　一　樹,58,1.5689655172413792,42.0,0.7241379310344828,5.0,0.08620689655172414,3.0,0.05172413793103448,2.0,0.034482758620689655,2.0,0.034482758620689655,2.0,0.034482758620689655,176.5
丹　下　　　　健,21,1.9047619047619047,9.0,0.42857142857142855,7.0,0.3333333333333333,4.0,0.19047619047619047,0.0,0.0,1.0,0.047619047619047616,0.0,0.0,815.0
丹　下　　　　将,40,1.75,23.0,0.575,8.0,0.2,3.0,0.075,3.0,0.075,2.0,0.05,0.0,0.0,515.0
乃　村　　康　友,27,2.2222222222222223,14.0,0.5185185185185185,7.0,0.25925925925925924,0.0,0.0,1.0,0.037037037037037035,2.0,0.07407407407407407,3.0,0.1111111111111111,644.0
久　富　　政　弘,27,2.259259259259259,11.0,0.4074074074074074,6.0,0.2222222222222222,6.0,0.2222222222222222,2.0,0.07407407407407407,0.0,0.0,2.0,0.07407407407407407,858.0
久　田　　　　武,34,2.0294117647058822,13.0,0.38235294117647056,10.0,0.29411764705882354,7.0,0.20588235294117646,1.0,0.029411764705882353,1.0,0.029411764705882353,1.0,0.029411764705882353,906.5
久　田　　敏　之,52,1.6923076923076923,34.0,0.6538461538461539,11.0,0.21153846153846154,2.0,0.038461538461538464,1.0,0.019230769230769232,2.0,0.038461538461538464,2.0,0.038461538461538464,350.5
久保田　　美　紀,24,3.2916666666666665,1.0,0.041666666666666664,10.0,0.4166666666666667,3.0,0.125,4.0,0.16666666666666666,3.0,0.125,3.0,0.125,1177.0
乙　津　　康　志,43,2.3255813953488373,16.0,0.37209302325581395,12.0,0.27906976744186046,6.0,0.13953488372093023,4.0,0.09302325581395349,4.0,0.09302325581395349,1.0,0.023255813953488372,922.0
乙　藤　　智　史,54,1.4074074074074074,44.0,0.8148148148148148,5.0,0.09259259259259259,1.0,0.018518518518518517,2.0,0.037037037037037035,1.0,0.018518518518518517,1.0,0.018518518518518517,37.0
亀　山　　雅　幸,43,1.6511627906976745,30.0,0.6976744186046512,5.0,0.11627906976744186,2.0,0.046511627906976744,5.0,0.11627906976744186,1.0,0.023255813953488372,0.0,0.0,247.0
亀　山　　高　雅,27,2.5185185185185186,9.0,0.3333333333333333,10.0,0.37037037037037035,1.0,0.037037037037037035,2.0,0.07407407407407407,2.0,0.07407407407407407,3.0,0.1111111111111111,982.5
亀　本　　勇　樹,48,1.75,28.0,0.5833333333333334,12.0,0.25,3.0,0.0625,2.0,0.041666666666666664,3.0,0.0625,0.0,0.0,499.0
二　宮　　博　貴,20,3.3,6.0,0.3,2.0,0.1,0.0,0.0,4.0,0.2,2.0,0.1,5.0,0.25,1033.5
二　橋　　　　学,35,2.342857142857143,12.0,0.34285714285714286,8.0,0.22857142857142856,6.0,0.17142857142857143,4.0,0.11428571428571428,4.0,0.11428571428571428,0.0,0.0,970.5
五反田　　　　忍,43,1.9534883720930232,28.0,0.6511627906976745,6.0,0.13953488372093023,2.0,0.046511627906976744,2.0,0.046511627906976744,0.0,0.0,5.0,0.11627906976744186,361.5
井　上　　一　輝,43,1.6046511627906976,31.0,0.7209302325581395,5.0,0.11627906976744186,4.0,0.09302325581395349,0.0,0.0,2.0,0.046511627906976744,1.0,0.023255813953488372,186.5
井　上　　大　輔,46,2.0217391304347827,26.0,0.5652173913043478,6.0,0.13043478260869565,7.0,0.15217391304347827,3.0,0.06521739130434782,2.0,0.043478260869565216,2.0,0.043478260869565216,537.5
井　上　　尚　悟,27,2.5555555555555554,12.0,0.4444444444444444,4.0,0.14814814814814814,2.0,0.07407407407407407,4.0,0.14814814814814814,3.0,0.1111111111111111,2.0,0.07407407407407407,786.0
井　上　　忠　政,25,1.96,13.0,0.52,6.0,0.24,3.0,0.12,1.0,0.04,1.0,0.04,1.0,0.04,637.5
井　上　　恵　一,38,2.1052631578947367,19.0,0.5,6.0,0.15789473684210525,5.0,0.13157894736842105,3.0,0.07894736842105263,2.0,0.05263157894736842,2.0,0.05263157894736842,679.5
井　内　　将太郎,39,1.5897435897435896,23.0,0.5897435897435898,8.0,0.20512820512820512,3.0,0.07692307692307693,2.0,0.05128205128205128,0.0,0.0,1.0,0.02564102564102564,485.0
井　口　　佳　典,52,1.3653846153846154,39.0,0.75,5.0,0.09615384615384616,2.0,0.038461538461538464,0.0,0.0,2.0,0.038461538461538464,1.0,0.019230769230769232,122.5
井　川　　大　作,37,2.945945945945946,8.0,0.21621621621621623,11.0,0.2972972972972973,4.0,0.10810810810810811,7.0,0.1891891891891892,3.0,0.08108108108108109,4.0,0.10810810810810811,1114.0
井　川　　正　人,22,3.590909090909091,4.0,0.18181818181818182,3.0,0.13636363636363635,4.0,0.18181818181818182,3.0,0.13636363636363635,3.0,0.13636363636363635,5.0,0.22727272727272727,1134.0
井　川　　真　人,26,2.576923076923077,10.0,0.38461538461538464,4.0,0.15384615384615385,6.0,0.23076923076923078,2.0,0.07692307692307693,1.0,0.038461538461538464,3.0,0.11538461538461539,899.5
井　手　　良　太,24,2.4166666666666665,9.0,0.375,7.0,0.2916666666666667,3.0,0.125,1.0,0.041666666666666664,2.0,0.08333333333333333,2.0,0.08333333333333333,917.5
今　井　　美　亜,64,1.796875,43.0,0.671875,8.0,0.125,4.0,0.0625,4.0,0.0625,2.0,0.03125,3.0,0.046875,304.0
今　井　　裕　梨,23,2.782608695652174,10.0,0.43478260869565216,3.0,0.13043478260869565,1.0,0.043478260869565216,3.0,0.13043478260869565,3.0,0.13043478260869565,3.0,0.13043478260869565,802.5
今　井　　貴　士,56,1.6607142857142858,38.0,0.6785714285714286,5.0,0.08928571428571429,8.0,0.14285714285714285,4.0,0.07142857142857142,1.0,0.017857142857142856,0.0,0.0,285.0
今　坂　　晃　広,35,2.0285714285714285,20.0,0.5714285714285714,7.0,0.2,3.0,0.08571428571428572,0.0,0.0,2.0,0.05714285714285714,3.0,0.08571428571428572,521.5
今　垣　　光太郎,51,1.588235294117647,34.0,0.6666666666666666,9.0,0.17647058823529413,4.0,0.0784313725490196,3.0,0.058823529411764705,1.0,0.0196078431372549,0.0,0.0,316.5
今　村　　　　豊,47,2.25531914893617,24.0,0.5106382978723404,9.0,0.19148936170212766,4.0,0.0851063829787234,2.0,0.0425531914893617,4.0,0.0851063829787234,4.0,0.0851063829787234,659.0
今　村　　暢　孝,27,2.037037037037037,13.0,0.48148148148148145,6.0,0.2222222222222222,2.0,0.07407407407407407,2.0,0.07407407407407407,2.0,0.07407407407407407,1.0,0.037037037037037035,714.5
今　泉　　友　吾,51,1.4901960784313726,34.0,0.6666666666666666,8.0,0.1568627450980392,6.0,0.11764705882352941,2.0,0.0392156862745098,0.0,0.0,0.0,0.0,316.5
仲　口　　博　崇,48,1.7916666666666667,29.0,0.6041666666666666,11.0,0.22916666666666666,1.0,0.020833333333333332,3.0,0.0625,4.0,0.08333333333333333,0.0,0.0,460.5
仲　谷　　颯　仁,41,1.7073170731707317,28.0,0.6829268292682927,7.0,0.17073170731707318,2.0,0.04878048780487805,0.0,0.0,2.0,0.04878048780487805,2.0,0.04878048780487805,277.0
伊　藤　　啓　三,47,1.3829787234042554,35.0,0.7446808510638298,6.0,0.1276595744680851,3.0,0.06382978723404255,1.0,0.02127659574468085,1.0,0.02127659574468085,0.0,0.0,133.5
伊　藤　　喜　智,23,2.5217391304347827,8.0,0.34782608695652173,7.0,0.30434782608695654,4.0,0.17391304347826086,0.0,0.0,0.0,0.0,4.0,0.17391304347826086,962.5
伊　藤　　将　吉,21,1.7142857142857142,15.0,0.7142857142857143,3.0,0.14285714285714285,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,2.0,0.09523809523809523,207.0
伊　藤　　誠　二,46,1.5434782608695652,31.0,0.6739130434782609,9.0,0.1956521739130435,3.0,0.06521739130434782,2.0,0.043478260869565216,1.0,0.021739130434782608,0.0,0.0,298.5
伊　達　　正　利,28,2.107142857142857,14.0,0.5,6.0,0.21428571428571427,4.0,0.14285714285714285,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,679.5
伏　島　　祐　介,28,2.1785714285714284,10.0,0.35714285714285715,9.0,0.32142857142857145,4.0,0.14285714285714285,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142,949.0
伏　見　　俊　介,24,2.375,10.0,0.4166666666666667,5.0,0.20833333333333334,5.0,0.20833333333333334,0.0,0.0,2.0,0.08333333333333333,2.0,0.08333333333333333,838.5
伯　母　　芳　恒,44,1.8409090909090908,28.0,0.6363636363636364,4.0,0.09090909090909091,5.0,0.11363636363636363,2.0,0.045454545454545456,2.0,0.045454545454545456,2.0,0.045454545454545456,398.0
伴　　　　将　典,22,2.5454545454545454,10.0,0.45454545454545453,4.0,0.18181818181818182,3.0,0.13636363636363635,0.0,0.0,1.0,0.045454545454545456,4.0,0.18181818181818182,766.5
佐　口　　達　也,34,1.9411764705882353,17.0,0.5,8.0,0.23529411764705882,1.0,0.029411764705882353,5.0,0.14705882352941177,2.0,0.058823529411764705,0.0,0.0,679.5
佐　川　　正　道,24,2.625,4.0,0.16666666666666666,11.0,0.4583333333333333,4.0,0.16666666666666666,2.0,0.08333333333333333,1.0,0.041666666666666664,2.0,0.08333333333333333,1143.5
佐　竹　　友　樹,33,2.212121212121212,14.0,0.42424242424242425,9.0,0.2727272727272727,5.0,0.15151515151515152,0.0,0.0,4.0,0.12121212121212122,1.0,0.030303030303030304,821.5
佐　竹　　太　一,21,2.619047619047619,10.0,0.47619047619047616,2.0,0.09523809523809523,2.0,0.09523809523809523,3.0,0.14285714285714285,1.0,0.047619047619047616,3.0,0.14285714285714285,727.0
佐　竹　　恒　彦,32,1.625,20.0,0.625,6.0,0.1875,4.0,0.125,2.0,0.0625,0.0,0.0,0.0,0.0,428.5
佐　藤　　　　旭,27,2.5925925925925926,8.0,0.2962962962962963,7.0,0.25925925925925924,2.0,0.07407407407407407,5.0,0.18518518518518517,2.0,0.07407407407407407,2.0,0.07407407407407407,1039.5
佐　藤　　　　翼,50,1.3,40.0,0.8,4.0,0.08,1.0,0.02,2.0,0.04,0.0,0.0,1.0,0.02,49.5
佐　藤　　博　亮,40,2.125,20.0,0.5,9.0,0.225,5.0,0.125,1.0,0.025,2.0,0.05,3.0,0.075,679.5
佐　藤　　大　介,49,1.489795918367347,35.0,0.7142857142857143,5.0,0.10204081632653061,6.0,0.12244897959183673,0.0,0.0,2.0,0.04081632653061224,0.0,0.0,207.0
佐　藤　　大　佑,39,2.769230769230769,19.0,0.48717948717948717,3.0,0.07692307692307693,3.0,0.07692307692307693,3.0,0.07692307692307693,4.0,0.10256410256410256,7.0,0.1794871794871795,703.5
佐　藤　　大　騎,24,1.9166666666666667,14.0,0.5833333333333334,2.0,0.08333333333333333,3.0,0.125,2.0,0.08333333333333333,1.0,0.041666666666666664,1.0,0.041666666666666664,499.0
