date,venue,raceNumber,CS_ST_1_1,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-12-12,平和島,2,.26,,.26,.24,,.25,,,,,.22,,,.17,.05,,.21,.13,,,,.23,,,,.17,.12,.23,,,,,.07,,,.24,.14,.05,.11,,,,,.19,,,.09,.14,,.17,.17,,,,.19,,,,.22,.20,.15,,,,,3,,2,4,,6,,,,,4,,,2,1,,3,6,,,,1,,,,2,5,6,,,,,3,,,5,6,3,2,,,,,1,,,4,6,,3,2,,,,2,,,,5,4,1,,,,,3,,2,4,,6,,,,,4,,,2,1,,3,6,,,,1,,,,2,5,6,,,,,4,,,5,6,3,2,,,,,1,,,4,6,,3,2,,,,2,,,,5,4,1,,,,,3,,8,5,,3,,,,,3,,,10,9,,1,10,,,,3,,,,3,8,9,,,,,1,,,9,4,9,7,,,,,7,,,11,10,,2,12,,,,5,,,,1,12,1,,,,,４,,６,６,,６,,,,,６,,,３,２,,１,３,,,,５,,,,２,５,３,,,,,１,,,２,１,５,３,,,,,１,,,４,３,,４,２,,,,３,,,,４,３,２,,,,,0.26,0.12,0.16,0.15,0.17,0.17, 28, 14, 73, 35, 46, 26, 50.00, 29.13, 27.96, 27.78, 35.56, 33.64, 64.42, 43.69, 49.46, 41.11, 52.22, 42.06, 35, 36, 51, 12, 10, 24, 39.80, 24.44, 32.98, 39.36, 22.11, 26.88, 56.12, 41.11, 41.49, 57.45, 40.00, 41.94,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 8.00,44.44,18.75,53.33,38.89, 0.00, 3.17,41.58,21.62,52.63,51.18,39.42,16.00,55.56,25.00,60.00,61.11, 0.00,15.87,62.38,45.95,63.16,70.87,61.54,櫻　井　　　　優,馬　場　　　　剛,中　村　　魁　生,上　田　　龍　星,新　開　　　　航,吉　川　　貴　仁,5035,4769,4967,4908,4932,4926, 2.60, 6.17, 3.88, 6.60, 5.56, 2.12, 2.48, 6.36, 4.47, 6.42, 6.62, 5.82
2019-12-12,多摩川,2,.22,,,,,,,,,,.11,,,,,,,,,,,.22,,,.20,,,,,,,,.29,,,,,,,,,,,.09,,,,,,,,,,,.09,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,6,,,4,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,6,,,4,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,7,,,12,,,,,,,,9,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,６,,,,,,,,,,４,,,,,,,,,,,３,,,６,,,,,,,,２,,,,,,,,,,,１,,,,,,,,,,,１,,,,,,,,,,,0.20,0.19,0.17,0.21,0.16,0.15,148,129,140,131,165,154, 41.82, 38.74, 24.55, 38.94, 33.03, 40.18, 60.00, 54.05, 41.82, 47.79, 54.13, 58.93, 16, 62, 11, 47, 33, 54, 29.73, 30.97, 34.82, 32.74, 28.97, 31.96, 40.54, 47.79, 44.64, 50.44, 46.73, 46.39,F0,F0,F1,F1,F0,F0,L0,L0,L0,L0,L0,L0,31.25,39.39,22.22, 0.00, 0.00,36.67,13.79,30.68,45.59,10.71,33.02,36.04,37.50,63.64,33.33, 2.86,33.33,60.00,27.59,50.00,67.65,22.62,52.83,59.46,塚　原　　武　之,後　藤　　隼　之,青　木　　玄　太,金　山　　立　樹,幸　田　　智　裕,宮　武　　英　司,3594,4676,4448,4976,4068,3442, 4.69, 5.79, 4.22, 1.69, 3.67, 5.73, 3.72, 5.22, 6.43, 3.56, 5.46, 5.68
2019-12-12,　津　,2,.14,,,,,,,,,,.19,,,,,,,,,,,.16,,,.14,,,,,,,,.17,,,.23,,,,,,,,.23,,,,,,,,,,,.13,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,5,,,1,,,,,,,,5,,,1,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,4,,,1,,,,,,,,5,,,1,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,1,,,9,,,,,,,,2,,,6,,,,,,,,9,,,,,,,,,,,3,,,,,,,,,,,３,,,,,,,,,,６,,,,,,,,,,,６,,,１,,,,,,,,４,,,６,,,,,,,,６,,,,,,,,,,,４,,,,,,,,,,,0.17,0.20,0.21,0.16,0.28,0.16, 72, 41, 61, 75, 33, 13, 23.08, 31.82, 36.36, 51.72, 41.18, 41.30, 33.33, 38.64, 52.27, 63.79, 49.02, 60.87, 23, 45, 56, 35, 30, 38, 31.51, 25.00, 36.92, 36.51, 51.43, 29.41, 43.84, 46.67, 52.31, 53.97, 64.29, 48.53,F1,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,24.77, 0.00,23.40,10.53, 0.00, 0.00,22.54,28.24,18.42,17.81, 7.27,18.27,39.45, 0.00,42.55,21.05,10.00, 0.00,38.03,38.82,28.95,32.88,21.82,41.35,安　田　　吉　宏,崎　　　　利　仁,本　部　　めぐみ,出　本　　正　博,長　田　　光　子,阿　波　　勝　哉,4461,3973,3704,3338,3117,3857, 4.45, 0.00, 4.55, 3.16, 2.80, 0.00, 4.23, 4.56, 3.68, 4.00, 3.13, 4.36
2019-12-12,尼　崎,2,.15,,,,,,,,,,.06,,,,,,,,,,,.13,,,.19,,,,,,,,.23,,,,,,,,,,,.19,,,,,,,,,,,.17,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,4,,,1,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,8,,,12,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,,,8,,,,,,,,,,,５,,,,,,,,,,４,,,,,,,,,,,１,,,１,,,,,,,,５,,,,,,,,,,,４,,,,,,,,,,,４,,,,,,,,,,,0.16,0.16,0.16,0.21,0.19,0.20, 60, 47, 32, 25, 38, 54, 32.03, 30.14, 31.06, 31.16, 28.99, 42.74, 45.31, 45.89, 47.73, 57.25, 46.38, 54.70, 26,  4, 22,  6, 31, 36, 26.81, 30.28, 37.23, 27.94, 35.97, 29.58, 42.75, 44.37, 56.20, 40.44, 47.48, 48.59,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0, 6.67,28.57,59.76,57.14,16.67,38.10,29.63,11.11,40.38,20.59,26.03,21.28,20.00,35.71,74.56,71.43,33.33,57.14,45.68,16.67,55.77,32.35,42.47,40.43,大　西　　隆　洋,福　本　　忠　治,芝　田　　浩　治,新　地　　雅　洋,田　山　　和　広,井　川　　真　人,3701,3325,3484,3079,3537,3585, 2.73, 4.36, 7.31, 6.57, 4.17, 5.38, 4.81, 3.31, 6.17, 3.88, 4.63, 4.36
2019-12-12,鳴　門,2,.18,,,.16,.12,,,,,,.23,,,.15,.14,,,,,,,.28,,,.19,.13,,,,,,,.12,,,.17,.09,.08,,,,,,.18,,,,.16,.12,,,,,,.25,,,.19,.16,,,,,,,4,,,3,2,,,,,,5,,,1,3,,,,,,,5,,,2,5,,,,,,,3,,,5,6,2,,,,,,6,,,,1,4,,,,,,1,,,5,3,,,,,,,4,,,3,2,,,,,,5,,,1,3,,,,,,,5,,,2,4,,,,,,,3,,,5,6,2,,,,,,6,,,,1,4,,,,,,1,,,5,3,,,,,,,2,,,4,12,,,,,,5,,,10,7,,,,,,,1,,,6,3,,,,,,,7,,,12,5,11,,,,,,9,,,,6,10,,,,,,2,,,7,9,,,,,,,５,,,２,６,,,,,,３,,,１,４,,,,,,,５,,,４,６,,,,,,,１,,,３,２,３,,,,,,２,,,,１,４,,,,,,６,,,４,５,,,,,,,0.19,0.21,0.22,0.18,0.19,0.16, 29, 18, 61, 21, 25, 58, 36.72, 37.69, 35.07, 38.06, 33.33, 38.28, 52.34, 59.23, 50.75, 55.22, 49.59, 48.44, 73, 62, 18, 74, 29, 78, 32.14, 32.12, 30.15, 42.95, 41.18, 31.85, 50.71, 53.28, 49.26, 57.72, 58.17, 49.63,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,47.73, 0.00,15.38,58.82,14.29,50.00,38.24,16.81,14.29,54.89,21.52,44.88,68.18, 0.00,23.08,76.47,28.57,66.67,64.71,37.17,37.50,75.94,34.18,58.27,柘　植　　政　浩,西　川　　真　人,貫地谷　　直　人,岡　田　　憲　行,森　下　　愛　梨,飯　山　　晃　三,4120,4253,4097,3872,4984,3906, 6.36, 0.00, 3.31, 7.35, 3.50, 6.22, 6.03, 4.23, 3.93, 7.05, 4.23, 5.71
2019-12-12,丸　亀,2,.21,,,,,,,,,,.21,,,,,,,,,,,.19,,,.22,,,,,,,,.09,,,,,,,,,,,.13,,,,,,,,,,,.33,,,.23,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,4,,,5,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,6,,,6,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,4,,,5,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,5,,,6,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,1,,,8,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,2,,,8,,,,,,,,５,,,,,,,,,,２,,,,,,,,,,,５,,,３,,,,,,,,２,,,,,,,,,,,５,,,,,,,,,,,６,,,６,,,,,,,,0.19,0.20,0.21,0.18,0.19,   -, 20, 23,  9, 50, 56, 59, 33.33, 33.78, 32.10, 32.91, 29.11, 37.97, 53.09, 54.05, 48.15, 53.16, 45.57, 50.63, 66, 54, 17, 48, 24, 23, 33.33, 20.00, 30.00, 41.67, 20.00, 45.45, 55.56, 60.00, 30.00, 83.33, 40.00, 63.64,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 6.82,22.22,18.75,42.11,11.76, 0.00,14.12,30.00,13.51,26.87,20.43, 0.00,13.64,33.33,18.75,52.63,29.41, 0.00,30.59,53.33,21.62,53.73,37.63, 0.00,曾　根　　孝　仁,三　苫　　晃　幸,中　島　　昂　章,伊　藤　　喜　智,橋　口　　真　樹,富　田　　恕　生,4249,4463,4661,4389,3945,5105, 2.70, 3.89, 3.25, 5.68, 3.76, 0.00, 3.51, 5.30, 3.08, 4.94, 4.15, 1.25
2019-12-12,宮　島,2,.18,,.26,.14,,,,,,,.13,,,.17,.20,,,,,,,.24,,,.21,.18,,,,,,,.19,,,,.29,.19,,,,,,.18,,,,.23,.22,,,,,,.16,,,.27,.13,,,,,,,4,,6,2,,,,,,,6,,,4,3,,,,,,,4,,,2,5,,,,,,,4,,,,6,2,,,,,,1,,,,6,3,,,,,,5,,,1,6,,,,,,,4,,6,2,,,,,,,6,,,4,3,,,,,,,4,,,2,5,,,,,,,5,,,,6,2,,,,,,1,,,,6,3,,,,,,4,,,1,5,,,,,,,2,,11,5,,,,,,,2,,,8,8,,,,,,,4,,,11,1,,,,,,,1,,,,5,10,,,,,,2,,,,2,9,,,,,,1,,,7,11,,,,,,,１,,５,４,,,,,,,６,,,５,３,,,,,,,２,,,４,５,,,,,,,３,,,,５,６,,,,,,４,,,,６,６,,,,,,４,,,１,４,,,,,,,0.18,0.18,0.22,0.18,0.22,0.19, 50, 48, 60, 64, 33, 72, 32.43, 24.49, 33.33, 57.14, 22.50, 37.93, 54.05, 46.94, 50.00, 85.71, 32.50, 48.28, 72, 64, 24, 30, 17, 57, 70.00, 28.95, 27.78, 39.47, 35.48, 20.00, 76.67, 47.37, 47.22, 57.89, 51.61, 43.33,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,31.50,44.44,32.00,43.75,38.89,23.53,28.16,14.52,16.98,18.37,21.88,25.81,46.46,50.00,40.00,75.00,50.00,44.12,44.66,24.19,35.85,38.78,39.06,44.09,谷　　　　勝　幸,今　泉　　和　則,山　口　　哲　治,浦　田　　信　義,森　脇　　　　徹,水　長　　照　雄,3614,3799,3025,3226,3164,3559, 5.21, 5.50, 4.64, 6.44, 5.00, 4.68, 4.85, 3.42, 4.09, 4.16, 4.27, 4.52
2019-12-12,下　関,2,.25,,,.08,.16,.09,,,,,.29,,,,.20,.21,.06,,,,,.25,,,.26,.12,,.25,,,,,.18,,,,.14,.13,.21,,,,,.13,,,,.09,.28,.18,,,,,.26,,,.19,.29,,.18,.06,,,,6,,,3,5,2,,,,,4,,,,6,2,3,,,,,4,,,3,5,,2,,,,,5,,,,1,2,6,,,,,4,,,,6,2,1,,,,,2,,,1,4,,4,2,,,,6,,,3,5,2,,,,,1,,,,6,2,3,,,,,4,,,3,5,,2,,,,,5,,,,1,2,6,,,,,4,,,,6,2,1,,,,,3,,,1,4,,5,2,,,,7,,,2,11,9,,,,,4,,,,1,5,8,,,,,1,,,8,5,,1,,,,,8,,,,6,12,3,,,,,3,,,,2,8,4,,,,,4,,,8,3,,4,8,,,,２,,,３,６,２,,,,,５,,,,５,３,３,,,,,６,,,５,４,,２,,,,,４,,,,５,６,５,,,,,６,,,,５,６,２,,,,,３,,,２,６,,５,１,,,,0.17,0.17,0.13,0.17,0.19,0.18, 45, 44, 63, 64, 57, 32, 34.48, 42.00, 35.81, 26.03, 36.99, 38.51, 55.86, 61.33, 51.35, 42.47, 52.74, 57.43, 27, 67, 40, 22, 56, 39, 34.38, 34.78, 26.67, 39.71, 31.54, 33.11, 48.75, 45.65, 48.89, 55.88, 45.64, 45.27,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,33.33,11.11,30.00,26.32,31.03,16.67,25.30,24.59,20.00,26.26,18.18,28.87,77.78,44.44,70.00,42.11,34.48,33.33,45.78,45.90,30.00,50.51,27.27,47.42,南　野　　利　騰,山　口　　俊　英,楠　本　　晃　嗣,柳　橋　　宏　紀,竹　田　　広　樹,藤　井　　　　徹,4405,3051,4668,4146,3617,3507, 6.33, 4.78, 5.40, 4.53, 4.62, 4.44, 4.86, 4.44, 3.70, 4.78, 3.56, 4.94
2019-12-12,唐　津,2,.13,,.18,,,,,,,,.29,,,.21,,,,,,,,.11,,,,,,,,,,,.24,,,,,,,,,,,.32,,,,,,,,,,,.17,,,.26,,,,,,,,4,,2,,,,,,,,3,,,1,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,2,,,5,,,,,,,,4,,2,,,,,,,,3,,,1,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,2,,,5,,,,,,,,5,,9,,,,,,,,3,,,12,,,,,,,,6,,,,,,,,,,,11,,,,,,,,,,,3,,,,,,,,,,,5,,,11,,,,,,,,３,,１,,,,,,,,１,,,１,,,,,,,,３,,,,,,,,,,,５,,,,,,,,,,,３,,,,,,,,,,,２,,,６,,,,,,,,0.19,0.16,   -,0.20,0.20,0.18, 41, 74, 76, 78, 89, 68, 32.30, 31.17, 40.99, 35.03, 33.97, 39.87, 48.45, 49.35, 56.52, 54.14, 48.72, 56.21, 34, 51, 12, 53, 18, 69, 62.69, 46.88, 41.98, 32.50, 30.43, 30.14, 79.10, 67.19, 60.49, 46.25, 46.38, 52.05,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,80.00,52.73,54.55,40.00,10.00,18.52,25.93,54.76,53.13,29.70,14.46,25.42,80.00,70.91,63.64,60.00,50.00,37.04,45.37,74.60,59.38,50.50,28.92,49.15,谷　川　　里　江,松　本　　晶　恵,淺　田　　千亜希,茶　谷　　　　桜,宮　本　　紀　美,中　川　　り　な,3302,4399,3645,3994,3177,4773, 8.40, 6.91, 5.82, 5.95, 4.67, 4.85, 4.89, 6.95, 6.16, 4.97, 3.82, 5.13
2019-12-12,大　村,2,.12,,.13,.19,,.07,.14,.19,,.11,.13,.19,,,.07,.13,.12,,.09,.12,.11,.18,.07,,.08,.18,,.23,.18,.16,,.19,.29,.19,,,.18,.18,.26,,.40,,.21,.13,.18,,,.01,.16,.03,,.28,.22,.21,.07,.20,,.20,.08,,.12,.12,.16,,.16,5,,6,3,,2,1,4,,6,4,5,,,3,2,6,,4,3,1,5,2,,2,1,,4,3,6,,5,1,3,,,2,6,4,,5,,6,2,3,,,6,5,1,,3,4,5,4,4,,6,1,,5,3,2,,1,5,,6,3,,2,1,4,,6,4,5,,,3,2,6,,4,3,1,5,2,,2,1,,4,3,6,,5,1,3,,,2,6,4,,5,,6,2,3,,,6,5,1,,3,4,5,4,4,,6,1,,5,3,2,,1,1,,7,7,,3,9,11,,10,2,12,,,3,10,10,,1,5,1,4,6,,9,2,,5,10,5,,2,5,7,,,2,8,7,,8,,2,2,8,,,1,8,3,,2,7,5,1,7,,8,4,,2,6,7,,3,２,,３,４,,３,１,６,,４,３,４,,,１,５,４,,３,４,１,５,３,,２,１,,５,６,５,,５,６,２,,,３,５,６,,６,,６,５,５,,,５,６,１,,４,６,４,４,３,,６,１,,２,２,５,,２,0.15,0.15,0.15,0.15,0.17,0.15, 26, 59, 51, 50, 43, 66, 38.14, 36.00, 30.00, 41.49, 38.78, 32.29, 63.92, 56.00, 50.00, 58.51, 60.20, 53.13, 48, 22, 73, 17, 40, 67, 41.32, 29.94, 39.23, 29.24, 37.43, 37.29, 56.29, 45.51, 56.35, 46.78, 55.08, 50.28,F1,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,59.09,63.27,62.87,50.00,50.00,58.00,42.45,48.70,49.51,50.43,34.68,47.37,72.73,79.59,74.85,67.65,73.91,66.00,57.55,64.35,67.96,60.68,55.65,64.21,吉　田　　俊　彦,古　澤　　光　紀,石　橋　　道　友,杉　山　　裕　也,中　越　　博　紀,柳　生　　泰　二,4055,4522,4096,4269,4260,4361, 7.02, 7.61, 7.46, 6.76, 6.80, 6.50, 6.27, 6.58, 6.58, 6.50, 5.96, 6.47
