date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-03-12,桐　生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,0.18,0.18,0.20,0.21, 28, 54, 73, 55, 71, 38, 30.67, 39.73, 22.67, 37.84, 50.65, 41.03, 38.67, 54.79, 36.00, 58.11, 67.53, 55.13, 73, 74, 20, 11, 42, 18, 40.82, 47.27, 30.19, 70.37, 30.61, 24.44, 46.94, 61.82, 43.40, 75.93, 55.10, 42.22,F0,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,17.72,50.00,25.00,17.65,16.00, 0.00,14.29,30.56,32.61,47.10,20.83, 1.72,36.71,50.00,37.50,41.18,16.00, 0.00,33.33,47.22,44.57,61.94,31.94, 1.72,森　下　　　　勇,相　原　　利　章,鈴　木　　峻　佑,川　上　　　　剛,富　永　　　　茂,若　林　　義　人,3652,4540,4380,4189,3491,5034, 4.25, 5.17, 4.00, 4.88, 3.20, 1.75, 3.90, 5.04, 4.84, 6.39, 3.81, 1.74
2019-03-12,江戸川,1,.22,,,.13,.21,.15,,,,,,.09,,,,.32,.16,,,,,,.25,,,.28,.16,,,,,,,.27,,,.02,.14,,,,,,,.20,,,,.28,.07,,,,,,.36,,,,.21,.24,,,,,,4,,,2,6,5,,,,,,5,,,,1,4,,,,,,6,,,4,2,,,,,,,3,,,1,2,,,,,,,6,,,,5,4,,,,,,2,,,,3,5,,,,,,4,,,2,6,5,,,,,,5,,,,1,4,,,,,,6,,,4,2,,,,,,,3,,,1,2,,,,,,,6,,,,5,4,,,,,,2,,,,3,5,,,,,,1,,,7,5,11,,,,,,4,,,,1,9,,,,,,2,,,8,3,,,,,,,1,,,5,7,,,,,,,1,,,,4,8,,,,,,1,,,,3,10,,,,,,１,,,６,５,６,,,,,,４,,,,１,４,,,,,,３,,,５,３,,,,,,,４,,,１,６,,,,,,,５,,,,６,６,,,,,,３,,,,５,６,,,,,,0.16,0.19,0.20,0.18,0.20,0.21, 47, 13, 35, 38, 71, 11, 35.61, 43.41, 37.37, 40.72, 37.62, 33.68, 48.78, 62.44, 52.53, 53.85, 53.96, 51.58, 43, 61, 20, 21, 70, 57, 35.82, 43.19, 31.75, 35.10, 32.63, 35.38, 51.74, 58.22, 52.38, 53.85, 53.16, 51.89,F0,F0,F0,F1,F0,F1,L0,L0,L0,L0,L0,L0,19.18, 0.00,19.23, 3.85, 0.00, 7.41,11.11, 6.00,18.67,25.58, 0.00,12.50,42.47, 0.00,38.46, 7.69, 0.00,14.81,22.22, 8.00,37.33,25.58, 0.00,23.61,河　相　　秀　行,行　谷　　吉　範,土　性　　雅　也,武　藤　　直　志,宮　村　　勇　哉,永　瀬　　　　巧,3417,3393,4340,4862,5020,4322, 4.40, 1.63, 4.38, 2.65, 1.00, 2.70, 3.10, 2.36, 4.23, 3.67, 1.15, 3.25
2019-03-12,平和島,1,.20,,,.24,.24,,,,,,,.14,,,,.18,.08,,,,,,.14,,,.33,.10,,,,,,,.17,,,.21,.34,,,,,,,.26,,,.28,.19,,,,,,,.24,,,.10,.14,,,,,,,2,,,3,4,,,,,,,3,,,,5,4,,,,,,4,,,2,1,,,,,,,5,,,6,6,,,,,,,3,,,2,6,,,,,,,1,,,2,5,,,,,,,2,,,3,4,,,,,,,3,,,,5,4,,,,,,4,,,2,1,,,,,,,5,,,6,6,,,,,,,3,,,2,6,,,,,,,1,,,2,4,,,,,,,2,,,7,4,,,,,,,8,,,,2,11,,,,,,5,,,10,4,,,,,,,1,,,9,1,,,,,,,3,,,7,2,,,,,,,2,,,8,10,,,,,,,２,,,６,４,,,,,,,２,,,,４,６,,,,,,２,,,６,１,,,,,,,６,,,６,６,,,,,,,６,,,５,６,,,,,,,３,,,３,６,,,,,,,0.18,0.19,0.16,0.25,0.19,0.17, 30, 56, 39, 40, 20, 29, 38.75, 26.77, 31.45, 30.26, 37.72, 44.17, 52.50, 39.37, 48.43, 48.03, 51.50, 61.96, 65, 28, 58, 39, 19, 20, 38.85, 33.96, 38.71, 31.25, 33.33, 24.66, 61.78, 50.94, 62.58, 45.00, 47.80, 49.32,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,50.00,45.45,19.05, 3.33,12.50,19.64,23.66,33.62,16.28, 5.26,16.48,26.88,50.00,54.55,42.86, 6.67,43.75,42.86,33.33,52.59,40.70, 7.02,36.26,49.46,山　崎　　昂　介,石　川　　吉　鎬,河　上　　年　昭,下　野　　京　香,小　川　　広　大,松　浦　　博　人,4315,3951,3596,4993,4355,3877, 6.25, 5.91, 4.71, 1.43, 4.19, 4.61, 4.38, 5.22, 4.23, 1.77, 4.10, 5.29
2019-03-12,多摩川,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.21,0.20,0.17,0.20,0.16,180,127,170,184,125,128, 43.09, 30.95, 25.66, 35.77, 33.33, 34.92, 63.41, 46.03, 44.25, 55.28, 44.72, 49.21, 21, 69, 59, 71, 15, 67, 39.01, 37.90, 29.63, 32.61, 35.04, 29.67, 55.32, 53.23, 47.22, 52.17, 49.57, 43.96,F1,F0,F0,F1,F1,F0,L0,L0,L0,L0,L0,L0,63.64,23.08,20.00,50.00,25.00, 0.00,53.26,26.03,13.19,28.75,23.68, 4.17,63.64,46.15,40.00,69.23,37.50, 0.00,63.04,45.21,24.18,47.50,44.74, 6.25,原　田　　佑　実,安　達　　美　帆,寺　島　　美　里,片　岡　　恵　里,渋　田　　治　代,濱　崎　　寿里矢,4372,3778,4891,4014,3486,4997, 6.45, 4.65, 4.00, 6.50, 4.50, 0.00, 6.52, 4.66, 3.55, 4.91, 4.74, 1.79
2019-03-12,浜名湖,1,.24,,,.22,.17,,.24,,.31,,,.11,,,.22,.25,,.10,.14,,,,.14,,,.21,.07,,.03,.24,.13,,,.26,,,,.18,.16,.13,,.09,,,.31,,,,.14,.20,.15,,.11,,,.07,,,.16,.13,,.05,.09,,,,1,,,4,3,,2,,6,,,1,,,4,5,,3,6,,,,2,,,6,3,,1,4,5,,,6,,,,4,2,5,,1,,,5,,,,2,4,1,,5,,,6,,,1,4,,2,3,,,,1,,,4,3,,2,,6,,,1,,,4,5,,3,6,,,,2,,,6,3,,1,5,5,,,6,,,,4,2,5,,1,,,6,,,,2,4,1,,5,,,5,,,1,4,,2,3,,,,1,,,5,9,,4,,3,,,7,,,11,8,,1,8,,,,4,,,8,1,,1,7,1,,,1,,,,1,8,3,,3,,,4,,,,4,10,9,,4,,,3,,,10,9,,1,10,,,,１,,,６,６,,４,,６,,,４,,,６,４,,４,５,,,,４,,,４,５,,１,４,４,,,６,,,,６,５,６,,１,,,６,,,,２,２,１,,５,,,６,,,６,３,,２,５,,,,0.23,0.19,0.14,0.15,0.18,0.16, 44, 59, 28, 70, 39, 47, 31.68, 31.00, 40.70, 39.81, 24.00, 17.58, 45.54, 47.00, 55.81, 49.51, 38.67, 34.07, 22, 62, 10, 26, 27, 53, 36.89, 37.86, 32.72, 32.68, 26.96, 30.69, 50.49, 51.94, 52.53, 50.24, 41.67, 47.52,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,17.19, 0.00,21.82,27.27,35.29,35.29,19.61,12.50,28.57,25.00,28.05,43.48,40.63, 0.00,47.27,31.82,47.06,58.82,35.29,12.50,47.14,35.87,45.12,61.96,市　川　　美　宏,津久井　　拓　也,鈴　木　　成　美,秋　元　　　　誠,冨　田　　秀　幸,有　賀　　達　也,4229,4420,4244,3781,3519,4428, 4.28, 0.00, 4.76, 3.91, 5.24, 5.35, 4.31, 2.88, 4.91, 4.28, 4.90, 6.11
2019-03-12,蒲　郡,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.20,0.19,0.21,0.16, 71, 75, 13, 69, 61, 33, 29.61, 29.94, 36.41, 36.08, 35.68, 40.72, 46.71, 46.11, 57.14, 52.58, 51.89, 53.29, 40, 73, 18, 48, 29, 34, 49.49, 36.54, 35.00, 43.81, 37.93, 37.31, 64.14, 57.69, 49.00, 58.76, 51.72, 51.30,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,34.29,15.00,22.22,22.22,17.65, 0.00,30.11,12.28,23.36,28.00, 9.38,21.74,54.29,25.00,33.33,33.33,23.53, 0.00,45.16,28.07,42.99,46.00,14.06,35.87,鈴　木　　裕　隆,福　本　　　　悠,西　川　　真　人,谷　川　　将　太,金　山　　立　樹,村　田　　友　也,4231,4701,4253,4603,4976,4333, 5.31, 3.25, 3.78, 4.11, 3.18, 0.00, 4.75, 3.77, 4.68, 4.80, 2.59, 4.20
2019-03-12,　津　,1,.11,,,,.02,.12,.26,.12,.24,.22,,.28,,,,.25,.04,.22,.21,.16,,,.22,,,.20,.17,.07,.11,,.13,.06,,.14,,,.17,.34,,.16,.16,.23,,,.20,,,,.21,.07,.08,.04,.23,.03,,.24,,,.10,.14,,.07,.12,.07,.09,,4,,,,1,3,6,2,5,2,,6,,,,2,6,3,1,6,,,6,,,5,2,3,4,,3,1,,2,,,1,5,,4,6,3,,,3,,,,1,6,5,4,6,2,,4,,,5,6,,4,5,5,6,,4,,,,1,3,6,2,5,2,,6,,,,2,5,3,1,6,,,6,,,5,2,3,4,,2,1,,2,,,1,5,,4,6,3,,,3,,,,1,4,5,4,6,2,,4,,,5,6,,4,5,5,6,,8,,,,7,12,6,12,6,12,,5,,,,2,7,2,7,7,,,1,,,10,3,7,7,,2,9,,3,,,8,1,,2,8,5,,,1,,,,4,12,1,5,2,7,,5,,,9,4,,1,8,1,9,,２,,,,１,２,３,６,２,５,,４,,,,３,４,３,５,４,,,３,,,５,２,５,１,,３,１,,３,,,３,５,,６,５,４,,,２,,,,６,３,５,２,４,２,,２,,,２,５,,４,４,５,４,,0.16,0.17,0.16,0.18,0.15,0.14, 67, 40, 30, 61, 45, 49, 21.90, 26.88, 30.61, 44.44, 35.00, 31.96, 40.95, 43.01, 48.98, 56.57, 62.50, 49.48, 33, 36, 54, 73, 39, 40, 17.35, 29.03, 43.52, 37.37, 36.94, 38.74, 29.59, 49.46, 65.74, 59.60, 51.35, 54.05,F1,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,44.83,11.11,38.24, 0.00,33.33,22.22,38.21,18.92,43.90,29.00,37.27,22.22,70.69,44.44,50.00, 0.00,53.85,33.33,61.79,38.74,60.16,45.00,55.45,48.61,里　岡　　右　貴,吉　田　　和　仁,渋　谷　　明　憲,冨　成　　謙　児,川　上　　聡　介,中　村　　魁　生,4351,4182,4436,3998,3848,4967, 6.34, 4.33, 5.29, 0.00, 5.31, 4.17, 5.83, 4.20, 5.90, 4.91, 5.78, 4.71
2019-03-12,三　国,1,.13,,,.02,.23,.08,,,,,,.33,,,,.21,.06,,,,,,.41,,,,.14,.16,,,,,,.19,,,.11,.09,,,,,,,.18,,,.03,.09,,,,,,,.17,,,,.19,.17,,,,,,2,,,5,3,6,,,,,,3,,,,5,4,,,,,,4,,,,6,1,,,,,,5,,,1,3,,,,,,,6,,,3,2,,,,,,,5,,,,1,5,,,,,,2,,,5,3,6,,,,,,3,,,,5,4,,,,,,4,,,,5,1,,,,,,5,,,1,3,,,,,,,6,,,3,2,,,,,,,4,,,,1,5,,,,,,7,,,12,3,9,,,,,,2,,,,4,10,,,,,,1,,,,2,6,,,,,,4,,,9,5,,,,,,,4,,,10,9,,,,,,,6,,,,5,12,,,,,,４,,,４,３,４,,,,,,５,,,,５,５,,,,,,４,,,,６,２,,,,,,４,,,１,６,,,,,,,５,,,１,５,,,,,,,４,,,,３,６,,,,,,0.16,0.20,0.18,0.19,0.14,0.20, 12, 53, 65, 14, 46, 69, 29.44, 32.86, 29.38, 38.46, 38.39, 26.09, 46.26, 53.81, 50.00, 51.92, 51.18, 42.51, 31, 45, 35, 65, 37, 58, 41.71, 32.61, 29.61, 37.14, 38.27, 44.29, 57.82, 52.17, 48.93, 56.19, 53.91, 63.93,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,35.00, 0.00,17.20,53.85,14.81, 5.26,44.53,10.45,23.33,29.03,19.59,21.84,65.00, 0.00,34.41,61.54,18.52,42.11,57.66,17.91,34.44,49.19,34.02,34.48,塩　田　　北　斗,椎　原　　　　健,平　瀬　　城　啓,塩　田　　雄　一,和　合　　俊　介,宮　地　　博　士,4566,4490,4339,3578,4268,3964, 6.40, 1.57, 3.96, 6.38, 3.37, 4.37, 6.10, 2.73, 4.08, 5.00, 4.08, 4.46
2019-03-12,びわこ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.23,0.17,0.14,0.17,0.24, 57, 30, 56, 41, 17, 12, 30.64, 32.95, 39.33, 31.43, 32.04, 32.04, 49.13, 47.73, 59.55, 46.29, 50.83, 46.41, 13, 36, 32, 56, 61, 21, 34.36, 30.16, 41.92, 32.77, 36.71, 34.07, 54.87, 49.74, 54.55, 54.24, 50.24, 51.10,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,43.51,33.33,50.00,32.31,31.82,48.57,45.45,30.11,30.00,27.54,20.99,25.53,60.31,44.44,65.63,48.46,40.91,62.86,59.09,41.94,47.69,42.03,38.27,41.49,木　村　　仁　紀,前　川　　竜　次,森　　　　智　也,山　田　　晃　大,夏　山　　亮　平,松　田　　隆　司,4743,3153,4633,4761,4462,4100, 6.10, 4.89, 6.41, 5.03, 4.77, 6.54, 6.14, 4.66, 5.05, 4.45, 4.47, 4.54
2019-03-12,住之江,1,.24,,,.21,.20,,,,,,,.20,,,.20,.22,,,,,,,.28,,,,.24,.18,,,,,,.31,,,.20,.09,,,,,,,.25,,,,.23,.26,,,,,,.16,,,,.17,.08,,,,,,3,,,4,6,,,,,,,5,,,4,2,,,,,,,6,,,,4,1,,,,,,6,,,3,1,,,,,,,6,,,,6,6,,,,,,2,,,,5,1,,,,,,3,,,4,6,,,,,,,5,,,4,2,,,,,,,6,,,,3,1,,,,,,6,,,3,1,,,,,,,6,,,,5,6,,,,,,2,,,,5,1,,,,,,2,,,10,2,,,,,,,2,,,7,5,,,,,,,10,,,,1,8,,,,,,5,,,11,6,,,,,,,3,,,,1,6,,,,,,11,,,,2,7,,,,,,６,,,６,５,,,,,,,４,,,４,５,,,,,,,４,,,,２,１,,,,,,４,,,５,１,,,,,,,３,,,,６,６,,,,,,２,,,,４,２,,,,,,0.18,0.21,0.17,0.17,   -,0.17, 25, 30, 13, 32, 21, 64,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 62, 51, 27, 55, 14, 67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,11.76,17.65, 0.00,31.58, 0.00,58.21,25.25,15.79,37.14,41.43, 0.00,37.60,29.41,58.82, 0.00,52.63, 0.00,68.66,46.46,31.58,60.00,67.86, 6.00,61.60,出　口　　舞有子,塚　田　　修　二,浜　田　　亜理沙,岡　瀬　　正　人,上　田　　紗　奈,三　宅　　　　潤,4901,3377,4546,3746,5057,4319, 3.59, 5.12, 0.00, 5.53, 1.56, 6.76, 4.87, 3.88, 6.00, 6.33, 1.76, 5.80
