date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-10-21,桐　生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.19,0.17,0.15,0.17,0.18, 33, 31, 30, 42, 43, 71, 33.80, 30.77, 32.42, 36.73, 44.55, 44.55, 50.00, 49.32, 53.88, 53.10, 63.64, 60.00, 71, 44, 20, 37, 15, 46, 31.60, 31.80, 40.09, 49.76, 28.89, 40.00, 47.64, 47.00, 51.42, 65.88, 46.67, 55.81,F0,F0,F1,F1,F1,F0,L0,L0,L0,L0,L0,L0,35.21,11.54,32.00,54.17,31.91,20.00,30.23,17.05,20.93,39.76,29.27,19.23,46.48,26.92,60.00,70.83,34.04,30.00,41.86,38.64,32.56,60.24,39.02,32.69,今　井　　裕　梨,田　村　　美　和,原　　　　加央理,清　水　　沙　樹,池　田　　浩　美,孫　崎　　百　世,4240,3207,4419,4519,3932,4941, 5.18, 3.69, 5.56, 6.92, 4.55, 4.20, 4.59, 4.07, 3.93, 5.78, 4.45, 4.08
2019-10-21,平和島,1,.19,,,.42,.21,,.30,,.09,,,.15,,,.17,.16,,.28,,.22,,,.16,,,,.15,,.25,.18,.28,,,.30,,,,.07,.06,.17,,.17,,,.19,,,,.29,.17,.17,.21,.09,,,.26,,,,.17,,.16,.20,.19,,,4,,,5,2,,1,,6,,,4,,,4,5,,1,,2,,,2,,,,5,,1,4,6,,,1,,,,4,6,2,,5,,,1,,,,5,2,3,6,5,,,6,,,,6,,6,6,6,,,4,,,5,2,,1,,6,,,3,,,4,5,,1,,2,,,2,,,,5,,1,4,6,,,1,,,,4,6,2,,5,,,1,,,,5,2,3,6,4,,,6,,,,6,,6,5,6,,,1,,,9,2,,1,,4,,,5,,,10,5,,3,,6,,,6,,,,6,,2,8,2,,,2,,,,5,11,8,,3,,,8,,,,4,10,3,8,9,,,3,,,,5,,1,5,1,,,６,,,５,５,,４,,３,,,６,,,６,３,,６,,５,,,６,,,,５,,４,６,６,,,３,,,,５,５,５,,５,,,１,,,,４,４,４,４,４,,,６,,,,６,,６,６,４,,,0.21,0.15,0.21,0.18,0.17,   -, 17, 22, 60, 24, 10, 64, 27.40, 35.63, 27.03, 37.14, 40.48, 20.31, 49.32, 50.57, 40.54, 54.29, 60.71, 39.06, 71, 65, 39, 24, 11, 15, 31.08, 26.87, 34.21, 28.95, 20.00, 30.14, 56.76, 44.78, 51.32, 44.74, 38.46, 50.68,F0,F0,F1,F0,F0,F1,L0,L0,L0,L0,L0,L0,33.33,10.53,21.88,33.33,46.67, 0.00,21.43,25.00,10.94,21.33,45.80, 0.00,50.00,31.58,53.13,46.67,63.33, 0.00,42.86,43.18,31.25,37.33,70.99, 0.00,塚　田　　修　二,野　中　　義　生,國　弘　　翔　平,武　田　　正　紀,小　畑　　実　成,生　方　　靖　亜,3377,3294,4697,3306,3233,5090, 5.00, 3.58, 4.88, 4.73, 5.70, 0.00, 4.60, 4.49, 3.61, 4.31, 6.26, 1.31
2019-10-21,蒲　郡,1,.14,,,,.15,.25,.25,.24,,,,.23,,,,.15,.36,.22,.22,,,,.15,,,.25,.21,.31,.20,,,,,.21,,,,.14,.23,.23,.25,,,,.24,,,.09,.23,.23,.04,,,,,.30,,,.18,.28,,.18,,,,,3,,,,4,4,6,2,,,,6,,,,3,6,4,3,,,,4,,,6,5,2,4,,,,,3,,,,6,2,1,5,,,,1,,,4,6,2,4,,,,,6,,,2,1,,6,,,,,3,,,,5,4,6,2,,,,5,,,,3,6,4,2,,,,4,,,6,5,2,4,,,,,3,,,,6,2,1,5,,,,1,,,4,6,2,4,,,,,5,,,2,1,,6,,,,,1,,,,1,6,1,7,,,,1,,,,1,7,2,8,,,,1,,,7,2,6,3,,,,,7,,,,3,10,2,11,,,,2,,,8,5,12,4,,,,,2,,,7,4,,3,,,,,５,,,,６,６,６,６,,,,４,,,,４,３,４,４,,,,３,,,６,３,２,５,,,,,４,,,,３,５,１,６,,,,１,,,３,４,６,３,,,,,５,,,３,５,,６,,,,,0.20,0.21,0.21,0.19,0.16,0.19, 40, 33, 52, 67, 17, 55, 32.53, 34.00, 35.79, 28.41, 27.59, 36.79, 51.81, 54.00, 53.68, 45.45, 49.14, 55.66, 32, 69, 29, 21, 27, 20, 28.23, 46.43, 24.79, 24.69, 44.35, 26.83, 50.00, 58.93, 42.15, 41.98, 57.26, 39.02,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,12.50,12.00,27.27,31.11,27.78,19.23,11.69, 9.72,13.04,22.34,29.91,14.08,12.50,20.00,36.36,53.33,50.00,34.62,22.08,18.06,33.70,43.62,49.57,30.99,金　子　　建　二,金　山　　立　樹,齋　藤　　達　希,横　井　　健　太,幸　田　　智　裕,田　嶋　　　　茂,3480,4976,4740,3776,4068,2941, 3.38, 2.96, 4.18, 5.24, 4.83, 4.19, 3.13, 3.22, 4.10, 4.53, 5.28, 3.82
2019-10-21,常　滑,1,.16,,,,.23,.18,.36,,,,,.28,,,.16,.19,,.24,,,,,.16,,,.16,.12,,.21,,,,,.16,,,,.07,.20,.30,,,,,.32,,,.30,.34,,.32,.42,,,,.10,,,,.20,.20,.28,,,,,5,,,,2,3,4,,,,,5,,,4,1,,3,,,,,5,,,1,6,,2,,,,,4,,,,5,5,2,,,,,6,,,6,6,,6,6,,,,3,,,,2,5,4,,,,,5,,,,2,3,4,,,,,5,,,4,1,,3,,,,,5,,,1,6,,2,,,,,3,,,,4,5,2,,,,,6,,,4,6,,4,6,,,,3,,,,2,5,4,,,,,5,,,,2,6,6,,,,,3,,,9,6,,1,,,,,2,,,7,7,,6,,,,,4,,,,4,11,8,,,,,1,,,6,1,,1,7,,,,2,,,,3,10,7,,,,,５,,,,５,６,６,,,,,６,,,４,５,,６,,,,,１,,,５,６,,５,,,,,４,,,,６,４,６,,,,,６,,,６,６,,５,６,,,,２,,,,６,６,５,,,,,0.20,0.20,0.18,0.23,0.14,0.17, 44, 16, 68, 66, 33, 55, 27.87, 40.91, 40.00, 33.33, 26.67, 27.59, 50.82, 53.03, 54.29, 48.61, 36.67, 43.10, 31, 22, 54, 39, 58, 46, 26.29, 32.22, 26.77, 37.82, 36.59, 31.84, 42.78, 49.44, 44.95, 49.22, 56.59, 51.24,F0,F0,F0,F0,F2,F1,L0,L0,L0,L0,L0,L0,25.00,29.63, 7.69,23.08,33.33,17.39,17.86,29.79,24.42,22.22,21.13,14.06,25.00,48.15,23.08,53.85,33.33,34.78,25.00,46.81,33.72,39.51,29.58,18.75,太　田　　克　哉,篠　原　　俊　夫,尾　崎　　鉄　也,宇田川　　信　一,笠　置　　博　之,小　川　　時　光,3560,3187,2912,4660,4538,4186, 3.85, 4.74, 3.69, 4.38, 4.46, 4.13, 3.40, 5.02, 4.35, 4.54, 3.97, 3.31
2019-10-21,びわこ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.18,0.20,0.17,0.19, 23, 13, 24, 32, 36, 21, 37.93, 38.54, 36.56, 30.34, 46.24, 17.57, 50.57, 56.25, 51.61, 46.07, 61.29, 35.14, 40, 29, 31, 62, 55, 13, 43.93, 31.68, 27.47, 36.26, 40.66, 24.14, 52.34, 43.56, 43.96, 49.45, 54.95, 40.23,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,32.79, 0.00,11.11,20.00, 0.00,35.14,38.39,18.75,12.09,32.18,12.07,14.29,50.82, 0.00,22.22,34.29,37.50,48.65,59.82,26.56,25.27,42.53,22.41,33.67,上　田　　洋　平,染　川　　直　哉,吉　武　　真　也,坂　　　　咲友理,岩　永　　節　也,村　岡　　　　賢,3896,4859,4952,4534,4164,4343, 5.07, 0.00, 3.11, 4.37, 3.63, 5.22, 5.74, 3.64, 3.25, 4.86, 3.50, 3.97
2019-10-21,住之江,1,.23,,,,.25,,.19,.11,,,,.20,,,,.15,.18,.09,,,,,.12,,,.17,.24,.25,.16,,,,,.36,,,,.26,,.13,.34,,,,.27,,,,.10,.35,.23,,,,,.18,,,.19,.21,.16,.15,,,,,5,,,,5,,3,6,,,,3,,,,4,4,1,,,,,1,,,5,3,3,4,,,,,6,,,,6,,6,6,,,,6,,,,5,4,6,,,,,4,,,5,1,3,2,,,,,5,,,,4,,3,2,,,,3,,,,5,4,1,,,,,1,,,5,3,2,4,,,,,6,,,,4,,6,5,,,,6,,,,5,4,4,,,,,4,,,5,1,3,2,,,,,3,,,,9,,2,7,,,,4,,,,5,10,6,,,,,5,,,12,4,9,6,,,,,2,,,,3,,3,8,,,,3,,,,2,8,5,,,,,3,,,10,4,8,3,,,,,６,,,,６,,５,４,,,,３,,,,４,６,１,,,,,１,,,３,１,３,２,,,,,６,,,,４,,６,６,,,,４,,,,６,５,２,,,,,３,,,５,３,４,４,,,,,0.19,0.16,0.16,0.21,0.21,0.17, 51, 70, 14, 68, 20, 36, 36.28, 23.23, 25.83, 31.62, 28.71, 35.14, 60.18, 41.41, 45.00, 45.30, 45.54, 52.25, 81, 65, 75, 25, 89, 72, 37.93, 33.61, 32.76, 26.50, 37.07, 26.09, 56.90, 52.10, 56.90, 41.03, 54.31, 38.26,F0,F1,F1,F1,F0,F0,L0,L0,L0,L0,L0,L0, 0.00, 0.00,37.36, 0.00, 0.00, 0.00, 4.05,10.29,47.62, 1.56, 4.05,25.74, 0.00, 0.00,61.54, 6.25, 0.00, 0.00,12.16,27.94,63.81,12.50, 9.46,37.62,羽　野　　　　諒,鈴　木　　雅　希,権　藤　　俊　光,佐々木　　大　河,谷　口　　知　優,高　岡　　竜　也,5008,4906,4832,5054,5032,4950, 0.00, 2.00, 5.88, 2.00, 0.00, 1.38, 2.38, 3.47, 6.24, 2.56, 2.19, 4.60
2019-10-21,尼　崎,1,.29,,,,.11,.27,,,,,,.21,,,,.09,.24,,,,,,.23,,,,.14,.26,,,,,,.29,,,.19,.14,,,,,,,.06,,,.08,.20,,,,,,,.22,,,,.12,,,,,,,2,,,,3,4,,,,,,3,,,,4,5,,,,,,2,,,,1,5,,,,,,3,,,6,1,,,,,,,4,,,6,2,,,,,,,6,,,,6,,,,,,,2,,,,3,4,,,,,,3,,,,4,6,,,,,,2,,,,1,5,,,,,,3,,,6,1,,,,,,,4,,,6,3,,,,,,,6,,,,5,,,,,,,1,,,,3,8,,,,,,6,,,,3,7,,,,,,6,,,,2,8,,,,,,2,,,7,8,,,,,,,1,,,8,7,,,,,,,4,,,,2,,,,,,,５,,,,６,４,,,,,,３,,,,３,５,,,,,,４,,,,３,５,,,,,,１,,,５,１,,,,,,,３,,,２,４,,,,,,,６,,,,６,,,,,,,0.19,0.21,0.19,0.14,0.15,   -, 22, 39, 48, 58, 75, 29, 40.21, 32.97, 29.00, 24.75, 49.49, 28.13, 53.61, 50.55, 47.00, 42.57, 64.65, 42.71, 54, 52, 12, 28,  2, 58, 39.42, 33.98, 31.73, 26.73, 38.83, 32.71, 63.46, 53.40, 44.23, 40.59, 51.46, 52.34,F0,F1,F0,F2,F0,F0,L0,L0,L0,L0,L0,L0, 8.33,17.65,24.14,42.14,30.00, 0.00,16.05,22.73,18.75,34.23,35.25, 0.00,16.67,35.29,44.83,57.14,56.67, 0.00,35.80,30.30,29.69,47.75,53.28, 1.85,吉　岡　　　　誠,沖　　　　　　悟,切　田　　潤　二,向　所　　浩　二,鋤　柄　　貴　俊,大　澤　　誠　也,3567,3186,3682,3577,3934,5074, 3.13, 4.29, 4.90, 5.99, 5.23, 0.00, 3.91, 4.15, 4.08, 5.56, 5.34, 1.46
2019-10-21,鳴　門,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.18,0.18,0.19,0.17,0.16, 61, 59, 68, 62, 57, 28, 32.67, 32.69, 19.15, 27.55, 44.79, 29.81, 48.51, 47.12, 30.85, 48.98, 58.33, 45.19, 19, 35, 75, 31, 38, 28, 20.39, 38.24, 28.85, 32.32, 33.01, 30.84, 40.78, 53.92, 45.19, 44.44, 47.57, 47.66,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,70.00, 1.37,46.15,32.20, 0.00,12.50,65.42,10.71,17.02,22.68, 7.79,15.94,00.00, 4.11,53.85,43.22, 0.00,18.75,76.64,17.86,40.43,29.90,10.39,30.43,黒　井　　達　矢,宮　崎　　光　基,早　川　　尚　人,赤　池　　修　平,中　　　　亮　太,小　林　　孝　弘,4528,4968,4200,4636,5029,4592, 8.10, 1.78, 5.58, 4.71, 0.00, 3.13, 7.32, 2.86, 4.29, 3.88, 2.38, 3.71
2019-10-21,丸　亀,1,.25,,,.19,.21,.16,.11,.16,.15,,.19,.39,.17,,.16,.13,,.12,.22,.14,,.21,.10,,,,.18,.15,.19,,.17,.24,.18,.18,,,,.13,.14,.08,,.13,.18,.09,.14,,,.15,.22,,.08,.26,.19,,.22,.06,,,,.12,.04,.23,,.06,.22,.17,1,,,4,2,5,3,5,3,,6,5,6,,6,1,,3,6,2,,3,3,,,,4,6,1,,2,5,5,1,,,,5,4,4,,2,3,1,2,,,3,1,,5,6,4,,2,5,,,,2,4,6,,1,3,1,1,,,4,2,5,3,6,3,,6,5,6,,4,1,,3,6,2,,3,3,,,,4,6,1,,2,5,5,1,,,,5,4,3,,2,3,1,2,,,3,1,,5,6,4,,2,5,,,,2,4,6,,1,3,1,1,,,10,7,11,4,11,10,,6,1,8,,7,4,,2,8,3,,4,8,,,,2,7,6,,2,6,5,2,,,,1,7,3,,1,5,2,2,,,10,7,,1,10,1,,6,6,,,,2,9,2,,4,9,3,１,,,５,１,６,１,４,４,,５,６,５,,６,６,,１,６,６,,５,５,,,,１,５,６,,５,６,５,３,,,,６,６,５,,３,５,１,４,,,４,４,,３,６,５,,６,３,,,,２,３,５,,２,３,５,0.17,0.20,0.19,0.16,0.17,0.15, 21, 19,  1, 16, 18,  5, 30.43, 25.53, 22.22, 48.84, 50.00, 42.86, 41.30, 38.30, 37.78, 67.44, 56.25, 66.67, 49, 37, 55, 18, 65, 28, 43.02, 39.78, 35.53, 25.79, 42.16, 25.84, 61.45, 56.91, 50.76, 38.95, 59.46, 43.82,F0,F1,F1,F0,F0,F0,L0,L0,L0,L0,L0,L0,39.29, 0.00,21.43,27.27,21.43,31.25,35.64, 0.00,17.14,19.32,23.08,25.00,71.43, 7.69,35.71,41.26,35.71,31.25,50.50, 8.33,38.57,29.55,41.03,42.39,齊　藤　　　　優,渡　辺　　空　依,齋　藤　　和　政,金　森　　史　吉,相　原　　利　章,秋　田　　健太郎,4247,5031,3637,3234,4540,3808, 6.39, 2.00, 4.36, 4.59, 4.32, 4.44, 5.49, 1.77, 4.09, 3.77, 4.42, 4.68
2019-10-21,宮　島,1,.15,,,.18,.15,,,,,,,.12,,,,.14,.14,,,,,,.15,,,.27,.21,,,,,,,.27,,,.20,.16,,,,,,,.18,,,.10,.20,,,,,,,.23,,,.22,.20,,,,,,,4,,,3,2,,,,,,,5,,,,6,3,,,,,,4,,,1,6,,,,,,,6,,,3,1,,,,,,,3,,,4,2,,,,,,,1,,,4,3,,,,,,,4,,,3,2,,,,,,,5,,,,6,3,,,,,,4,,,1,6,,,,,,,6,,,3,1,,,,,,,3,,,4,2,,,,,,,1,,,4,3,,,,,,,5,,,10,7,,,,,,,5,,,,3,11,,,,,,1,,,8,4,,,,,,,2,,,11,5,,,,,,,3,,,11,2,,,,,,,2,,,10,5,,,,,,,４,,,１,２,,,,,,,３,,,,３,３,,,,,,５,,,２,３,,,,,,,２,,,６,１,,,,,,,５,,,５,１,,,,,,,４,,,５,２,,,,,,,0.17,0.18,0.18,0.22,0.14,0.18, 20, 24, 16, 40, 13, 23,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 22, 36, 56, 61, 15, 63,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F1,F0,F0,F0,L0,L0,L0,L0,L0,L0,40.00,33.33,50.00,21.43,30.77,22.02,37.19,42.72,25.00,12.50,27.37,27.50,62.22,52.90,50.00,35.71,50.00,34.86,51.24,62.14,48.68,33.75,41.05,48.75,中　島　　友　和,下　寺　　秀　和,古　澤　　信　二,栗　原　　謙　治,森　作　　雄　大,田　中　　伸　二,3784,4771,3670,3419,4438,2844, 5.78, 5.32, 6.10, 4.21, 5.04, 4.26, 5.33, 5.83, 4.89, 3.95, 4.52, 4.84
