date,venue,raceNumber, 1-2-3, 1-2-4, 1-2-5, 1-2-6, 1-3-2, 1-3-4, 1-3-5, 1-3-6, 1-4-2, 1-4-3, 1-4-5, 1-4-6, 1-5-2, 1-5-3, 1-5-4, 1-5-6, 1-6-2, 1-6-3, 1-6-4, 1-6-5, 2-1-3, 2-1-4, 2-1-5, 2-1-6, 2-3-1, 2-3-4, 2-3-5, 2-3-6, 2-4-1, 2-4-3, 2-4-5, 2-4-6, 2-5-1, 2-5-3, 2-5-4, 2-5-6, 2-6-1, 2-6-3, 2-6-4, 2-6-5, 3-1-2, 3-1-4, 3-1-5, 3-1-6, 3-2-1, 3-2-4, 3-2-5, 3-2-6, 3-4-1, 3-4-2, 3-4-5, 3-4-6, 3-5-1, 3-5-2, 3-5-4, 3-5-6, 3-6-1, 3-6-2, 3-6-4, 3-6-5, 4-1-2, 4-1-3, 4-1-5, 4-1-6, 4-2-1, 4-2-3, 4-2-5, 4-2-6, 4-3-1, 4-3-2, 4-3-5, 4-3-6, 4-5-1, 4-5-2, 4-5-3, 4-5-6, 4-6-1, 4-6-2, 4-6-3, 4-6-5, 5-1-2, 5-1-3, 5-1-4, 5-1-6, 5-2-1, 5-2-3, 5-2-4, 5-2-6, 5-3-1, 5-3-2, 5-3-4, 5-3-6, 5-4-1, 5-4-2, 5-4-3, 5-4-6, 5-6-1, 5-6-2, 5-6-3, 5-6-4, 6-1-2, 6-1-3, 6-1-4, 6-1-5, 6-2-1, 6-2-3, 6-2-4, 6-2-5, 6-3-1, 6-3-2, 6-3-4, 6-3-5, 6-4-1, 6-4-2, 6-4-3, 6-4-5, 6-5-1, 6-5-2, 6-5-3, 6-5-4,placeBed
2019-10-30,唐　津,1,9.5,71.6,13.0,18.7,10.9,65.7,8.3,15.5,141.3,139.5,227.1,231.9,12.1,9.9,87.7,11.0,15.3,15.6,115.5,12.5,143.6,452.5,152.6,175.6,213.4,696.7,391.8,473.0,905.0,1242,1665,1648,280.8,489.7,1342,576.2,281.7,740.1,1716,682.4,115.0,327.1,90.6,102.6,222.6,804.4,416.3,494.1,633.1,1242,1242,1198,187.3,440.5,920.0,353.5,205.3,658.2,1206,460.0,905.0,951.5,1364,1300,1376,2601,2523,2220,1399,2378,2871,2822,1982,2973,3469,3142,1959,3083,1936,3202,83.9,77.1,366.7,67.3,227.1,435.9,1021,447.6,186.2,452.5,1102,347.6,1053,1914,1810,1682,139.7,400.3,349.8,1074,116.7,118.7,434.7,88.6,278.4,845.3,1601,594.7,253.8,841.0,1376,498.5,1500,2281,2162,1850,153.0,444.0,343.3,1181,trifecta
2019-10-30,大　村,1,6.1,7.4,52.0,36.4,8.4,7.6,47.2,30.7,13.0,14.2,49.5,40.1,160.2,190.4,174.5,222.1,109.5,108.8,141.3,333.9,22.1,23.9,127.6,91.0,63.5,91.3,365.5,199.9,68.0,101.6,213.0,205.4,635.2,783.2,463.0,1108,410.1,423.4,456.9,783.2,56.0,52.5,179.6,138.5,98.5,160.2,333.9,361.7,136.5,185.7,385.8,339.3,1031,1052,1286,1370,437.7,639.1,515.7,534.2,56.7,67.5,127.5,107.5,87.1,154.3,246.2,212.1,137.2,206.2,510.6,365.5,218.4,213.4,402.2,280.8,211.3,240.0,394.6,400.6,801.3,1120,680.9,1132,1011,1427,699.1,1335,1653,1929,2126,2042,898.0,694.5,2170,1085,1255,2126,2815,1407,913.8,807.5,860.9,1225,1270,1318,1108,1894,496.0,1407,1270,2216,875.4,1041,1225,1509,1707,2422,2976,1929,trifecta
2019-10-30,多摩川,2,18.8,18.8,19.9,166.4,35.0,32.9,47.4,283.9,24.8,31.1,33.6,239.4,32.8,49.5,47.3,244.1,475.3,429.7,794.2,922.7,28.6,28.4,25.0,269.3,54.4,48.6,37.8,315.3,48.0,48.8,36.6,387.3,40.9,44.3,42.2,306.0,871.5,896.4,1230,909.4,63.0,74.2,93.9,356.5,74.7,64.1,71.5,286.5,69.7,70.1,72.7,275.2,128.8,86.5,102.1,454.7,527.3,464.8,545.6,609.2,52.5,63.0,62.1,378.0,61.7,56.6,49.5,325.1,85.1,72.8,77.5,341.0,64.7,47.5,61.5,184.5,1045,922.7,784.3,697.2,62.7,101.8,98.0,360.6,61.2,63.4,49.6,295.9,145.2,104.2,120.4,471.7,102.0,65.6,92.8,360.6,756.0,653.6,1063,794.2,965.3,950.7,1280,1280,2163,1335,2324,1426,1394,1254,1081,1426,2024,2024,1280,1530,2614,1743,2163,2324,trifecta
2019-10-30,蒲　郡,2,30.3,63.6,49.0,139.0,41.9,65.1,41.3,107.4,121.9,106.7,170.3,318.1,81.7,71.3,164.6,125.3,349.9,326.8,521.7,296.7,47.2,105.7,66.7,132.6,43.5,34.1,14.3,34.7,167.9,66.2,53.1,96.7,74.3,23.8,58.3,38.6,302.1,118.3,244.1,99.0,74.5,133.1,61.8,136.3,56.2,42.2,16.5,42.1,169.6,85.3,54.7,115.2,52.4,20.6,45.4,31.0,246.3,115.8,191.3,78.0,392.4,340.0,326.8,528.2,392.4,161.2,128.2,252.9,387.0,167.9,132.4,227.6,331.9,146.8,142.6,137.4,736.7,354.4,383.5,270.9,143.0,124.4,312.2,188.3,113.1,33.2,115.2,54.8,88.9,32.7,84.4,45.1,390.6,158.4,152.9,183.7,162.1,75.0,69.5,174.6,730.3,857.0,807.6,656.2,839.9,291.6,567.5,206.8,770.5,307.6,477.2,187.9,1292,641.1,604.2,571.3,461.5,189.6,189.6,424.2,trifecta
2019-10-30,常　滑,2,11.0,10.9,21.8,47.5,16.6,16.4,29.2,57.2,16.0,20.4,26.6,61.1,55.3,73.9,63.2,133.9,155.1,234.1,213.9,224.2,36.7,28.8,53.8,98.1,59.3,49.0,67.5,136.2,52.3,57.6,52.1,117.7,138.6,148.4,96.9,224.8,335.3,354.9,272.9,278.6,89.8,81.0,100.1,195.9,109.4,89.1,120.2,207.1,121.5,119.0,107.1,219.2,234.8,188.8,196.3,306.7,531.2,423.2,531.2,545.8,58.4,94.6,62.3,119.9,76.7,94.2,72.0,149.0,164.5,132.8,140.3,244.2,81.2,67.8,124.6,102.9,243.5,241.3,373.3,184.4,193.9,245.8,154.8,268.3,230.0,324.3,171.6,310.3,354.9,387.9,333.9,557.3,150.4,143.6,267.3,191.1,410.0,416.5,799.4,414.3,447.1,739.7,507.3,807.6,761.0,761.0,531.2,599.6,1199,899.4,889.3,1388,746.6,545.8,746.6,623.2,1236,545.8,953.6,694.2,trifecta
2019-10-30,　津　,2,15.9,26.3,118.1,212.4,13.1,10.7,71.2,152.8,29.5,21.1,96.5,204.7,248.4,246.6,276.9,603.2,469.2,489.6,637.4,866.2,39.4,57.9,208.5,527.8,50.8,30.0,116.4,223.7,85.7,45.4,130.9,272.4,402.1,304.3,241.3,913.0,913.0,649.7,662.4,1535,23.2,13.5,78.0,201.0,31.2,16.5,78.0,180.6,15.6,15.3,43.7,94.3,169.7,149.4,107.2,363.2,603.2,438.7,402.1,662.4,57.9,36.4,120.6,231.4,68.8,34.5,125.1,270.2,28.1,23.6,73.9,121.9,161.6,153.5,148.1,226.7,422.3,402.1,341.2,544.9,544.9,475.8,456.5,767.8,527.8,496.8,315.7,965.2,482.6,496.8,392.8,889.0,367.2,334.5,388.3,603.2,1535,1876,1535,1351,1251,1299,1299,2413,1689,804.3,804.3,3378,1608,734.4,689.4,1689,1089,804.3,913.0,1608,2252,2598,2111,1608,trifecta
2019-10-30,びわこ,2,33.1,16.5,192.3,240.8,50.9,55.9,267.0,405.8,11.3,31.4,77.2,89.0,370.8,452.1,305.0,706.1,515.4,592.4,384.6,859.1,86.3,37.3,193.0,240.8,118.7,51.2,191.6,281.6,27.1,28.7,60.4,75.0,440.5,308.6,169.0,505.3,592.4,621.0,240.8,687.2,209.5,104.7,452.1,536.9,221.2,72.8,360.4,592.4,100.8,66.2,242.0,343.6,758.0,477.2,531.4,1171,904.3,747.0,621.0,1171,9.1,26.4,39.6,39.2,9.6,12.7,27.9,26.1,44.0,28.8,109.2,106.0,47.5,38.4,83.5,54.8,53.6,41.4,86.6,58.0,628.6,781.0,436.8,991.2,644.3,613.6,294.5,1472,1010,726.0,678.2,1257,318.1,218.4,452.1,415.6,1171,1171,1516,706.1,660.8,1257,599.3,1662,1073,1288,409.1,2061,1562,1431,845.0,2061,440.5,320.1,628.6,520.6,1909,1662,1982,888.7,trifecta
2019-10-30,住之江,2,10.4,109.6,29.3,117.1,13.9,77.5,12.5,61.3,254.1,229.1,251.6,513.2,38.5,26.2,223.1,104.5,305.5,238.7,900.5,250.3,32.2,199.7,52.7,184.6,40.3,176.9,22.0,90.2,633.6,523.7,523.7,855.4,84.8,40.8,454.2,140.6,540.3,351.5,1222,318.8,22.5,114.3,13.4,54.5,28.3,151.8,15.4,58.4,250.3,346.8,195.1,351.5,16.0,15.5,101.2,25.7,149.6,136.8,458.2,75.9,603.8,488.8,766.0,1115,675.3,1047,1115,1026,693.6,1115,933.2,1115,1026,1604,1509,1387,1604,1387,1604,1769,106.9,55.9,450.2,120.2,87.1,57.0,513.2,146.6,48.6,46.7,329.0,71.2,564.0,869.9,1006,968.4,176.3,208.6,140.6,855.4,484.2,666.6,1833,557.9,777.7,596.8,2333,649.7,722.9,649.7,1604,361.4,2231,2231,1833,3421,611.0,641.6,366.6,3019,trifecta
2019-10-30,尼　崎,2,47.5,87.6,45.5,168.6,158.2,198.0,178.5,398.4,113.8,199.8,99.9,300.1,45.6,108.1,86.1,102.3,369.8,806.4,704.6,293.5,92.2,103.7,44.0,164.8,217.3,112.5,43.1,118.6,102.5,112.3,23.1,98.7,34.3,23.7,13.5,18.2,296.1,208.5,191.2,60.2,485.0,649.8,301.5,752.1,535.5,237.3,94.6,227.6,816.3,298.8,230.0,649.8,262.5,89.1,205.3,165.6,1217,380.3,760.6,264.5,199.8,514.9,141.5,336.3,161.2,148.7,38.0,115.6,535.5,264.5,230.0,393.7,68.7,26.4,95.7,46.8,455.3,223.1,478.1,140.6,44.3,138.0,88.1,89.1,32.3,22.1,14.3,15.5,161.2,52.0,138.0,83.3,60.1,21.5,86.3,40.5,108.8,29.9,84.6,69.8,787.5,1716,1424,539.8,836.7,553.2,544.2,179.4,2091,683.0,1262,474.7,1716,597.6,1424,289.7,449.2,150.4,318.7,230.0,trifecta
2019-10-30,鳴　門,2,5.4,11.0,6.5,17.6,12.0,26.1,19.3,34.5,28.3,42.6,47.6,74.0,24.3,37.4,66.1,64.8,76.2,112.2,184.3,146.2,17.8,30.5,17.2,47.8,69.8,158.5,120.2,222.2,117.9,207.0,172.5,304.3,80.2,149.7,218.2,246.6,287.7,563.3,761.8,538.3,108.6,211.0,147.8,249.2,161.0,295.4,270.3,453.6,533.6,538.3,761.8,903.9,377.3,469.4,1101,818.4,859.0,1164,1835,1316,179.1,267.3,218.6,438.8,237.5,455.3,385.7,621.1,435.7,596.6,588.0,1053,264.4,354.1,475.0,490.4,903.9,1091,1376,1132,115.9,235.6,360.5,309.7,165.0,370.4,490.4,540.7,455.3,614.8,1153,897.2,500.5,535.9,1009,796.9,716.7,847.0,1001,1199,590.8,1053,1442,1101,761.8,1835,2125,1615,1892,2018,3364,2691,2163,2472,2884,3105,1459,1755,2329,3187,trifecta
