date,venue,raceNumber, 1-2-3, 1-2-4, 1-2-5, 1-2-6, 1-3-2, 1-3-4, 1-3-5, 1-3-6, 1-4-2, 1-4-3, 1-4-5, 1-4-6, 1-5-2, 1-5-3, 1-5-4, 1-5-6, 1-6-2, 1-6-3, 1-6-4, 1-6-5, 2-1-3, 2-1-4, 2-1-5, 2-1-6, 2-3-1, 2-3-4, 2-3-5, 2-3-6, 2-4-1, 2-4-3, 2-4-5, 2-4-6, 2-5-1, 2-5-3, 2-5-4, 2-5-6, 2-6-1, 2-6-3, 2-6-4, 2-6-5, 3-1-2, 3-1-4, 3-1-5, 3-1-6, 3-2-1, 3-2-4, 3-2-5, 3-2-6, 3-4-1, 3-4-2, 3-4-5, 3-4-6, 3-5-1, 3-5-2, 3-5-4, 3-5-6, 3-6-1, 3-6-2, 3-6-4, 3-6-5, 4-1-2, 4-1-3, 4-1-5, 4-1-6, 4-2-1, 4-2-3, 4-2-5, 4-2-6, 4-3-1, 4-3-2, 4-3-5, 4-3-6, 4-5-1, 4-5-2, 4-5-3, 4-5-6, 4-6-1, 4-6-2, 4-6-3, 4-6-5, 5-1-2, 5-1-3, 5-1-4, 5-1-6, 5-2-1, 5-2-3, 5-2-4, 5-2-6, 5-3-1, 5-3-2, 5-3-4, 5-3-6, 5-4-1, 5-4-2, 5-4-3, 5-4-6, 5-6-1, 5-6-2, 5-6-3, 5-6-4, 6-1-2, 6-1-3, 6-1-4, 6-1-5, 6-2-1, 6-2-3, 6-2-4, 6-2-5, 6-3-1, 6-3-2, 6-3-4, 6-3-5, 6-4-1, 6-4-2, 6-4-3, 6-4-5, 6-5-1, 6-5-2, 6-5-3, 6-5-4,placeBed
2019-10-28,多摩川,1,19.0,10.1,62.0,184.5,23.1,13.1,79.5,249.7,6.4,8.3,21.6,87.5,141.5,189.1,87.3,707.9,562.8,540.7,512.4,1226,74.0,37.4,206.8,516.3,146.4,128.8,480.2,653.9,50.3,103.2,178.3,549.3,532.3,1040,457.7,2452,1125,1807,1716,3614,123.9,66.4,267.1,660.2,176.9,146.4,445.9,686.6,79.3,137.8,241.7,586.9,629.9,730.5,572.2,1907,1760,2288,1461,3121,8.9,13.9,20.6,73.6,25.1,52.4,64.1,249.7,38.7,73.5,130.7,392.3,40.1,53.4,123.2,169.1,303.8,413.6,673.2,406.3,562.8,629.9,259.1,1560,915.5,1492,673.2,2288,1401,2215,1089,4291,222.9,467.1,641.7,1271,2985,4291,5722,2215,1716,2746,1163,2452,2367,2746,1907,3814,1040,2367,2641,5722,927.9,1674,2543,2288,3433,4577,4904,2215,trifecta
2019-10-28,蒲　郡,1,16.4,8.0,10.5,31.4,34.1,38.4,43.9,102.3,9.4,32.0,12.7,40.8,17.0,51.5,22.5,53.1,101.5,241.1,139.5,133.1,77.8,35.3,46.3,116.5,282.1,371.4,423.2,520.8,65.2,255.1,98.2,184.5,121.4,392.9,155.2,423.2,335.9,989.0,446.8,704.2,231.6,236.6,258.1,500.1,320.0,423.2,453.7,733.5,328.4,497.3,473.2,624.2,376.1,465.7,557.1,926.5,1100,1143,989.0,1100,34.7,144.0,38.4,77.9,59.0,301.4,83.0,143.3,347.9,520.8,427.3,607.0,49.7,62.9,208.5,66.8,169.6,196.9,508.8,155.7,71.8,193.4,67.4,121.9,139.2,463.2,162.7,303.5,442.3,590.7,550.1,772.1,83.9,118.4,323.6,109.2,234.7,321.2,615.5,217.3,473.2,1239,520.8,704.2,687.7,1600,758.8,1173,1726,2047,1630,1600,536.7,687.7,1571,491.7,758.8,1128,1660,497.3,trifecta
2019-10-28,常　滑,1,20.7,24.8,100.5,102.1,24.3,15.2,53.7,52.9,32.3,24.3,87.5,85.3,200.3,152.3,180.4,287.2,231.9,173.5,211.8,395.1,56.7,60.0,173.5,175.7,63.8,36.2,97.8,82.2,74.6,49.8,138.8,112.4,362.2,228.7,324.5,444.3,392.0,210.9,252.4,454.4,39.2,19.1,67.0,49.5,50.6,26.3,72.7,56.2,20.6,21.6,29.4,23.7,124.1,110.2,67.6,96.5,85.4,90.7,55.6,112.5,75.2,47.1,152.8,126.8,94.9,64.6,171.7,135.4,41.1,40.3,56.4,52.3,210.9,206.5,133.8,173.2,217.3,186.8,126.3,215.4,595.0,371.6,552.3,793.4,793.4,381.5,549.3,819.4,460.7,353.2,263.0,454.4,510.0,403.1,264.4,425.4,925.6,989.8,558.5,628.7,719.2,386.0,584.6,1136,892.6,499.8,549.3,1086,430.9,444.3,243.2,617.1,632.7,497.3,288.9,714.1,1149,1110,675.5,757.3,trifecta
2019-10-28,　津　,1,9.1,4.0,4.9,102.4,19.9,26.3,32.0,236.3,9.7,25.5,14.9,183.0,11.6,33.4,20.6,159.5,377.8,793.9,523.4,625.3,69.6,34.0,37.8,331.7,255.0,373.8,381.9,1284,104.3,301.9,182.1,954.8,108.0,321.1,193.0,1239,1177,3072,1682,2355,293.1,406.0,483.9,1859,450.0,630.8,872.3,1859,692.7,883.2,1333,2208,785.1,905.8,1385,5047,3532,5888,7065,5435,119.5,257.8,155.6,929.7,207.2,556.3,316.8,1723,483.9,579.1,759.7,2617,208.4,281.5,692.7,1536,2018,1723,2523,2944,84.9,262.6,183.5,490.6,142.4,512.0,280.3,831.2,692.7,1104,1333,1811,253.2,344.6,883.2,1239,1039,1442,2355,1962,1766,2826,2944,3364,2717,4156,2617,4156,5435,4710,5047,5435,2944,4416,5888,7065,2944,4710,5047,7065,trifecta
2019-10-28,三　国,1,4.4,12.8,44.7,86.7,4.1,5.1,25.0,70.8,20.0,15.4,79.1,153.0,103.6,79.9,152.1,355.0,360.1,368.9,518.0,572.9,63.6,91.0,363.6,635.5,126.6,231.9,651.9,1200,288.6,350.1,1281,1400,911.1,1145,1644,3781,1219,1800,2520,4726,24.3,21.9,50.3,170.3,77.0,119.1,235.6,518.0,55.1,94.6,137.5,270.1,132.4,231.9,241.6,469.7,544.0,900.3,669.2,859.4,167.6,132.4,356.7,469.7,353.4,387.8,900.3,1260,166.9,288.6,491.0,771.7,635.5,982.1,706.8,1844,1281,1680,1609,2801,521.5,293.1,600.2,1375,957.3,922.3,1680,3151,398.0,681.3,657.6,1800,849.7,1400,922.3,2607,2908,3980,3025,3601,1426,1454,1644,2701,1844,3151,3437,5041,1609,3025,2044,3601,1303,1844,2224,4201,3980,5817,3781,4448,trifecta
2019-10-28,丸　亀,1,11.9,29.5,12.9,114.6,9.8,19.8,6.6,74.0,56.7,48.7,61.2,252.9,17.1,12.9,45.9,89.8,412.8,366.9,533.2,350.7,52.1,135.7,53.8,314.5,90.2,214.6,94.4,433.9,320.5,386.0,357.0,588.6,109.6,118.4,322.2,582.8,743.1,914.6,914.6,1016,32.9,53.7,18.3,144.8,67.2,187.2,66.5,351.7,129.3,224.3,133.0,325.7,30.4,50.8,93.1,162.8,489.3,582.8,545.4,508.1,218.9,211.9,241.6,542.9,410.0,430.8,526.1,695.3,276.5,473.7,346.6,707.7,249.2,377.4,332.1,426.1,951.2,921.7,990.8,1143,48.9,33.8,117.9,192.0,98.5,95.8,275.2,453.8,48.1,73.4,169.1,290.0,257.9,331.2,301.7,533.2,508.1,782.2,616.0,966.7,867.9,1143,1165,1154,1306,1585,1336,2286,1306,1651,1723,1278,1544,1398,1801,2161,1238,1774,1154,1674,trifecta
2019-10-28,宮　島,1,7.3,12.2,35.1,87.6,6.5,6.4,19.8,55.0,15.4,11.1,34.8,81.0,85.0,68.5,92.5,220.6,307.4,255.4,328.4,374.4,43.1,63.5,164.7,342.2,80.1,136.4,358.7,580.9,170.2,202.5,537.0,850.2,697.6,766.4,1053,1755,1200,1497,1920,2400,25.2,22.3,68.7,170.5,64.3,91.9,240.0,473.1,43.3,80.4,129.3,295.7,227.3,434.1,372.7,1007,700.6,938.2,728.7,1209,65.8,44.3,111.8,200.3,143.5,143.2,327.1,593.6,66.1,114.3,169.1,386.8,222.7,342.2,262.0,560.9,545.9,703.6,712.8,977.5,388.6,323.2,459.8,932.8,671.8,854.7,932.8,1774,450.9,854.7,887.2,1718,568.8,808.1,722.3,989.3,1497,1755,2015,1834,1039,1338,1327,1966,1632,2299,1966,2591,2015,1920,1855,2968,1484,1600,1813,2365,2206,3080,3548,2550,trifecta
2019-10-28,下　関,1,4.1,5.6,9.2,19.6,8.7,14.1,22.4,56.1,15.2,24.2,40.6,65.2,24.7,44.4,66.1,100.4,79.1,130.2,139.8,180.0,40.4,49.4,64.8,108.2,152.0,326.8,420.9,563.1,179.6,450.5,537.7,429.6,251.0,617.3,656.2,958.0,341.5,1173,1041,1126,119.0,199.8,228.3,391.2,207.3,363.9,641.1,666.7,476.2,683.1,833.4,1082,457.9,757.6,1173,1041,969.1,1068,2083,1437,156.0,292.4,270.6,427.4,272.3,541.2,574.8,724.7,574.8,877.3,980.5,1412,434.0,612.8,833.4,688.8,969.1,980.5,1894,1302,189.4,289.3,438.6,599.6,359.2,992.2,936.4,1262,591.1,1068,1572,1389,672.1,915.8,1543,1243,926.0,1243,1572,2315,222.8,586.9,666.7,706.3,438.6,1543,1302,2083,1190,2137,2604,1700,1126,1811,3968,2604,1096,1462,1412,2381,trifecta
2019-10-28,唐　津,1,6.7,30.0,16.8,11.1,7.7,24.1,13.7,7.7,82.9,71.4,108.8,62.2,44.4,37.6,115.6,37.6,24.1,15.5,52.0,33.7,102.8,291.4,209.6,114.9,182.5,773.5,531.3,224.0,657.3,1111,1295,826.0,496.3,841.9,1265,679.8,257.5,310.5,739.5,675.6,75.7,126.0,93.8,41.6,152.4,614.9,495.2,186.3,261.5,555.6,491.9,210.6,221.5,445.8,657.3,213.5,69.9,151.8,185.8,186.6,395.1,343.1,471.7,248.4,608.0,986.0,1027,770.8,450.4,882.6,886.2,383.3,627.2,923.6,1018,564.1,369.1,618.3,382.7,625.4,301.1,234.1,479.0,182.4,567.1,879.1,1146,638.2,395.8,796.0,1062,416.1,838.7,1176,1196,747.1,279.9,494.1,361.8,675.6,123.8,81.1,248.1,197.0,247.6,291.4,722.4,655.4,112.2,231.4,313.6,330.1,502.0,770.8,479.0,935.5,331.1,573.0,437.8,765.4,trifecta
2019-10-28,大　村,1,20.8,68.3,77.3,36.5,19.5,16.8,18.6,7.5,93.5,43.5,109.3,47.0,108.0,65.4,142.7,63.8,21.6,7.5,25.9,22.6,205.5,494.9,373.4,228.5,255.0,638.5,398.3,276.0,643.4,880.5,984.1,789.1,708.8,844.9,1178,1020,289.4,371.7,1072,584.9,81.1,49.6,41.2,22.1,202.0,335.9,314.4,213.9,66.3,223.0,69.1,72.9,88.2,255.8,105.0,95.9,40.9,145.7,88.7,91.5,449.7,192.2,297.6,211.7,889.8,919.2,836.4,1072,175.7,606.1,172.4,199.1,414.1,781.7,269.8,402.1,341.4,1086,326.7,557.6,653.5,224.8,486.3,269.8,929.4,1267,1818,961.4,288.4,984.1,368.5,325.4,619.6,2091,406.0,658.6,368.5,1286,383.7,774.5,74.0,22.6,76.8,52.0,229.1,283.5,680.0,584.9,45.3,166.6,129.2,121.4,261.4,746.8,281.6,444.9,233.0,619.6,258.1,536.2,trifecta
