boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 30, 23, 51, 22, 18, 15, 37.91, 38.22, 23.53, 37.11, 26.35, 26.67, 58.82, 56.69, 40.44, 53.46, 44.59, 47.33,2019-03-31, 49, 56,  6, 47, 24, 17, 33.85, 32.32, 24.84, 21.50, 26.88, 25.50, 50.26, 51.22, 45.10, 39.25, 43.01, 40.94,1,戸　田
 60, 56, 68, 73, 25, 58, 32.05, 27.07, 34.21, 35.63, 40.98, 41.77, 44.87, 39.10, 50.66, 47.50, 59.56, 60.76,2019-03-31, 75, 67, 22, 35, 30, 38, 31.52, 34.97, 34.52, 39.39, 34.32, 30.30, 47.88, 52.15, 54.17, 55.76, 52.07, 44.85,1,平和島
 25, 12, 33, 75, 23, 60, 35.24, 32.00, 35.09, 40.71, 37.50, 25.49, 52.38, 47.00, 64.04, 56.64, 51.79, 47.06,2019-03-31, 28, 22, 37, 23, 34, 45, 27.54, 36.61, 35.86, 42.55, 34.62, 37.61, 45.34, 50.00, 52.99, 56.60, 55.56, 53.54,1,浜名湖
 55, 66, 45, 20, 46, 62, 35.76, 36.78, 26.00, 35.71, 25.35, 37.36, 55.15, 60.92, 41.33, 48.81, 47.18, 57.47,2019-03-31,  8, 23, 31, 56, 41, 40, 31.82, 28.21, 28.13, 51.16, 25.00, 35.82, 43.94, 51.28, 45.31, 66.28, 41.07, 53.73,1,常　滑
 51, 50, 58, 64, 75, 40, 39.79, 30.95, 39.25, 41.78, 50.25, 29.74, 58.64, 51.90, 55.61, 58.69, 60.91, 49.74,2019-03-31, 11, 39, 31, 52,  4, 10, 36.61, 27.45, 30.99, 38.01, 36.54, 33.17, 56.70, 40.20, 49.30, 55.20, 60.58, 50.99,1,尼　崎
 75, 60, 31, 62, 67, 54, 38.89, 34.12, 35.41, 30.39, 34.62, 37.09, 55.56, 51.18, 50.72, 45.59, 53.37, 50.70,2019-03-31, 70, 60, 11, 50, 31, 79, 45.33, 29.61, 32.13, 31.86, 37.50, 38.32, 61.68, 47.09, 48.87, 46.46, 55.29, 53.27,1,鳴　門
 58, 11, 63, 12, 30, 38, 35.19, 23.13, 31.03, 36.81, 36.71, 21.53, 50.62, 48.98, 50.34, 60.12, 48.10, 36.81,2019-03-31, 25, 52, 28, 44,  3, 48, 18.67, 41.46, 21.13, 25.32, 31.08, 31.76, 36.00, 63.41, 43.66, 43.04, 45.95, 52.94,1,丸　亀
 14, 32, 53, 23, 37, 36, 19.59, 47.37, 23.58, 32.54, 32.59, 31.82, 30.93, 64.04, 34.91, 47.62, 48.89, 50.00,2019-03-31, 20, 65, 42, 62, 22, 69, 25.69, 34.40, 24.77, 27.56, 27.42, 29.29, 35.78, 53.60, 48.62, 40.16, 43.55, 44.44,1,宮　島
 62, 57, 31, 19, 46, 25, 41.43, 37.50, 31.75, 47.14, 33.80, 31.82, 61.43, 54.17, 47.62, 51.43, 56.34, 54.55,2019-03-31, 42, 38, 64, 13, 40, 26, 30.67, 27.54, 34.09, 35.47, 40.35, 34.63, 47.56, 43.00, 51.82, 53.69, 57.02, 51.52,1,徳　山
139,148,137,157,136,126, 25.76, 31.79, 42.25, 28.46, 27.41, 30.77, 43.94, 49.01, 54.93, 51.54, 38.52, 53.15,2019-03-31, 52, 13, 65, 14, 23, 27, 49.18, 38.75, 30.77, 31.97, 33.06, 34.97, 65.57, 53.75, 47.55, 50.34, 52.07, 51.37,1,福　岡
 69, 50, 46, 13, 52, 30, 34.87, 33.93, 41.07, 32.73, 30.99, 32.12, 46.71, 50.60, 56.55, 49.70, 51.41, 46.67,2019-03-31, 14, 12, 21, 72, 64, 16, 65.52, 36.84, 35.71, 36.67, 27.78, 31.03, 93.10, 50.00, 46.43, 53.33, 44.44, 48.28,1,大　村
 46, 62, 12, 50, 41, 76, 26.43, 39.84, 33.77, 33.33, 36.13, 38.46, 42.14, 57.03, 56.95, 44.00, 49.68, 50.00,2019-03-31,  2, 31, 50, 30, 21, 36, 29.75, 19.54, 21.78, 31.18, 28.31, 34.97, 44.94, 42.53, 40.59, 44.71, 48.80, 46.99,2,戸　田
 64, 14, 67, 57, 13, 11, 31.88, 28.57, 35.14, 32.52, 36.46, 34.88, 48.13, 44.10, 48.65, 52.15, 58.01, 54.65,2019-03-31, 45, 47, 33, 61, 53, 46, 25.61, 37.04, 34.15, 27.39, 46.95, 36.97, 39.02, 62.35, 56.71, 40.13, 65.85, 51.52,2,平和島
 26, 34, 55, 40, 56, 44, 31.86, 25.51, 33.04, 40.78, 22.33, 31.58, 51.33, 40.82, 44.64, 56.31, 38.83, 44.74,2019-03-31,  8,  9, 50, 44, 26, 10, 40.60, 28.79, 25.70, 36.32, 31.36, 31.91, 54.70, 46.46, 39.66, 58.55, 47.73, 51.06,2,浜名湖
 50, 28, 24, 40, 21, 14, 33.91, 29.52, 37.71, 31.95, 32.94, 28.15, 48.28, 46.39, 54.86, 46.15, 52.94, 43.70,2019-03-31, 39, 43, 34,  6, 45, 12, 30.30, 28.79, 19.05, 33.80, 52.17, 10.91, 45.45, 51.52, 41.27, 46.48, 65.22, 20.00,2,常　滑
 22, 17, 44, 36, 15, 65, 42.65, 38.50, 40.21, 39.53, 31.50, 33.33, 59.31, 62.44, 59.28, 53.95, 45.00, 48.26,2019-03-31,  5, 17, 42, 59, 36, 32, 37.10, 52.42, 34.38, 34.12, 35.22, 34.95, 56.56, 68.72, 53.57, 49.29, 53.04, 51.46,2,尼　崎
 21, 50, 36, 38, 53, 74, 40.18, 32.16, 31.34, 33.18, 30.96, 32.08, 59.82, 50.25, 47.47, 43.60, 46.70, 47.64,2019-03-31, 56, 53, 39, 20, 17, 58, 30.00, 31.63, 34.13, 30.81, 31.65, 39.56, 48.10, 46.05, 51.44, 43.94, 50.46, 56.44,2,鳴　門
 53, 13, 33, 18, 37, 44, 40.63, 37.66, 33.33, 26.90, 28.57, 34.97, 56.88, 50.65, 53.59, 45.52, 51.70, 49.08,2019-03-31, 29, 20, 31, 65, 12, 27, 31.25, 32.50, 26.03, 54.55, 20.78, 52.50, 42.50, 43.75, 41.10, 68.83, 36.36, 66.25,2,丸　亀
 26, 40, 41, 66, 47, 13, 30.58, 39.39, 37.80, 36.67, 42.31, 35.29, 48.76, 58.33, 55.91, 48.33, 58.46, 50.00,2019-03-31, 53, 70, 40, 38, 71, 14, 25.47, 27.19, 33.81, 31.40, 29.60, 35.00, 40.57, 44.74, 46.76, 49.59, 40.80, 49.17,2,宮　島
 17, 59, 63, 54, 69, 64, 33.80, 33.78, 27.94, 36.00, 33.75, 35.29, 52.11, 51.35, 42.65, 58.67, 55.00, 54.41,2019-03-31, 70, 31, 43, 16, 66, 34, 29.51, 45.02, 45.83, 28.87, 38.77, 40.85, 47.54, 60.56, 59.58, 46.39, 57.71, 57.28,2,徳　山
134,151,143,144,166,142, 33.08, 37.24, 34.48, 34.93, 38.46, 39.85, 50.77, 58.62, 54.48, 50.00, 56.64, 56.39,2019-03-31, 66, 51, 34, 73, 56, 64, 41.22, 35.71, 37.36, 29.77, 40.37, 39.47, 54.20, 54.55, 54.02, 51.15, 54.04, 55.26,2,福　岡
 34, 55, 62, 53, 43, 60, 27.27, 38.92, 38.27, 27.97, 40.37, 28.47, 42.21, 56.29, 56.17, 46.15, 54.04, 42.36,2019-03-31, 11, 41, 31, 52, 59, 36, 25.93, 38.89, 21.43, 27.27, 47.37, 41.38, 59.26, 55.56, 50.00, 63.64, 52.63, 62.07,2,大　村
 44, 29, 60, 64, 24, 47, 26.21, 33.33, 28.67, 32.24, 35.95, 34.00, 40.69, 45.51, 46.15, 51.97, 46.41, 52.67,2019-03-31,  1, 39, 20, 18, 43, 64, 34.44, 38.99, 28.26, 27.13, 31.30, 28.14, 45.70, 56.60, 46.38, 48.84, 42.75, 45.51,3,戸　田
 50, 74, 43, 17, 61, 53, 36.94, 25.95, 34.83, 32.93, 27.74, 27.92, 50.96, 38.93, 48.31, 47.56, 43.87, 51.30,2019-03-31, 60, 31, 18, 11, 48, 58, 30.18, 28.92, 27.33, 28.03, 42.07, 38.79, 45.56, 45.18, 50.93, 42.04, 59.76, 61.21,3,平和島
 37, 20, 14, 21, 11, 52, 28.95, 21.05, 37.96, 30.53, 37.50, 49.09, 47.37, 35.79, 51.85, 43.16, 52.68, 62.73,2019-03-31, 58, 31, 17, 59, 43, 46, 39.68, 35.74, 30.52, 37.27, 37.61, 37.07, 58.33, 49.36, 44.13, 52.73, 54.70, 54.31,3,浜名湖
 32, 22, 53, 56, 29, 35, 30.30, 39.66, 35.00, 38.01, 29.45, 34.46, 48.48, 57.54, 51.67, 48.54, 44.17, 46.89,2019-03-31, 18, 50,  1, 14, 60, 37, 13.64, 25.33, 33.82, 21.13, 28.00, 30.88, 27.27, 37.33, 52.94, 42.25, 42.67, 48.53,3,常　滑
