boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 12, 62, 14, 58, 35, 50, 34.75, 43.27, 41.80, 29.66, 38.66, 36.89, 59.32, 61.54, 57.38, 42.37, 52.94, 48.36,2019-02-01, 42, 36, 29,  1, 60, 53, 29.17, 36.67, 29.55, 36.44, 31.20, 38.24, 43.75, 48.00, 45.45, 46.61, 48.80, 55.88,1,戸　田
 59, 25, 60, 11, 67, 46, 37.04, 33.97, 36.02, 32.97, 25.63, 26.42, 50.00, 50.00, 52.17, 51.10, 43.13, 42.45,2019-02-01, 15, 35, 59, 12, 63, 76, 28.57, 37.43, 43.62, 35.57, 28.03, 33.92, 43.45, 48.04, 60.40, 51.68, 40.13, 54.97,1,蒲　郡
 31, 60, 35, 44, 20, 29, 36.62, 32.58, 35.29, 40.58, 35.34, 31.25, 50.70, 46.97, 49.26, 57.97, 48.87, 42.19,2019-02-01, 39, 52, 53, 19, 50,  2, 33.33, 30.43, 35.14, 32.35, 22.86, 34.29, 48.48, 52.17, 51.35, 38.24, 37.14, 60.00,1,常　滑
 48, 73, 36, 35, 15, 39, 35.63, 29.49, 27.78, 46.91, 36.71, 39.68, 51.72, 48.72, 47.22, 58.02, 55.70, 53.97,2019-02-01, 15, 19, 63, 54, 58, 36, 18.31, 46.07, 39.13, 45.56, 31.52, 32.39, 38.03, 68.54, 53.26, 70.00, 48.91, 53.52,1,　津　
 68, 69, 27, 61, 83, 66, 48.99, 44.59, 38.31, 27.10, 28.03, 39.19, 65.77, 64.19, 53.90, 41.29, 49.04, 55.41,2019-02-01, 36, 69, 55, 71, 35, 25, 36.21, 30.06, 28.74, 37.29, 29.49, 34.18, 49.43, 43.35, 47.70, 51.41, 44.23, 49.37,1,住之江
 57, 25, 42, 20, 48, 26, 29.53, 34.69, 32.17, 36.14, 25.17, 31.41, 43.62, 49.49, 50.00, 49.01, 38.41, 50.00,2019-02-01, 59, 58, 54, 50, 63, 40, 90.00, 11.11, 63.64, 36.36, 45.45, 15.79,100.00, 22.22, 72.73, 81.82, 63.64, 26.32,1,児　島
 45, 30, 63, 75, 13, 52, 25.00, 68.75, 34.48, 34.48, 27.59, 27.59, 44.44, 84.38, 44.83, 44.83, 48.28, 58.62,2019-02-01, 69, 56, 57, 42, 55, 65, 37.72, 33.55, 40.79, 29.14, 48.77, 37.50, 54.49, 52.63, 55.26, 46.86, 68.52, 55.43,1,徳　山
 52, 55, 40, 51, 32, 35, 30.36, 24.86, 32.07, 31.76, 35.00, 36.36, 49.40, 45.66, 51.63, 51.18, 50.00, 58.52,2019-02-01, 39, 19, 17, 21, 31, 55, 31.21, 34.67, 34.87, 24.65, 23.14, 30.37, 56.03, 52.67, 51.32, 40.85, 44.63, 49.63,1,芦　屋
 58, 52, 54, 46, 69, 71, 30.33, 23.68, 38.58, 47.24, 25.44, 29.46, 47.54, 48.25, 53.54, 62.20, 35.96, 45.54,2019-02-01, 27, 13, 47, 23, 45, 48, 33.87, 40.83, 30.50, 34.62, 37.75, 43.41, 51.61, 52.75, 45.50, 47.60, 56.37, 57.07,1,大　村
 26, 41, 61, 39, 31, 60, 40.17, 37.10, 36.13, 36.67, 38.84, 25.00, 53.85, 50.00, 53.78, 54.17, 55.37, 43.52,2019-02-01, 10, 46, 51, 59, 64, 12, 35.16, 28.41, 29.66, 37.14, 30.08, 36.42, 49.22, 48.86, 46.90, 58.10, 47.15, 51.66,2,戸　田
 70, 65, 57, 61, 12, 16, 27.64, 39.53, 34.07, 33.97, 22.06, 35.85, 46.34, 57.56, 42.86, 50.00, 41.18, 54.09,2019-02-01, 57, 72, 39, 29, 45, 27, 29.41, 42.95, 41.61, 36.31, 34.73, 47.02, 41.91, 63.09, 60.25, 49.40, 55.09, 64.24,2,蒲　郡
 21, 26, 27, 38, 48, 75, 32.41, 36.69, 34.04, 32.52, 34.92, 36.89, 52.41, 54.68, 53.19, 53.66, 48.41, 45.90,2019-02-01,  7, 44,  9, 35, 55, 28, 55.17, 27.59, 21.21, 50.00, 52.38, 41.03, 75.86, 48.28, 42.42, 63.89, 78.57, 58.97,2,常　滑
 30, 72, 62, 68, 18, 44, 28.21, 41.67, 31.18, 27.14, 30.26, 38.46, 47.44, 58.33, 49.46, 40.00, 52.63, 52.56,2019-02-01, 64, 13, 53, 33, 61, 60, 36.90, 39.73, 30.28, 16.28, 21.95, 25.00, 53.57, 56.16, 44.04, 27.91, 41.46, 40.22,2,　津　
 88, 78, 20, 37, 58, 24, 38.19, 35.40, 30.86, 26.67, 28.57, 20.86, 54.86, 49.69, 50.00, 44.85, 45.96, 33.09,2019-02-01, 57, 15, 33, 72, 21, 20, 39.66, 32.57, 37.06, 25.16, 43.27, 33.33, 54.02, 47.43, 53.53, 40.25, 61.40, 50.60,2,住之江
 36, 69, 37, 19, 38, 65, 36.67, 35.04, 34.32, 25.33, 32.45, 33.01, 55.56, 51.71, 50.89, 41.33, 51.66, 53.59,2019-02-01, 14, 22, 33, 38, 35, 71, 36.36, 36.36, 45.45, 18.75, 45.45, 22.22, 54.55, 72.73, 63.64, 25.00, 72.73, 22.22,2,児　島
 65, 32, 39, 17, 67, 36, 26.67, 37.93, 11.11, 18.92, 51.52, 51.22, 40.00, 58.62, 22.22, 45.95, 63.64, 70.73,2019-02-01, 43, 48, 19, 61, 62, 52, 44.68, 23.49, 28.31, 28.14, 39.38, 31.38, 57.45, 37.35, 45.78, 49.10, 62.50, 51.06,2,徳　山
 63, 58, 11, 30, 38, 57, 34.48, 33.33, 35.00, 26.51, 41.48, 36.26, 47.13, 51.79, 51.67, 43.98, 58.52, 51.46,2019-02-01, 41, 16, 11, 37, 35, 48, 38.52, 36.67, 19.40, 26.40, 36.43, 36.88, 54.07, 51.33, 38.06, 40.80, 52.86, 50.35,2,芦　屋
 36, 51, 66, 22, 68, 70, 37.10, 28.45, 44.44, 30.58, 27.83, 36.00, 52.42, 47.41, 65.08, 49.59, 44.35, 52.80,2019-02-01, 43, 36, 32, 49, 40, 50, 41.58, 33.65, 32.00, 49.08, 31.03, 39.61, 55.94, 52.88, 50.50, 67.43, 51.23, 59.42,2,大　村
 52, 51, 59, 47, 22, 16, 23.28, 20.75, 20.95, 36.59, 33.93, 22.22, 37.93, 39.62, 39.05, 56.10, 49.11, 43.43,2019-02-01, 28, 15, 43, 48, 35,  2, 51.06, 45.13, 30.12, 34.07, 30.48, 28.46, 69.50, 60.18, 36.14, 48.15, 49.52, 42.28,3,戸　田
 55, 54, 13, 30, 14, 20, 29.68, 32.94, 36.17, 34.59, 41.73, 19.42, 43.23, 51.18, 56.91, 49.69, 57.55, 42.45,2019-02-01, 36, 65, 67, 41, 46, 17, 36.20, 38.20, 43.83, 36.78, 33.52, 49.30, 51.53, 61.80, 59.88, 58.05, 53.07, 65.49,3,蒲　郡
 51, 67, 63, 53, 39, 58, 36.05, 31.34, 32.61, 29.60, 40.28, 31.86, 54.42, 50.75, 49.28, 47.20, 59.03, 48.67,2019-02-01, 47, 61, 56, 64, 22, 57, 36.59, 44.12, 39.02, 47.06, 41.94, 37.50, 51.22, 58.82, 58.54, 67.65, 58.06, 57.50,3,常　滑
 38, 22, 23, 29, 49, 32, 41.30, 46.05, 32.50, 26.39, 26.76, 25.93, 53.26, 57.89, 58.75, 34.72, 40.85, 38.27,2019-02-01, 25, 62, 22, 49, 52, 29, 46.32, 38.71, 26.58, 21.54, 27.38, 36.84, 57.89, 56.99, 48.10, 41.54, 47.62, 52.63,3,　津　
 26, 23, 87, 55, 57, 53, 34.29, 29.88, 36.54, 29.38, 35.58, 34.64, 47.86, 46.34, 57.05, 50.00, 50.31, 56.21,2019-02-01, 50, 75, 22, 73, 86, 34, 32.57, 35.09, 23.90, 37.06, 25.00, 28.40, 48.57, 61.99, 40.88, 53.53, 40.85, 42.60,3,住之江
 28, 64, 14, 17, 21, 50, 31.33, 29.87, 35.29, 33.66, 34.67, 36.49, 48.00, 44.16, 52.49, 52.97, 51.82, 54.98,2019-02-01, 72, 18, 55, 64, 34, 32, 40.00, 15.79, 45.45, 40.00, 60.00, 60.00, 60.00, 31.58, 72.73, 40.00, 80.00, 70.00,3,児　島
 21, 18, 25, 53, 16, 43, 26.09, 33.33, 39.29, 14.29, 28.95, 20.69, 52.17, 53.85, 60.71, 28.57, 55.26, 34.48,2019-02-01, 30, 64, 68, 70, 72, 71, 36.52, 37.43, 33.88, 24.63, 37.43, 29.24, 52.25, 54.97, 50.82, 42.54, 55.31, 40.94,3,徳　山
 71, 43, 31, 26, 72, 27, 28.31, 24.69, 34.04, 29.21, 31.67, 40.94, 49.40, 41.98, 53.19, 43.82, 47.22, 57.89,2019-02-01, 46, 28,  5, 13, 43, 15, 32.37, 25.38, 36.91, 37.67, 44.37, 36.88, 56.12, 46.15, 56.38, 59.59, 62.25, 55.32,3,芦　屋
 49, 13, 32, 72, 63, 61, 26.55, 34.40, 26.55, 36.80, 33.33, 34.43, 45.13, 51.20, 41.59, 54.40, 46.34, 49.18,2019-02-01, 69, 71, 41, 70, 52, 76, 33.82, 35.03, 34.27, 32.14, 37.13, 44.70, 48.04, 57.36, 51.64, 50.00, 50.99, 55.76,3,大　村
 45, 48, 11, 15, 30, 40, 32.76, 36.13, 30.43, 23.48, 38.02, 33.88, 45.69, 47.06, 43.48, 43.48, 59.50, 48.76,2019-02-01, 37, 38, 41,  9, 19, 25, 42.54, 44.62, 28.10, 39.81, 43.97, 42.40, 61.19, 63.85, 47.93, 50.00, 56.03, 61.60,4,戸　田
