boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 28, 21, 16, 71, 40, 75, 29.17, 34.85, 40.16, 45.19, 24.19, 31.58, 44.17, 47.73, 60.66, 58.52, 35.48, 48.87,2019-06-17, 69, 50, 65, 41, 60, 63, 34.68, 29.75, 31.97, 26.32, 25.64, 28.13, 49.19, 47.93, 48.36, 40.79, 39.74, 45.83,1,桐　生
 54, 35, 51, 24, 69, 13, 29.17, 30.43, 33.33, 23.08, 23.08, 23.08, 50.00, 39.13, 55.56, 30.77, 42.31, 34.62,2019-06-17, 37, 36, 34, 29, 27, 24, 25.00, 25.00, 25.00, 32.00, 30.77, 47.83, 41.67, 33.33, 41.67, 56.00, 46.15, 65.22,1,江戸川
 46, 28, 20, 49, 16, 19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-17, 44, 66, 64, 35, 63, 30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,平和島
 76, 66, 64, 44, 39, 74, 37.24, 30.30, 35.19, 35.33, 35.58, 22.98, 53.10, 52.12, 54.94, 46.71, 50.92, 35.40,2019-06-17, 55, 27, 21,  6, 29, 40, 26.83, 33.33, 25.58, 43.14, 28.00, 33.96, 46.34, 50.00, 41.86, 50.98, 48.00, 52.83,1,浜名湖
 60, 71, 58, 68, 22, 32, 35.90, 32.39, 33.62, 36.36, 38.30, 33.19, 52.56, 49.30, 53.45, 57.42, 54.89, 49.58,2019-06-17,  5, 54, 55,  6, 47, 18, 32.76, 31.82, 35.71, 33.04, 30.65, 27.20, 52.59, 47.73, 53.57, 46.96, 47.58, 41.60,1,常　滑
 32, 21, 36, 43, 28, 26, 25.52, 30.97, 25.55, 27.54, 34.13, 36.57, 42.07, 52.90, 47.45, 47.83, 50.30, 50.86,2019-06-17, 70, 17, 65, 49, 68, 73, 32.05, 31.76, 24.84, 28.75, 29.68, 32.12, 51.92, 50.00, 43.14, 45.00, 49.03, 54.55,1,　津　
 68, 39, 71, 15, 61, 43,  0.00, 25.00,  0.00,  0.00,100.00, 40.00,  0.00, 37.50,  0.00,  0.00,100.00, 60.00,2019-06-17, 48, 44, 24, 67, 14, 33, 11.11, 60.00, 11.11,  0.00, 33.33, 11.11, 66.67, 60.00, 22.22,  0.00, 77.78, 11.11,1,びわこ
 73, 36, 76, 52, 80, 20, 48.39, 59.38, 31.25, 21.43, 31.25, 36.67, 80.65, 81.25, 40.63, 42.86, 43.75, 43.33,2019-06-17, 14, 51, 73, 50, 62, 30, 48.39, 48.28, 36.11, 68.57, 46.88, 31.25, 58.06, 62.07, 75.00, 85.71, 62.50, 43.75,1,鳴　門
 66, 64, 19,  1, 61, 12, 34.59, 41.75, 42.27, 33.33, 36.04, 33.87, 48.11, 60.82, 63.40, 48.96, 53.30, 55.38,2019-06-17, 31, 44, 54, 26, 22, 15, 27.83, 20.63, 37.40, 32.46, 43.48, 40.00, 42.61, 31.75, 59.54, 49.12, 58.26, 46.67,1,丸　亀
 59, 34, 19, 46, 25, 31, 38.95, 44.63, 38.42, 40.91, 23.53, 27.62, 50.53, 58.19, 53.11, 59.09, 36.97, 49.72,2019-06-17, 24, 62, 17, 30, 48, 29, 36.81, 26.83, 32.34, 38.37, 28.05, 39.87, 57.06, 40.24, 49.70, 58.14, 44.51, 56.96,1,宮　島
 11, 49, 60, 43, 69, 38, 34.40, 28.91, 34.96, 29.23, 31.67, 36.52, 51.20, 50.78, 55.28, 40.77, 50.00, 45.22,2019-06-17, 45, 49, 29, 52, 32, 56, 43.33, 35.48, 27.59, 31.25, 41.38, 38.10, 73.33, 45.16, 34.48, 56.25, 55.17, 85.71,1,徳　山
 45, 64, 69, 46, 67, 17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-17, 32, 33, 44, 18, 50, 35, 44.88, 34.71, 43.94, 30.77, 37.19, 35.38, 67.72, 47.93, 61.36, 47.69, 48.76, 49.23,1,若　松
