date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-04-22, 17, 33, 15, 13, 11, 34, 24.53, 31.55, 40.00, 27.16, 48.41, 34.90, 39.62, 49.40, 56.13, 42.59, 63.06, 54.69,1,戸　田
2019-04-22, 19, 25, 10, 63, 20, 33, 34.90, 37.17, 42.70, 37.17, 27.75, 34.03, 48.44, 56.54, 56.22, 57.07, 52.02, 56.54,1,平和島
2019-04-22,  5, 34, 15, 66, 29, 16, 44.44, 44.44, 14.29,  0.00, 50.00, 22.22, 66.67, 55.56, 71.43,  0.00, 87.50, 55.56,1,浜名湖
2019-04-22, 16, 52, 13, 17, 41, 65, 39.65, 32.21, 31.88, 45.75, 37.85, 36.58, 58.59, 50.00, 43.96, 66.51, 56.57, 61.48,1,蒲　郡
2019-04-22, 44, 30, 62, 39, 54, 27, 25.30, 17.81, 31.65, 30.86, 39.56, 39.76, 39.76, 35.62, 45.57, 43.21, 53.85, 50.60,1,常　滑
2019-04-22, 15, 25, 12, 13, 47, 36, 32.06, 40.44, 29.46, 39.34, 25.60, 28.32, 48.85, 53.68, 51.94, 58.20, 43.20, 50.44,1,　津　
2019-04-22, 63, 36, 32, 39, 15, 17, 35.24, 28.97, 43.81, 32.51, 27.94, 33.33, 56.19, 48.13, 56.64, 49.75, 47.06, 46.01,1,びわこ
2019-04-22,  4, 10,  1, 13, 14, 32,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,尼　崎
2019-04-22,  3, 55, 57, 51, 29, 35, 29.76, 28.26, 21.43, 40.00, 32.61, 45.36, 44.05, 50.00, 33.67, 62.11, 42.39, 64.95,1,丸　亀
2019-04-22, 16, 47, 13, 11, 69, 43, 29.19, 32.74, 38.29, 34.86, 36.82, 44.31, 46.41, 47.53, 54.95, 48.62, 54.39, 58.04,1,徳　山
2019-04-22, 30, 22, 17, 23, 39, 57, 25.37, 44.19, 22.73, 25.84, 30.95, 25.76, 38.81, 54.65, 45.45, 40.45, 48.81, 46.97,1,若　松
2019-04-22, 13, 29, 41, 57, 30, 40, 31.71, 32.74, 34.59, 32.92, 37.42, 28.76, 48.78, 52.98, 54.72, 46.58, 54.84, 47.06,1,唐　津
2019-04-22, 18, 32, 62, 25, 59, 56, 24.32, 47.50, 38.89, 44.12, 33.33, 11.43, 48.65, 65.00, 61.11, 55.88, 47.22, 22.86,1,大　村
2019-04-22, 10, 52, 48, 64, 49, 60, 34.87, 34.62, 35.05, 27.53, 33.49, 31.11, 53.33, 52.75, 50.52, 45.51, 49.30, 49.44,2,戸　田
2019-04-22, 22, 12, 26, 29, 24, 68, 31.77, 35.75, 43.24, 42.02, 34.57, 32.12, 51.56, 52.85, 56.22, 63.83, 49.47, 50.26,2,平和島
