date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-06, 71, 33, 34, 25, 22, 59, 26.83, 33.33, 36.71, 33.75, 39.19, 25.71, 47.56, 53.09, 51.90, 56.25, 60.81, 44.29,1,桐　生
2019-05-06, 26, 59,  5, 58, 55, 34, 40.23, 36.77, 35.02, 34.76, 42.86, 33.33, 59.77, 59.35, 56.68, 52.41, 59.79, 52.74,1,戸　田
2019-05-06, 67, 69, 46, 70, 14, 74, 34.34, 31.98, 34.67, 33.68, 37.81, 41.90, 51.52, 48.73, 49.75, 50.78, 56.22, 58.57,1,平和島
2019-05-06, 31, 11, 33, 26, 54, 49, 30.18, 28.64, 51.43, 33.15, 36.51, 31.45, 46.75, 47.74, 72.57, 50.56, 53.44, 43.40,1,多摩川
2019-05-06,  4, 64, 29, 24, 58, 65, 33.33, 55.56, 43.75, 60.00, 25.00, 25.00, 50.00, 55.56, 62.50, 60.00, 75.00, 50.00,1,浜名湖
2019-05-06, 52, 56, 53, 28, 21, 20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,蒲　郡
2019-05-06, 13, 10, 24, 46, 32, 14, 31.46, 34.04, 36.17, 31.96, 25.53, 24.14, 49.44, 59.57, 59.57, 54.64, 44.68, 45.98,1,常　滑
2019-05-06, 22, 55, 20, 68, 52, 65, 50.00, 30.00, 36.36, 20.00, 45.45, 18.18, 70.00, 45.00, 63.64, 60.00, 54.55, 27.27,1,三　国
2019-05-06, 30, 56, 11, 80, 76, 57, 46.15, 36.00, 35.00, 22.22, 42.86, 28.00, 50.00, 44.00, 45.00, 51.85, 57.14, 36.00,1,住之江
2019-05-06,  4, 37, 27, 29,  2, 60, 23.53, 11.11, 31.58, 36.36, 38.46, 25.00, 41.18, 11.11, 36.84, 54.55, 46.15, 37.50,1,尼　崎
2019-05-06, 63, 77, 21, 67, 64, 66, 66.67, 27.27, 28.57, 11.11, 80.00, 33.33, 77.78, 45.45, 28.57, 22.22,100.00, 55.56,1,鳴　門
2019-05-06, 43, 53, 34, 49, 10, 28, 31.13, 33.98, 25.47, 40.00, 24.24, 18.39, 45.28, 53.40, 37.74, 59.05, 39.39, 37.93,1,丸　亀
2019-05-06, 43, 29, 42, 33, 66, 56, 28.75, 20.78, 50.00, 25.97, 53.52, 37.88, 50.00, 33.77, 63.16, 38.96, 73.24, 63.64,1,児　島
