boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 33, 63, 22, 74, 68, 55, 40.74, 22.22, 30.91, 31.03, 33.33, 34.55, 62.96, 42.59, 41.82, 44.83, 50.88, 56.36,2019-02-15, 46, 13, 50, 72, 17, 49, 35.29, 38.24, 35.14, 46.43, 39.29, 33.33, 52.94, 50.00, 62.16, 64.29, 53.57, 59.26,1,桐　生
 75, 57, 47, 50, 30, 65, 34.35, 33.59, 34.88, 34.88, 37.69, 36.22, 53.44, 52.34, 54.26, 45.74, 60.00, 59.06,2019-02-15, 46, 51, 31, 63,  5, 23, 26.73, 29.38, 19.75, 22.35, 33.54, 32.65, 48.51, 48.13, 44.44, 35.29, 55.28, 46.94,1,戸　田
 12, 39, 16, 14, 17, 68, 37.23, 30.46, 31.61, 33.91, 32.97, 32.57, 57.45, 47.70, 51.15, 50.57, 48.35, 47.43,2019-02-15, 29, 15, 10, 16, 63, 48, 27.65, 31.58, 28.32, 29.21, 30.86, 36.70, 43.53, 49.71, 45.66, 46.63, 42.29, 50.53,1,江戸川
 17, 29, 53, 35, 55, 46, 32.37, 41.50, 29.41, 36.55, 37.50, 29.20, 46.76, 61.22, 54.41, 57.24, 56.94, 45.99,2019-02-15, 58, 45, 21, 30, 15, 68, 39.13, 26.62, 29.05, 35.33, 35.48, 34.97, 63.77, 41.73, 42.57, 52.67, 54.84, 53.15,1,平和島
 65, 41, 28, 73, 15, 44, 29.55, 28.13, 33.33, 30.34, 35.37, 37.21, 54.55, 45.31, 52.53, 50.56, 53.66, 50.00,2019-02-15, 13, 15, 46, 51, 32, 71, 38.55, 22.89, 18.75, 44.76, 28.57, 25.00, 55.42, 40.96, 31.25, 62.86, 35.71, 41.07,1,　津　
 33, 90, 15, 23, 12, 89, 30.54, 32.74, 30.06, 30.46, 35.15, 36.59, 47.31, 47.02, 46.82, 45.98, 52.12, 56.10,2019-02-15, 73, 62, 31, 30, 39, 26, 35.96, 36.63, 28.14, 29.03, 38.82, 37.85, 52.25, 56.98, 47.31, 48.92, 50.00, 49.15,1,住之江
 66, 26, 27, 51, 54, 76, 29.28, 31.52, 32.07, 32.45, 36.22, 36.81, 49.17, 48.91, 42.93, 51.60, 50.27, 53.30,2019-02-15, 28, 11, 22, 76, 26, 55, 32.28, 34.02, 34.88, 28.65, 32.42, 30.64, 45.50, 50.52, 52.91, 43.23, 48.90, 52.02,1,鳴　門
 43, 40, 29, 14, 13, 32, 23.78, 36.47, 37.98, 35.68, 31.14, 34.16, 39.02, 54.51, 56.98, 53.11, 47.90, 49.01,2019-02-15, 71, 20, 33, 14, 38, 40,  7.14, 33.33, 24.14, 16.67, 23.53, 10.71, 17.86, 56.67, 34.48, 26.67, 35.29, 21.43,1,児　島
 44, 28, 57, 53, 45, 68, 47.06, 29.21, 44.05, 22.99, 23.17, 25.56, 61.18, 46.07, 57.14, 34.48, 43.90, 43.33,2019-02-15, 33, 43, 17, 61, 60, 53, 30.77, 50.55, 26.14, 30.53, 42.42, 25.29, 49.45, 62.64, 43.18, 51.58, 54.55, 40.23,1,宮　島
 66, 51, 25, 61, 73, 16, 23.91, 40.91, 38.30, 37.50, 40.54, 26.00, 43.48, 47.73, 63.83, 45.83, 51.35, 48.00,2019-02-15, 64, 17, 33, 35, 56, 13, 35.79, 39.06, 33.87, 30.81, 30.59, 37.14, 54.21, 57.29, 47.85, 46.97, 47.65, 56.57,1,徳　山
 88, 79, 33, 47, 44, 35, 31.58, 38.79, 27.65, 31.76, 41.53, 35.87, 50.00, 52.80, 47.47, 48.93, 61.86, 54.26,2019-02-15, 13, 38, 27, 31, 40, 19, 30.00, 31.93, 24.63, 26.47, 29.41, 36.70, 50.00, 46.22, 38.06, 38.24, 48.74, 55.96,1,唐　津
 39, 51, 58, 48, 45, 60, 33.93, 52.73, 22.22, 32.14, 20.75, 27.45, 53.57, 61.82, 37.04, 51.79, 39.62, 37.25,2019-02-15, 30, 36, 14, 20, 43, 26, 32.26, 35.71, 34.62, 32.35, 39.29, 34.62, 67.74, 50.00, 42.31, 41.18, 53.57, 61.54,2,桐　生
 29, 74, 37, 27, 67, 73, 31.25, 31.78, 33.60, 27.27, 22.48, 27.05, 44.53, 46.51, 50.40, 46.21, 43.41, 44.26,2019-02-15,  9, 61, 50, 18, 21, 43, 44.26, 25.47, 22.34, 22.11, 29.37, 30.61, 53.28, 42.45, 41.49, 44.21, 51.05, 37.76,2,戸　田
 22, 32, 10, 36, 20, 67, 40.31, 33.90, 31.55, 34.59, 33.33, 32.39, 54.97, 46.89, 48.21, 51.35, 47.46, 49.43,2019-02-15, 25, 13, 40, 47, 34, 66, 34.29, 36.72, 38.38, 28.90, 42.63, 28.05, 53.71, 54.80, 55.14, 43.93, 58.95, 44.51,2,江戸川
 59, 26, 61, 65, 25, 57, 38.62, 35.95, 28.78, 30.23, 41.46, 33.78, 57.93, 54.25, 46.04, 45.74, 60.37, 52.70,2019-02-15, 28, 22, 53, 65, 16, 69, 34.04, 32.21, 48.53, 38.30, 39.46, 31.79, 48.94, 52.35, 69.12, 60.99, 58.50, 47.02,2,平和島
 70, 12, 11, 52, 64, 40, 31.63, 37.78, 37.35, 32.50, 28.40, 24.00, 50.00, 52.22, 48.19, 46.25, 45.68, 38.67,2019-02-15, 30, 60, 26, 29, 23, 58, 21.98, 25.00, 10.26, 33.33, 29.47, 30.21, 38.46, 39.00, 28.21, 48.57, 47.37, 46.88,2,　津　
 29, 34, 83, 21, 55, 53, 36.59, 34.91, 28.92, 36.08, 28.57, 35.19, 50.00, 50.30, 48.80, 48.10, 48.81, 56.17,2019-02-15, 17, 50, 55, 15, 87, 38, 38.55, 30.98, 28.57, 32.97, 41.90, 42.17, 52.51, 48.37, 47.25, 48.65, 59.78, 57.83,2,住之江
 20, 53, 28, 24, 62, 71, 35.47, 31.76, 29.95, 36.16, 30.68, 36.56, 50.58, 48.24, 41.71, 57.06, 46.59, 52.69,2019-02-15, 78, 30, 33, 58, 70, 34, 45.13, 36.08, 44.00, 37.10, 48.31, 38.89, 61.54, 53.61, 62.29, 53.23, 65.17, 57.22,2,鳴　門
 12, 25, 24, 15, 17, 40, 35.77, 30.09, 29.73, 25.21, 27.97, 37.61, 57.72, 48.67, 40.54, 42.02, 45.76, 54.70,2019-02-15,  1, 20,  5, 16,  2, 32, 25.00, 30.61,  8.57, 44.90, 29.63, 25.00, 41.67, 38.78, 22.86, 59.18, 44.44, 50.00,2,丸　亀
 54, 33, 39, 31, 64, 58, 36.14, 31.71, 34.31, 30.30, 28.66, 31.93, 53.96, 44.39, 48.18, 46.67, 43.29, 50.00,2019-02-15, 56, 57, 13, 53, 69, 60, 65.00, 33.33, 25.00, 34.62, 26.67, 40.91,100.00, 43.33, 32.14, 38.46, 60.00, 59.09,2,児　島
 27, 38, 39, 51, 37, 25, 29.27, 28.42, 21.62, 48.28, 33.67, 21.05, 51.22, 49.47, 33.78, 63.22, 50.00, 35.53,2019-02-15, 55, 70, 20, 24, 25, 36, 47.87, 29.07, 25.00, 37.21, 27.50, 30.61, 69.15, 48.84, 36.90, 59.30, 40.00, 48.98,2,宮　島
 68, 60, 64, 36, 55, 14, 29.27, 25.58, 29.17, 47.06, 24.44, 34.69, 43.90, 46.51, 54.17, 66.67, 35.56, 48.98,2019-02-15, 27, 25, 12, 66, 58, 21, 27.46, 27.71, 28.65, 38.38, 37.64, 40.91, 41.97, 40.36, 45.51, 57.58, 58.99, 54.55,2,徳　山
 43, 57, 42, 32, 49, 34, 37.05, 31.03, 36.29, 28.81, 34.80, 23.56, 54.02, 46.55, 54.01, 48.73, 51.47, 41.35,2019-02-15, 37, 16, 68, 49, 34, 67, 42.06, 41.80, 36.44, 28.33, 37.19, 26.87, 54.21, 63.11, 50.00, 50.00, 53.72, 52.24,2,唐　津
 44, 59, 26, 40, 73, 21, 54.55, 45.10, 29.63, 25.86, 26.79, 47.06, 63.64, 52.94, 40.74, 36.21, 39.29, 58.82,2019-02-15, 35, 29, 12, 74, 51, 47, 37.04, 42.86, 36.67, 32.14, 44.44, 53.57, 66.67, 57.14, 66.67, 50.00, 59.26, 67.86,3,桐　生
 35, 44, 59, 25, 23, 60, 37.50, 27.56, 22.13, 27.72, 37.40, 24.19, 52.34, 44.09, 38.52, 41.58, 55.73, 42.74,2019-02-15,  4, 13, 64, 24, 34, 40, 26.40, 26.67, 30.88, 24.69, 33.33, 31.87, 40.00, 42.96, 49.26, 41.98, 50.00, 47.25,3,戸　田
 33, 34, 66, 27, 64, 70, 39.46, 33.33, 30.56, 32.97, 33.91, 40.00, 55.14, 44.81, 41.11, 46.15, 54.02, 55.26,2019-02-15, 32, 14, 37, 36, 20, 64, 36.79, 41.27, 42.25, 37.57, 31.98, 49.47, 53.37, 59.26, 60.43, 52.38, 51.74, 63.83,3,江戸川
 48, 68, 49, 51, 64, 41, 28.68, 36.30, 43.44, 32.43, 32.87, 36.36, 44.96, 52.59, 66.39, 51.35, 48.25, 52.45,2019-02-15, 74, 11, 39, 57, 38, 51, 38.19, 28.67, 28.67, 44.08, 31.97, 31.72, 56.94, 39.86, 42.66, 61.84, 45.58, 48.97,3,平和島
 48, 54, 55, 38, 18, 75, 37.37, 27.03, 33.33, 38.83, 29.07, 28.87, 52.53, 40.54, 48.15, 52.43, 51.16, 43.30,2019-02-15, 38, 55, 18, 65, 61, 66, 26.21, 40.00, 42.22, 25.97, 21.74, 37.27, 42.72, 60.00, 62.22, 44.16, 41.30, 49.09,3,　津　
 38, 10, 20, 28, 85, 70, 34.55, 52.90, 31.40, 36.47, 39.76, 34.97, 56.36, 69.03, 49.42, 52.35, 52.41, 49.69,2019-02-15, 14, 53, 10, 61, 13, 54, 30.81, 30.90, 38.50, 34.39, 36.26, 37.78, 47.57, 45.51, 56.15, 52.38, 52.20, 57.78,3,住之江
 70, 52, 78, 35, 19, 14, 30.23, 31.03, 33.33, 32.22, 35.20, 46.86, 47.67, 50.57, 46.35, 50.56, 51.40, 66.29,2019-02-15, 73, 24, 52, 79, 50, 19, 34.66, 29.76, 31.31, 36.00, 34.21, 31.58, 49.43, 42.26, 51.52, 53.14, 47.89, 47.37,3,鳴　門
 54,  1, 41,  9, 61, 21, 34.15, 31.25, 22.81, 26.27, 36.51, 47.20, 45.53, 45.54, 35.96, 42.37, 55.56, 60.80,2019-02-15, 41, 30, 17, 38, 66, 53, 49.12, 34.00, 31.11, 38.60, 25.58, 35.29, 70.18, 52.00, 51.11, 56.14, 39.53, 54.90,3,丸　亀
 67, 11, 12, 47, 45, 37, 38.12, 35.60, 30.32, 39.18, 31.82, 35.64, 51.38, 49.74, 55.48, 57.73, 48.86, 51.06,2019-02-15, 62, 45, 23, 58, 34, 72, 30.43, 26.67, 21.43, 17.24, 39.13, 40.00, 43.48, 43.33, 35.71, 27.59, 60.87, 65.00,3,児　島
 31, 19, 46, 26, 50, 17, 28.89, 41.41, 36.56, 30.43, 24.71, 24.71, 48.89, 59.60, 53.76, 44.57, 42.35, 42.35,2019-02-15, 38, 68, 37, 56, 35, 21, 30.11, 18.67, 40.66, 40.78, 22.62, 40.21, 47.31, 30.67, 58.24, 61.17, 32.14, 56.70,3,宮　島
 44, 28, 34, 62, 17, 18, 19.05, 31.25, 35.00, 30.00, 27.08, 30.61, 28.57, 37.50, 52.50, 50.00, 47.92, 53.06,2019-02-15, 62, 57, 52, 26, 32, 55, 39.78, 40.35, 31.73, 34.55, 30.73, 48.63, 62.98, 54.97, 50.96, 49.74, 47.92, 67.76,3,徳　山
 87, 52, 51, 46, 55, 39, 38.71, 37.50, 34.47, 28.44, 39.92, 25.70, 56.22, 53.88, 53.62, 46.33, 55.46, 42.99,2019-02-15, 22, 55, 65, 57, 53, 23, 25.62, 35.25, 28.00, 36.67, 38.46, 25.44, 49.59, 57.38, 46.40, 51.67, 58.12, 36.84,3,唐　津
 12, 30, 37, 14, 23, 71, 33.93, 25.86, 25.86, 34.55, 18.37, 51.79, 62.50, 48.28, 39.66, 54.55, 34.69, 66.07,2019-02-15, 32, 42, 28, 31, 44, 68, 20.83, 40.00, 45.71, 52.78, 24.24, 29.63, 25.00, 56.67, 62.86, 69.44, 39.39, 40.74,4,桐　生
 46, 70, 77, 54, 51, 56, 26.40, 32.81, 31.25, 36.15, 22.31, 37.50, 41.60, 55.47, 47.66, 55.38, 40.50, 54.69,2019-02-15, 10, 60, 42, 62, 30, 17, 33.57, 28.26, 29.94, 30.15, 35.77, 26.76, 48.25, 45.65, 43.31, 49.26, 48.18, 40.85,4,戸　田
 18, 31, 28, 35, 30, 40, 34.86, 41.30, 37.17, 38.51, 34.09, 30.68, 51.43, 58.15, 50.79, 52.87, 53.41, 49.43,2019-02-15, 61, 55, 19, 33, 43, 49, 44.68, 35.87, 25.15, 30.18, 33.52, 34.59, 58.51, 51.09, 42.69, 46.15, 48.04, 53.51,4,江戸川
 19, 11, 67, 50, 70, 33, 45.56, 32.28, 35.04, 35.61, 45.75, 34.38, 58.58, 52.53, 48.18, 51.52, 60.13, 50.78,2019-02-15, 64, 48, 17, 46, 25, 29, 26.24, 43.97, 25.69, 36.23, 43.57, 41.50, 42.55, 62.41, 43.06, 50.72, 61.43, 64.63,4,平和島
 37, 67, 62, 50, 33, 66, 42.71, 22.92, 29.90, 30.53, 34.86, 41.18, 55.21, 40.63, 48.45, 47.37, 56.88, 63.73,2019-02-15, 12, 14, 35, 52, 73, 50, 38.64, 27.37, 43.62, 28.42, 35.44, 28.85, 59.09, 41.05, 58.51, 50.53, 60.76, 43.27,4,　津　
 22, 33, 26, 51, 36, 57, 44.87, 30.54, 32.21, 34.55, 33.14, 34.73, 60.26, 47.31, 47.65, 47.27, 52.66, 49.70,2019-02-15, 27, 73, 68, 69, 11, 65, 34.97, 35.96, 42.13, 29.94, 54.55, 38.29, 54.10, 52.25, 52.81, 42.94, 71.59, 58.29,4,住之江
 65, 16, 69, 36, 31, 56, 31.84, 33.70, 30.73, 33.70, 36.11, 40.56, 49.72, 49.17, 46.37, 51.09, 48.89, 56.67,2019-02-15, 31, 71, 67, 12, 56, 69, 39.77, 35.03, 39.46, 26.44, 30.56, 28.33, 59.06, 49.72, 56.76, 47.13, 47.78, 47.78,4,鳴　門
 29, 26, 63, 57, 51, 38, 27.87, 27.35, 25.21, 34.43, 44.26, 17.39, 50.00, 44.44, 44.54, 51.64, 59.02, 32.17,2019-02-15, 35, 62, 27, 60, 22, 24, 44.64, 21.74, 43.48, 31.58, 46.00, 41.67, 62.50, 30.43, 58.70, 52.63, 58.00, 64.58,4,丸　亀
 24, 18, 36, 27, 62, 71, 27.50, 25.60, 35.64, 35.44, 29.34, 42.17, 43.13, 46.43, 54.67, 56.80, 42.51, 62.17,2019-02-15, 11, 16, 41, 25, 46, 47, 42.86, 20.00, 66.67, 42.31, 27.59, 24.14, 53.57, 46.67, 76.19, 57.69, 41.38, 41.38,4,児　島
 59, 67, 64, 62, 14, 30, 33.68, 27.38, 20.99, 26.14, 21.52, 44.09, 48.42, 52.38, 28.40, 39.77, 35.44, 59.14,2019-02-15, 51, 12, 63, 31, 29, 15, 32.99, 51.49, 36.00, 32.95, 47.37, 28.21, 51.55, 66.34, 56.00, 44.32, 62.11, 43.59,4,宮　島
 43, 41, 21, 57, 22, 59, 13.04, 23.91, 28.95, 33.33, 34.15, 37.78, 23.91, 45.65, 52.63, 52.38, 63.41, 57.78,2019-02-15, 29, 59, 16, 68, 14, 71, 28.65, 28.16, 29.68, 35.47, 39.18, 28.95, 41.57, 44.25, 49.03, 54.68, 56.73, 41.05,4,徳　山
 86, 81, 82, 41, 54, 84, 31.30, 34.96, 34.75, 41.44, 34.04, 37.89, 46.52, 49.12, 52.97, 59.91, 51.49, 55.95,2019-02-15, 44, 41, 47, 18, 32, 66, 37.10, 29.92, 32.31, 31.62, 26.19, 16.98, 53.23, 51.97, 46.15, 47.01, 43.65, 31.13,4,唐　津
 42, 20, 61, 63, 19, 54, 43.10, 34.55, 42.59, 22.22, 30.36, 28.30, 65.52, 52.73, 61.11, 42.59, 42.86, 43.40,2019-02-15, 37, 57, 53, 13, 24, 33, 61.76, 39.13, 25.71, 38.24, 61.11, 46.43, 70.59, 47.83, 45.71, 50.00, 88.89, 67.86,5,桐　生
 49, 48, 13, 53, 57, 64, 35.43, 35.16, 33.07, 28.80, 33.59, 32.81, 55.91, 47.66, 42.52, 42.40, 52.34, 51.56,2019-02-15, 29, 33,  1, 48, 51, 12, 29.13, 33.09, 34.40, 32.21, 29.38, 35.00, 45.63, 50.00, 44.00, 47.65, 48.13, 50.63,5,戸　田
 60, 24, 29, 50, 37, 46, 35.03, 36.07, 31.25, 40.59, 29.82, 31.95, 52.54, 53.55, 44.32, 55.29, 47.37, 47.93,2019-02-15, 18, 24, 50, 51, 41, 21, 49.75, 41.54, 27.91, 28.98, 41.71, 35.48, 64.47, 59.49, 47.67, 44.32, 55.61, 54.30,5,江戸川
