boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 31, 43, 27, 56, 14, 18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 29, 11, 14, 28, 25, 50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,びわこ
 30, 93, 23, 81, 60, 89, 52.38, 40.00, 42.86, 39.39, 35.56, 31.82, 69.05, 65.71, 68.57, 69.70, 48.89, 45.45,2019-06-09, 26, 60, 27, 29, 74, 33, 37.78, 42.31, 46.00, 21.95, 41.67, 27.50, 62.22, 65.38, 56.00, 41.46, 62.50, 37.50,2,住之江
 27, 66, 71, 22, 23, 26, 41.10, 19.15, 37.50, 16.07, 40.00, 61.67, 54.79, 34.04, 60.42, 23.21, 55.29, 75.00,2019-06-09, 28, 53, 66, 37, 58, 32, 52.48, 43.40, 53.61, 31.73, 25.24, 28.87, 75.25, 57.55, 72.16, 46.15, 33.98, 40.21,2,児　島
 66, 17, 23, 18, 12, 67, 36.42, 30.12, 32.48, 31.65, 36.00, 28.93, 49.38, 44.58, 49.04, 47.47, 56.57, 53.46,2019-06-09, 53, 38, 15, 44, 11, 51, 31.25, 31.68, 35.71, 34.66, 31.93, 39.77, 46.53, 50.31, 53.90, 51.70, 51.81, 56.14,2,宮　島
 58, 48, 23, 20, 72, 75, 37.70, 35.59, 33.33, 38.21, 33.61, 36.44, 54.92, 53.39, 47.75, 50.41, 52.46, 48.31,2019-06-09, 11, 40, 50, 23, 41, 35,  5.88, 26.32, 36.36, 47.62, 31.58, 40.00, 11.76, 47.37, 54.55, 66.67, 68.42, 60.00,2,徳　山
 59, 53, 57, 70, 18, 30, 25.00, 40.74, 20.00, 30.77, 26.42, 24.00, 50.00, 55.56, 36.00, 44.23, 62.26, 44.00,2019-06-09, 44, 24, 26, 17, 64, 18, 34.62, 24.00, 30.61, 27.08, 40.68, 30.00, 51.92, 42.00, 51.02, 47.92, 59.32, 40.00,2,下　関
 48, 29, 18, 71, 20, 74, 38.81, 27.11, 30.89, 25.95, 34.43, 38.68, 54.23, 42.77, 43.98, 39.46, 49.53, 57.08,2019-06-09,  5, 28,  1, 22, 38, 18, 34.75, 30.17, 32.73, 35.83, 33.93, 31.93, 51.69, 45.69, 49.09, 47.50, 45.54, 47.06,2,若　松
 35, 79, 76, 73, 61, 52, 25.00, 35.90, 33.33, 37.78, 43.48, 34.88, 41.67, 48.72, 42.22, 53.33, 56.52, 53.49,2019-06-09, 70, 60, 48, 11, 21, 23, 38.02, 39.11, 31.25, 41.95, 31.72, 27.12, 50.52, 55.87, 50.52, 59.20, 52.15, 38.98,2,唐　津
 73, 57, 27, 70, 25, 43, 31.03, 35.41, 28.07, 37.56, 28.73, 39.66, 48.28, 52.15, 46.20, 57.36, 44.20, 51.96,2019-06-09, 44, 39, 57, 55,  3, 11, 31.28, 39.35, 33.33, 39.91, 39.90, 45.88, 49.38, 56.48, 51.52, 55.50, 58.08, 60.82,3,戸　田
 39, 25, 68, 56, 14, 54, 36.36, 33.33, 47.85, 25.00, 41.40, 28.57, 51.30, 48.08, 65.64, 42.57, 56.69, 45.34,2019-06-09, 34, 39, 57, 12, 18, 59, 45.24, 42.50, 36.11, 54.35, 28.57, 63.64, 57.14, 55.00, 44.44, 73.91, 47.62, 69.09,3,浜名湖
 27, 57, 61, 21, 69, 71, 31.88, 29.65, 33.33, 33.63, 28.29, 32.04, 48.03, 46.51, 45.99, 53.36, 40.79, 49.51,2019-06-09, 59, 58, 11, 24, 36, 23, 38.84, 39.34, 20.72, 40.50, 51.22, 26.05, 58.68, 60.66, 34.23, 59.50, 67.48, 46.22,3,常　滑
