date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-12, 42, 32, 38, 58, 27, 23, 25.32, 31.31, 15.69, 31.82, 36.36, 20.29, 49.37, 49.49, 29.41, 44.55, 54.55, 46.38,1,桐　生
2019-05-12, 15, 30, 55, 26, 51, 59, 39.43, 29.95, 41.62, 39.56, 31.56, 35.58, 57.14, 46.38, 57.87, 58.79, 51.11, 57.06,1,戸　田
2019-05-12, 15, 59, 26, 66, 18, 63, 31.10, 30.97, 33.33, 31.07, 41.48, 36.90, 49.39, 49.03, 50.26, 44.07, 60.23, 52.38,1,多摩川
2019-05-12, 49, 66, 26, 63, 39, 43, 20.00, 34.78,  6.67, 13.04, 52.38, 65.38, 50.00, 43.48, 26.67, 13.04, 66.67, 80.77,1,浜名湖
2019-05-12, 11, 65,  2,  5,  4, 53, 20.00, 36.54, 29.79, 29.67, 22.62, 34.23, 32.22, 50.96, 51.06, 47.25, 29.76, 47.75,1,常　滑
2019-05-12, 62, 38, 56, 28, 33, 20, 41.26, 27.46, 40.30, 32.09, 19.84, 35.77, 60.84, 45.07, 50.75, 41.04, 32.54, 54.01,1,　津　
2019-05-12, 64, 59, 54, 62, 31, 50, 30.97, 34.82, 40.17, 32.73, 43.15, 34.60, 49.12, 50.89, 53.28, 45.91, 57.26, 52.13,1,びわこ
2019-05-12, 55, 56, 12, 63, 33, 29, 24.36, 35.62, 38.37, 25.30, 27.38, 19.05, 42.31, 63.01, 60.47, 42.17, 39.29, 30.95,1,児　島
2019-05-12, 53, 38, 68, 54, 69, 45, 23.89, 31.91, 21.10, 27.27, 28.07, 33.33, 40.71, 49.65, 37.61, 41.32, 41.23, 51.77,1,宮　島
2019-05-12, 27, 55, 41, 13, 34, 48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,徳　山
2019-05-12, 44, 33, 41, 61, 55, 58, 36.36, 40.00, 31.43, 18.18, 30.30, 12.00, 51.52, 52.00, 57.14, 36.36, 42.42, 32.00,1,下　関
2019-05-12, 29, 40, 43, 18, 15, 23, 33.00, 33.70, 31.63, 32.26, 41.38, 25.00, 50.00, 55.43, 52.04, 49.46, 57.47, 38.54,1,若　松
2019-05-12, 70, 67, 49, 58, 54, 16, 25.44, 26.71, 35.80, 27.81, 26.28, 33.94, 41.42, 34.93, 50.00, 47.59, 46.79, 54.75,1,福　岡
2019-05-12, 52, 11, 51, 22, 24, 57, 44.16, 41.21, 39.43, 25.60, 21.54, 31.36, 62.99, 58.79, 60.00, 45.83, 36.15, 44.97,1,唐　津
2019-05-12, 41, 64, 22, 57, 33, 30, 35.71, 17.50, 23.40, 23.91, 30.19, 15.91, 51.79, 27.50, 44.68, 32.61, 49.06, 27.27,1,大　村
2019-05-12, 25, 51, 65, 28, 41, 15, 35.56, 24.47, 32.63, 32.18, 25.37, 31.76, 58.89, 40.43, 49.47, 47.13, 41.79, 50.59,2,桐　生
2019-05-12, 32, 48,  1, 39,  3, 11, 38.86, 34.43, 36.02, 39.38, 40.91, 48.26, 56.57, 50.00, 47.31, 56.48, 59.09, 62.79,2,戸　田
2019-05-12, 23, 48, 71, 49, 34, 68, 30.64, 38.38, 31.35, 29.94, 42.70, 34.45, 42.77, 56.76, 50.81, 41.32, 66.49, 53.11,2,多摩川
2019-05-12, 29, 10, 31, 64, 41,  6, 28.00, 33.33, 13.64, 33.33, 20.00, 37.50, 44.00, 45.83, 36.36, 38.89, 32.00, 41.67,2,浜名湖
2019-05-12, 21, 22, 60, 30, 27, 31, 38.89, 35.79, 26.04, 20.88, 35.00, 29.90, 52.22, 52.63, 38.54, 36.26, 45.00, 46.39,2,常　滑
2019-05-12, 12, 72, 13, 45, 29, 23, 30.08, 52.27, 37.04, 54.79, 34.84, 32.47, 52.63, 65.15, 54.81, 73.97, 52.26, 49.35,2,　津　
2019-05-12, 48, 29, 44, 53, 43, 56, 44.12, 34.23, 33.05, 30.73, 43.22, 32.43, 65.55, 57.21, 50.64, 50.00, 59.75, 52.70,2,びわこ
2019-05-12, 50, 59, 46, 18, 25, 69, 36.67, 34.94, 29.76, 34.15, 25.29, 28.24, 61.11, 50.60, 41.67, 48.78, 41.38, 55.29,2,児　島
2019-05-12, 22, 40, 58, 72, 39, 36, 25.95, 31.71, 35.06, 32.47, 23.15, 31.88, 42.75, 43.90, 52.60, 47.40, 40.74, 47.50,2,宮　島
2019-05-12, 52, 32, 11, 35, 51, 15,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,徳　山
2019-05-12, 24, 19, 36, 65, 18, 12, 23.53, 25.00, 25.71, 29.41, 26.09, 28.57, 41.18, 36.11, 42.86, 32.35, 30.43, 50.00,2,下　関
2019-05-12, 30, 22, 60, 44, 36, 45, 26.67, 39.81, 29.35, 49.50, 34.74, 30.85, 40.00, 51.46, 36.96, 67.33, 47.37, 44.68,2,若　松
2019-05-12, 21, 68, 48, 74, 57, 30, 35.78, 27.83, 30.00, 30.38, 33.33, 25.00, 52.75, 47.64, 51.58, 43.04, 49.09, 38.75,2,福　岡
2019-05-12, 62, 45, 42, 58, 46, 12, 27.27, 26.19, 29.78, 31.18, 25.61, 44.79, 40.26, 39.88, 41.01, 53.23, 38.41, 61.96,2,唐　津
2019-05-12, 50, 59, 25, 13, 75, 24, 33.93, 26.67, 51.79, 38.30, 28.26, 31.91, 44.64, 37.78, 64.29, 53.19, 43.48, 48.94,2,大　村
2019-05-12, 16, 39, 40, 71, 50, 35, 26.83, 22.41, 23.08, 24.18, 32.04, 35.87, 39.02, 34.48, 32.31, 46.15, 49.51, 55.43,3,桐　生
2019-05-12, 36, 46, 54, 12,  9, 53, 36.07, 33.54, 43.35, 32.75, 39.56, 36.89, 47.03, 56.33, 55.49, 49.78, 47.80, 53.88,3,戸　田
2019-05-12, 32, 27, 37, 44, 53, 25, 38.97, 40.23, 32.82, 35.00, 36.14, 30.87, 57.44, 56.90, 50.77, 55.00, 56.44, 49.66,3,多摩川
2019-05-12, 25, 61, 57, 27, 18, 38, 16.67, 57.89, 25.00, 36.00, 25.00, 30.43, 29.17, 78.95, 37.50, 56.00, 45.83, 60.87,3,浜名湖
2019-05-12, 26, 42, 43, 39, 17,  9, 30.11, 42.42, 27.27, 30.00, 26.32, 38.32, 55.91, 59.60, 48.48, 40.00, 38.95, 55.14,3,常　滑
2019-05-12, 49, 59, 63, 65, 46, 26, 30.08, 40.14, 34.27, 24.44, 30.48, 21.37, 47.37, 53.52, 48.95, 42.96, 43.81, 38.93,3,　津　
2019-05-12, 66, 63, 32, 28, 37, 40, 30.59, 33.48, 42.51, 32.48, 45.10, 36.33, 45.21, 55.22, 56.28, 50.43, 57.65, 57.55,3,びわこ
2019-05-12, 72, 36, 31, 16, 67, 66, 41.86, 35.23, 46.07, 32.56, 35.48, 50.65, 62.79, 51.14, 58.43, 55.81, 46.24, 68.83,3,児　島
2019-05-12, 57, 23, 41, 25, 17, 44, 25.00, 32.89, 27.48, 27.69, 32.12, 35.67, 42.50, 51.01, 42.75, 41.54, 48.91, 53.50,3,宮　島
2019-05-12, 49, 31, 46, 40, 14, 12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,3,徳　山
2019-05-12, 50, 49, 22, 45, 48, 67, 34.48,  9.52, 51.52, 43.24, 32.43, 50.00, 62.07, 14.29, 72.73, 56.76, 54.05, 61.54,3,下　関
2019-05-12,  3, 39, 48, 33, 32, 37, 21.59, 29.67, 35.42, 37.63, 43.75, 28.95, 44.32, 46.15, 54.17, 51.61, 66.67, 43.42,3,若　松
2019-05-12, 19, 50, 45, 66, 59, 63, 36.57, 25.41, 28.28, 37.50, 29.38, 34.59, 50.93, 43.09, 43.45, 51.88, 53.11, 57.14,3,福　岡
2019-05-12, 31, 64, 14, 27, 41, 55, 27.14, 39.66, 32.18, 25.68, 34.09, 33.71, 38.57, 56.90, 44.83, 43.72, 53.41, 55.06,3,唐　津
2019-05-12, 27, 55, 61, 21, 54, 36, 40.35, 35.09, 35.56, 34.04, 10.87, 39.66, 52.63, 43.86, 48.89, 51.06, 32.61, 60.34,3,大　村
2019-05-12, 63, 56, 68, 54, 12, 70, 30.95, 35.56, 27.84, 40.00, 29.87, 31.73, 47.62, 47.78, 40.21, 61.18, 49.35, 46.15,4,桐　生
2019-05-12, 61, 35, 58, 38, 57, 37, 38.85, 31.09, 33.85, 39.46, 33.03, 40.11, 54.78, 51.30, 50.77, 59.46, 52.29, 55.08,4,戸　田
2019-05-12, 56, 39, 31, 47, 64, 62, 35.91, 32.38, 30.73, 39.89, 42.19, 31.15, 51.93, 54.29, 47.49, 54.79, 54.69, 43.72,4,多摩川
2019-05-12, 59, 37, 58,  2, 55,  4, 59.26, 28.00, 23.53, 26.09, 31.25, 25.93, 62.96, 44.00, 52.94, 34.78, 62.50, 44.44,4,浜名湖
2019-05-12, 54, 34, 52, 61, 38,  3, 35.19, 17.86, 36.28, 41.18, 37.50, 25.26, 49.07, 38.10, 60.18, 55.88, 48.96, 42.11,4,常　滑
2019-05-12, 11, 18, 48, 60, 32, 16, 33.57, 34.01, 30.52, 26.45, 27.27, 33.77, 46.85, 53.74, 44.81, 41.94, 38.64, 52.60,4,　津　
2019-05-12, 30, 11, 57, 46, 12, 58, 36.75, 45.11, 36.65, 30.04, 33.79, 36.93, 53.42, 61.70, 55.66, 47.09, 49.32, 53.53,4,びわこ
2019-05-12, 23, 22, 71, 20, 42, 54, 30.00, 33.68, 28.89, 43.68, 48.19, 50.65, 47.78, 50.53, 44.44, 58.62, 61.45, 63.64,4,児　島
2019-05-12, 34, 51, 65, 70, 49, 20, 21.90, 38.82, 35.53, 25.58, 28.57, 26.50, 40.00, 56.58, 53.29, 42.64, 46.94, 35.90,4,宮　島
2019-05-12, 45, 54, 22, 44, 42, 37,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,4,徳　山
2019-05-12, 52, 62, 68, 66, 37, 28, 16.67, 64.00, 38.71, 35.48, 29.41, 19.35, 47.22, 80.00, 45.16, 38.71, 52.94, 35.48,4,下　関
2019-05-12, 52, 53, 17, 55, 11, 38, 20.00, 31.03, 25.68, 35.48, 24.14, 33.70, 37.65, 48.28, 45.95, 54.84, 48.28, 44.57,4,若　松
2019-05-12, 72, 20, 75, 43, 15, 35, 36.22, 35.14, 30.16, 23.03, 17.19, 33.51, 58.38, 53.51, 50.26, 38.76, 31.25, 48.94,4,福　岡
2019-05-12, 49, 35, 68, 18, 26, 21, 28.83, 34.71, 35.09, 30.39, 42.21, 33.33, 50.31, 55.88, 49.12, 46.96, 62.99, 54.02,4,唐　津
2019-05-12, 62, 34, 12, 63, 38, 71, 36.96, 64.91, 33.33, 27.50, 55.17, 24.44, 56.52, 75.44, 42.59, 45.00, 72.41, 42.22,4,大　村
2019-05-12, 17, 37, 46, 23, 36, 24, 32.14, 57.47, 27.47, 20.29, 34.86, 58.54, 40.48, 73.56, 42.86, 46.38, 47.71, 69.51,5,桐　生
2019-05-12, 30, 20, 19,  7, 44, 51, 29.95, 28.74, 40.94, 42.47, 30.45, 31.56, 46.38, 46.11, 53.80, 58.06, 48.64, 51.11,5,戸　田
