boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 19, 67, 29, 63, 28, 39, 34.62, 34.33, 26.45, 27.27, 29.17, 34.88, 50.00, 52.99, 41.32, 50.00, 44.17, 55.04,2019-06-19, 33, 31, 39, 32, 69, 26, 30.00, 39.25, 25.97, 29.82, 34.68, 25.33, 50.91, 55.14, 37.66, 48.25, 49.19, 46.67,1,桐　生
 55, 15, 25, 22, 24, 16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-19, 69, 50, 53, 31, 15, 63,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,平和島
137,124,125,155,160,142, 29.41, 27.78, 27.78, 35.29, 26.09, 27.78, 41.18, 38.89, 66.67, 64.71, 52.17, 50.00,2019-06-19, 49, 29, 75, 31, 19, 62, 18.75, 50.00, 56.25, 20.00, 25.00, 44.44, 31.25, 66.67, 62.50, 46.67, 37.50, 55.56,1,多摩川
 24, 28, 60, 23, 21, 46, 33.79, 34.13, 38.61, 34.16, 30.97, 29.13, 46.90, 50.30, 53.80, 56.52, 52.90, 41.73,2019-06-19, 32, 68, 43, 38, 17, 44, 26.00, 29.68, 27.67, 27.78, 31.76, 34.56, 40.00, 49.03, 36.48, 45.06, 50.00, 48.53,1,　津　
 24, 48, 47, 19, 63, 38, 17.07, 31.58, 42.50, 31.71, 28.95, 36.11, 31.71, 50.00, 62.50, 46.34, 44.74, 55.56,2019-06-19, 47, 46, 70, 48, 56, 18, 56.25, 30.77, 43.59, 30.00, 48.72, 31.11, 72.92, 43.59, 61.54, 47.50, 66.67, 37.78,1,三　国
 28, 41, 32, 65, 21, 39, 11.11, 44.44, 50.00,  0.00, 22.22, 25.00, 66.67, 66.67, 70.00,  0.00, 33.33, 37.50,2019-06-19, 40, 66, 61, 60, 18, 44, 88.89,  0.00,  0.00,  0.00, 11.11, 60.00, 88.89,  0.00,  0.00,  0.00, 55.56, 60.00,1,びわこ
 81, 36, 38, 60, 79, 19, 29.03, 59.38, 32.26, 48.39, 39.39, 20.69, 45.16, 81.25, 51.61, 61.29, 54.55, 41.38,2019-06-19, 27, 51, 71, 36, 39, 19, 33.33, 48.28, 37.50, 25.81, 40.00, 16.67, 48.48, 62.07, 59.38, 48.39, 50.00, 40.00,1,鳴　門
 49, 22, 26, 34, 17, 35, 37.79, 27.71, 29.75, 44.63, 29.71, 25.45, 54.65, 39.76, 48.73, 58.19, 45.14, 43.64,2019-06-19, 59, 71, 43, 62, 68, 11, 39.62, 26.55, 44.24, 26.83, 24.64, 31.36, 57.86, 38.42, 58.79, 40.24, 43.48, 50.89,1,宮　島
 65, 69, 43, 28, 36, 73, 28.00, 31.67, 29.23, 37.98, 35.16, 36.29, 46.40, 50.00, 40.77, 48.06, 54.69, 44.35,2019-06-19, 28, 32, 52, 38, 46, 30, 26.67, 41.38, 31.25, 23.08, 33.33, 37.93, 43.33, 55.17, 56.25, 30.77, 66.67, 51.72,1,徳　山
 56, 25, 55, 19, 37, 68, 27.42, 30.65, 51.85, 35.48, 22.58, 25.45, 45.16, 50.00, 66.67, 46.77, 40.32, 40.00,2019-06-19, 59, 34, 65, 33, 14, 56, 23.33, 29.69, 31.75, 36.92, 34.38, 24.19, 41.67, 43.75, 38.10, 50.77, 48.44, 40.32,1,下　関
 15, 36, 46, 65, 17, 49,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-19, 60, 47, 18,  8, 35, 23, 33.61, 43.33, 30.77, 22.94, 35.38, 30.16, 41.80, 58.33, 47.69, 35.78, 49.23, 46.03,1,若　松
125,126,135,113,139,109,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-19, 24, 17, 30, 44, 18, 28,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,福　岡
 52, 13, 33, 53, 58, 21, 29.78, 33.03, 27.57, 28.24, 34.53, 32.11, 48.31, 49.77, 44.86, 45.29, 51.12, 45.41,2019-06-19, 38, 65, 13, 60, 48, 37, 55.70, 38.24, 30.65, 36.92, 32.76, 32.26, 74.68, 54.41, 45.16, 50.77, 44.83, 41.94,1,大　村
 68, 57, 64, 48, 30, 32, 33.83, 28.68, 22.03, 32.09, 33.08, 26.52, 51.13, 49.61, 42.37, 50.00, 56.39, 44.70,2019-06-19, 68, 16, 19, 67, 59, 14, 30.65, 26.37, 37.61, 44.07, 24.49, 43.70, 41.94, 37.36, 57.26, 63.56, 43.88, 62.18,2,桐　生
 28, 12, 36, 47, 57, 21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-19, 66, 19, 68, 62, 29, 16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,平和島
148,185,181,172,161,153, 50.00, 33.33, 33.33, 33.33, 76.47, 56.25, 56.25, 33.33, 40.00, 53.33, 88.24, 87.50,2019-06-19, 15, 53, 63, 14, 65, 73, 20.00, 22.22, 62.50, 26.67, 52.94, 50.00, 20.00, 33.33, 68.75, 40.00, 58.82, 62.50,2,多摩川
