date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-31, 67, 13, 61, 63, 54, 74, 43.12, 32.11, 31.34, 29.03, 46.15, 45.45, 63.30, 50.46, 49.25, 47.31, 66.35, 60.61,1,桐　生
2019-05-31, 52, 40, 15, 33, 39, 34, 34.74, 32.45, 37.77, 29.73, 40.19, 33.04, 53.52, 47.55, 55.32, 46.49, 56.94, 52.23,1,戸　田
2019-05-31, 14, 27, 18, 62, 71, 52, 71.43, 37.50, 12.50, 46.67, 20.00, 33.33, 92.86, 50.00, 25.00, 66.67, 33.33, 40.00,1,江戸川
2019-05-31, 27, 32, 11, 12, 66, 58, 48.84, 16.67, 33.33, 44.19, 47.73, 24.39, 60.47, 41.67, 47.22, 51.16, 63.64, 43.90,1,住之江
2019-05-31, 68, 47, 15, 65, 41, 70, 37.50, 27.08, 39.60, 27.36, 50.53, 51.72, 63.54, 42.71, 57.43, 49.06, 63.16, 68.97,1,児　島
2019-05-31, 44, 25, 50, 11, 54, 69, 34.34, 27.33, 45.22, 31.41, 27.86, 28.79, 51.20, 42.67, 63.06, 51.28, 42.14, 40.91,1,宮　島
2019-05-31, 67, 53, 69, 31, 74, 11, 45.45, 30.00, 22.22, 20.00, 30.00, 11.11, 54.55, 55.00, 33.33, 60.00, 30.00, 22.22,1,徳　山
2019-05-31, 38, 24, 49, 62, 17, 39, 43.75, 23.26, 18.75, 64.44, 30.95, 52.27, 68.75, 39.53, 28.13, 80.00, 54.76, 63.64,1,下　関
2019-05-31, 13, 40, 41, 50, 36, 16, 31.67, 30.23, 32.97, 38.86, 26.74, 39.76, 48.89, 47.67, 51.89, 56.57, 41.71, 60.24,1,唐　津
2019-05-31, 15, 29, 52, 69, 46, 39, 33.65, 48.21, 29.52, 33.04, 29.09, 26.47, 52.88, 64.29, 41.90, 46.09, 44.55, 39.71,2,桐　生
2019-05-31, 37,  4, 35, 25, 55,  1, 39.09, 32.83, 30.77, 38.65, 40.57, 35.05, 53.81, 47.47, 52.40, 57.00, 56.60, 46.91,2,戸　田
2019-05-31, 25, 68, 13, 17, 43, 23, 37.50, 26.67, 35.71, 33.33, 52.17, 33.33, 56.25, 33.33, 57.14, 33.33, 60.87, 53.33,2,江戸川
2019-05-31, 55, 74, 57, 81, 53, 52, 25.81, 42.50, 19.51, 35.29, 27.50, 20.00, 45.16, 65.00, 31.71, 52.94, 55.00, 44.44,2,住之江
2019-05-31, 30, 21, 54, 37, 14, 61, 31.11, 40.59, 52.27, 34.02, 25.47, 45.74, 52.22, 57.43, 68.18, 47.42, 40.57, 67.02,2,児　島
2019-05-31, 48, 65, 40, 52, 18, 36, 28.39, 35.40, 30.46, 31.21, 22.66, 30.00, 45.16, 53.42, 41.95, 45.39, 46.88, 45.29,2,宮　島
2019-05-31, 26, 24, 28, 51, 61, 64,  0.00, 70.00, 45.45, 26.32, 20.00, 30.00, 12.50, 80.00, 54.55, 36.84, 30.00, 50.00,2,徳　山
2019-05-31, 33, 21, 14, 70, 54, 43, 34.09, 20.51, 31.11, 45.45, 27.27, 45.65, 47.73, 30.77, 42.22, 61.36, 38.64, 63.04,2,下　関
2019-05-31, 47, 63, 38, 42, 49, 12, 28.96, 37.43, 30.41, 28.88, 28.90, 43.02, 44.81, 53.48, 47.95, 40.64, 49.71, 61.05,2,唐　津
2019-05-31, 18, 30, 44, 34, 65, 66, 28.00, 37.50, 35.85, 34.38, 33.63, 26.73, 45.33, 60.71, 52.83, 51.04, 50.44, 39.60,3,桐　生
2019-05-31, 11, 26, 23, 16, 61,  9, 46.52, 39.59, 33.01, 33.70, 40.59, 39.20, 61.50, 57.36, 45.93, 49.72, 55.29, 48.74,3,戸　田
2019-05-31, 16, 59, 65, 12, 40, 58, 42.86,  0.00, 50.00, 12.50, 21.43, 50.00, 57.14,  0.00, 81.25, 18.75, 35.71, 75.00,3,江戸川
2019-05-31, 70, 84, 20, 26, 10, 35, 19.05, 26.83, 32.56, 32.43, 37.14, 54.29, 26.19, 41.46, 48.84, 59.46, 54.29, 57.14,3,住之江
2019-05-31, 50, 34, 18, 17, 36, 31, 39.60, 33.33, 30.69, 33.33, 34.91, 46.00, 63.37, 58.33, 49.50, 54.29, 50.00, 60.00,3,児　島
2019-05-31, 60, 26, 41, 42, 24, 63, 37.66, 32.73, 32.45, 30.66, 38.89, 38.06, 51.30, 50.30, 47.68, 54.01, 59.72, 54.84,3,宮　島
2019-05-31, 72, 29, 55, 63, 23, 75,  0.00,  0.00, 36.84,  0.00, 45.45, 11.11, 40.00,  0.00, 47.37,  0.00, 72.73, 33.33,3,徳　山
2019-05-31, 35, 65, 30, 67, 29, 15, 20.51, 23.26, 37.50, 45.65, 37.78, 22.00, 35.90, 25.58, 54.17, 54.35, 53.33, 40.00,3,下　関
2019-05-31, 29, 37, 22, 53, 62, 35, 32.26, 34.27, 25.42, 33.52, 28.83, 34.64, 51.61, 51.12, 45.20, 52.75, 41.72, 55.31,3,唐　津
2019-05-31, 22, 56, 37, 33, 14, 17, 35.48, 34.86, 54.21, 30.28, 43.24, 33.33, 55.91, 50.46, 71.03, 51.38, 60.36, 40.86,4,桐　生
2019-05-31, 28, 36, 19, 58, 46, 10, 46.07, 34.62, 40.64, 34.12, 33.94, 37.44, 63.87, 45.73, 54.01, 52.13, 56.36, 54.63,4,戸　田
2019-05-31, 63, 56, 29, 70, 69, 38, 20.00, 23.53, 26.67, 40.00, 13.33, 63.64, 40.00, 47.06, 53.33, 46.67, 40.00, 90.91,4,江戸川
2019-05-31, 86, 60, 21, 72, 54, 87, 40.54, 38.64, 29.73, 16.28, 17.50, 47.37, 72.97, 61.36, 56.76, 27.91, 37.50, 57.89,4,住之江
2019-05-31, 22, 58, 51, 55, 16, 52, 33.96, 24.21, 26.00, 26.67, 29.81, 44.79, 51.89, 32.63, 47.00, 43.33, 50.96, 60.42,4,児　島
2019-05-31, 14, 51, 67, 27, 39, 20, 33.55, 38.27, 48.34, 47.33, 20.00, 25.93, 49.68, 54.94, 58.28, 60.67, 35.20, 38.52,4,宮　島
2019-05-31, 59, 21, 71, 15, 17, 22, 70.00, 16.67, 70.00, 30.00, 80.00,  0.00, 80.00, 50.00, 80.00, 40.00, 80.00, 33.33,4,徳　山
2019-05-31, 47, 48, 46, 59, 45, 16, 45.83, 31.37, 23.81, 21.95, 39.13, 35.71, 64.58, 49.02, 47.62, 41.46, 52.17, 50.00,4,下　関
2019-05-31, 65, 55, 43, 19, 20, 70, 33.15, 33.51, 47.31, 35.71, 40.72, 39.34, 51.09, 55.32, 64.67, 52.75, 55.69, 51.91,4,唐　津
2019-05-31, 68, 71, 21, 58, 53, 36, 29.57, 26.36, 32.43, 32.56, 26.72, 33.90, 41.74, 46.36, 48.65, 46.51, 49.14, 46.61,5,桐　生
2019-05-31, 57, 56, 65, 39,  7, 43, 34.40, 30.30, 35.24, 40.19, 43.56, 33.33, 52.80, 50.00, 48.57, 56.94, 58.91, 46.99,5,戸　田
2019-05-31, 11, 71, 21, 10, 49, 61, 18.75, 20.00, 12.50, 25.00, 26.67, 25.00, 43.75, 33.33, 25.00, 31.25, 60.00, 50.00,5,江戸川
2019-05-31, 67, 12, 73, 61, 75, 23, 31.25, 44.19, 18.18, 12.50, 40.54, 19.35, 34.38, 51.16, 36.36, 29.17, 59.46, 29.03,5,住之江
2019-05-31, 11, 33, 24, 66, 59, 62, 36.56, 28.16, 23.71, 53.41, 34.48, 29.52, 51.61, 41.75, 38.14, 72.73, 49.43, 42.86,5,児　島
2019-05-31, 38, 70, 66, 43, 25, 19, 31.33, 25.17, 30.67, 45.14, 27.33, 31.33, 48.67, 44.90, 47.24, 58.33, 42.67, 48.19,5,宮　島
2019-05-31, 27, 70, 58, 73, 12, 69, 54.55, 45.45, 30.00, 11.11,  0.00, 22.22, 63.64, 63.64, 40.00, 22.22,  0.00, 33.33,5,徳　山
2019-05-31, 20, 42, 11, 36, 13, 66, 30.43, 48.94, 38.64, 22.73, 33.33, 27.50, 50.00, 61.70, 50.00, 40.91, 47.92, 35.00,5,下　関
2019-05-31, 67, 68, 30, 34, 59, 51, 28.88, 34.44, 36.61, 40.83, 29.35, 38.04, 50.80, 48.33, 55.74, 56.80, 41.85, 59.24,5,唐　津
2019-05-31, 28, 11, 39, 57, 19, 62, 29.81, 56.57, 26.47, 35.58, 38.89, 33.66, 43.27, 74.75, 39.71, 50.96, 57.41, 46.53,6,桐　生
2019-05-31, 51, 37, 54, 60, 49, 53, 30.42, 39.09, 42.86, 29.27, 33.73, 36.49, 50.83, 53.81, 55.56, 46.34, 49.80, 53.60,6,戸　田
2019-05-31, 45, 60, 30, 27, 67, 36, 40.00, 41.18, 20.00, 37.50, 14.29,  7.14, 65.00, 58.82, 33.33, 50.00, 35.71, 14.29,6,江戸川
2019-05-31, 89, 71, 66, 25, 39, 13, 35.29, 26.83, 47.73, 23.26, 35.29, 57.89, 50.00, 58.54, 63.64, 41.86, 55.88, 68.42,6,住之江
2019-05-31, 65, 56, 19, 69, 46, 53, 27.36, 31.87, 36.96, 25.74, 27.45, 42.27, 49.06, 59.34, 54.35, 49.50, 38.24, 54.64,6,児　島
2019-05-31, 50, 32, 68, 47, 65, 31, 45.22, 44.81, 21.88, 41.61, 35.40, 32.90, 63.06, 59.09, 40.63, 61.74, 53.42, 44.52,6,宮　島
2019-05-31, 68, 19, 16, 64, 56, 60, 11.11, 54.55, 28.57, 30.00, 50.00, 11.11, 22.22, 72.73, 28.57, 50.00, 90.00, 22.22,6,徳　山
2019-05-31, 62, 12, 31, 25, 68, 58, 64.44, 29.73, 40.00, 15.79, 32.65,  8.82, 80.00, 51.35, 62.22, 26.32, 38.78, 26.47,6,下　関
2019-05-31, 69, 25, 32, 54, 33, 44, 41.82, 33.15, 27.43, 40.61, 26.63, 35.12, 54.55, 48.62, 41.71, 58.79, 44.02, 51.19,6,唐　津
2019-05-31, 73, 74, 43, 35, 49, 72, 41.67, 45.45, 38.24, 35.64, 27.19, 39.00, 53.70, 60.61, 55.88, 54.46, 42.11, 56.00,7,桐　生
2019-05-31, 27, 44, 32, 55, 48,  3, 49.28, 30.51, 37.89, 40.57, 33.48, 39.79, 67.94, 49.15, 55.26, 56.60, 49.34, 58.12,7,戸　田
2019-05-31, 55, 64, 68, 26, 58, 18, 35.29, 31.25, 26.67, 18.75, 50.00, 12.50, 35.29, 37.50, 33.33, 37.50, 75.00, 25.00,7,江戸川
2019-05-31, 88, 79, 36, 20, 52, 63, 64.71, 31.43, 39.47, 32.56, 20.00, 48.72, 82.35, 45.71, 52.63, 48.84, 44.44, 64.10,7,住之江
2019-05-31, 17, 15, 49, 26, 21, 57, 33.33, 39.60, 38.61, 32.98, 40.59, 32.71, 54.29, 57.43, 52.48, 45.74, 57.43, 45.79,7,児　島
2019-05-31, 52, 57, 58, 53, 55, 62, 31.21, 27.34, 33.54, 30.60, 49.33, 24.84, 45.39, 44.60, 51.83, 46.27, 68.67, 37.25,7,宮　島
2019-05-31, 54, 57, 62, 23, 20, 24, 33.33, 30.00, 45.45, 45.45, 50.00, 70.00, 47.62, 60.00, 63.64, 72.73, 70.00, 80.00,7,徳　山
2019-05-31, 60, 39, 63, 41, 18, 30, 35.71, 52.27, 60.87, 35.42, 34.88, 37.50, 45.24, 63.64, 69.57, 56.25, 46.51, 54.17,7,下　関
2019-05-31, 39, 26, 56, 38, 17, 14, 35.83, 44.51, 37.64, 30.41, 42.69, 32.97, 54.01, 64.02, 53.37, 47.95, 59.06, 45.41,7,唐　津
2019-05-31, 34, 22, 50, 46, 67, 27, 34.38, 35.48, 31.25, 29.09, 43.12, 32.38, 51.04, 55.91, 49.11, 44.55, 63.30, 52.38,8,桐　生
2019-05-31, 64, 19, 16, 35, 52, 12, 29.35, 40.64, 33.70, 30.77, 34.74, 31.56, 45.77, 54.01, 49.72, 52.40, 53.52, 49.59,8,戸　田
2019-05-31, 34, 12, 39, 69, 62, 47, 26.67, 12.50, 30.43, 13.33, 46.67, 47.62, 40.00, 18.75, 47.83, 40.00, 66.67, 61.90,8,江戸川
2019-05-31, 26, 51, 31, 86, 57, 11, 32.43, 22.86, 35.71, 40.54, 19.51, 33.33, 59.46, 34.29, 64.29, 72.97, 31.71, 47.22,8,住之江
2019-05-31, 12, 31, 61, 27, 68, 43, 35.79, 46.00, 45.74, 24.51, 37.50, 28.87, 55.79, 60.00, 67.02, 43.14, 63.54, 51.55,8,児　島
2019-05-31, 27, 40, 12, 24, 44, 29, 47.33, 30.46, 43.51, 38.89, 34.34, 41.73, 60.67, 41.95, 57.79, 59.72, 51.20, 57.55,8,宮　島
