date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-26, 31, 71, 18, 28, 47, 27, 44.44, 27.72, 28.79, 29.47, 50.63, 35.05, 60.00, 48.51, 46.97, 43.16, 63.29, 56.70,1,桐　生
2019-05-26, 22, 28, 69, 67, 68, 54, 33.48, 35.27, 30.56, 32.24, 31.70, 50.00, 52.23, 51.79, 46.76, 50.47, 50.00, 64.16,1,平和島
2019-05-26, 12, 66, 63, 45, 19, 57,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,多摩川
2019-05-26, 55, 49, 28, 20, 18,  8, 28.13, 33.33, 18.75, 32.35, 33.33, 28.13, 53.13, 55.56, 34.38, 38.24, 51.52, 31.25,1,浜名湖
2019-05-26, 49, 12, 71, 17, 32, 28, 72.73, 40.00, 55.56, 83.33, 35.00, 27.78, 72.73, 50.00, 88.89, 91.67, 60.00, 44.44,1,蒲　郡
2019-05-26, 31, 50, 15, 59, 62, 21, 28.16, 30.09, 39.62, 41.07, 29.13, 37.50, 43.69, 39.82, 56.60, 62.50, 43.69, 50.00,1,常　滑
2019-05-26, 21, 25, 69, 20, 12, 46, 41.01, 38.62, 24.39, 34.25, 28.87, 31.58, 60.43, 51.72, 43.90, 52.05, 50.70, 43.86,1,　津　
2019-05-26, 67, 39, 66, 62, 30, 58, 48.39, 21.43, 21.05, 17.86, 45.83, 25.00, 61.29, 39.29, 26.32, 28.57, 70.83, 50.00,1,三　国
2019-05-26, 50, 79, 37, 30, 29, 23, 71.43, 25.00, 10.71, 38.46, 16.67, 37.50, 90.48, 37.50, 46.43, 50.00, 33.33, 50.00,1,鳴　門
2019-05-26, 54, 61, 19, 40, 36,  2, 37.50, 20.62, 28.07, 38.18, 29.20, 27.03, 58.04, 39.18, 44.74, 58.18, 45.13, 45.95,1,丸　亀
2019-05-26, 11, 20, 34, 18, 59, 28, 25.00, 35.51, 28.44, 31.53, 33.98, 30.84, 47.92, 42.99, 44.95, 47.75, 54.37, 46.73,1,若　松
2019-05-26, 35, 55,  4, 61,  3, 20, 36.93, 27.23, 29.25, 33.04, 39.02, 28.64, 53.11, 44.20, 47.43, 48.02, 54.47, 44.55,1,芦　屋
2019-05-26, 44, 19, 61, 62, 42, 46, 32.13, 36.65, 36.23, 36.60, 43.13, 35.71, 45.25, 50.68, 50.72, 52.58, 55.00, 53.57,1,福　岡
2019-05-26, 53, 45, 65, 33, 24, 13, 28.04, 35.42, 33.65, 30.00, 59.34, 34.00, 50.47, 52.08, 50.00, 51.00, 72.53, 51.00,2,桐　生
2019-05-26, 74, 66, 57, 15, 16, 51, 39.56, 33.94, 46.36, 32.42, 38.67, 33.02, 57.33, 48.42, 62.27, 50.68, 56.44, 48.11,2,平和島
2019-05-26, 38, 21, 43, 46, 54, 56,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,多摩川
2019-05-26, 44, 62, 51, 56, 31, 26, 17.07, 50.00, 52.78, 29.41, 16.13, 13.33, 46.34, 81.25, 63.89, 50.00, 41.94, 26.67,2,浜名湖
2019-05-26, 14, 40, 73, 27, 47, 11, 36.36, 37.50, 44.44, 61.90, 50.00, 45.45, 54.55, 62.50, 55.56, 76.19, 75.00, 72.73,2,蒲　郡
2019-05-26, 42, 43, 63,  9, 39, 64, 40.57, 28.30, 34.75, 38.26, 30.84, 40.37, 59.43, 48.11, 50.00, 53.91, 42.06, 57.80,2,常　滑
2019-05-26, 14, 56, 57, 39, 18, 29, 24.67, 40.28, 39.22, 36.94, 33.33, 35.58, 42.00, 52.08, 56.21, 54.14, 51.92, 53.99,2,　津　
2019-05-26, 43, 64, 33, 12, 34, 63, 24.14, 10.53, 25.00, 37.93,  0.00, 50.00, 44.83, 26.32, 50.00, 58.62, 16.67, 72.73,2,三　国
2019-05-26, 32, 76, 13, 18, 55, 38, 26.92,  0.00, 16.67, 20.83,  9.09, 38.10, 46.15, 27.27, 37.50, 33.33, 13.64, 52.38,2,鳴　門
2019-05-26, 33, 25, 35, 62, 32, 53, 32.32, 22.55, 43.75, 30.48, 23.08, 31.25, 54.55, 39.22, 64.29, 44.76, 46.15, 50.00,2,丸　亀
2019-05-26, 31, 54, 36, 43, 50, 33, 37.17, 36.11, 34.51, 30.17, 39.29, 36.63, 53.98, 51.85, 48.67, 50.86, 50.89, 50.50,2,若　松
2019-05-26, 41, 15, 21, 43, 30, 23, 34.62, 34.13, 32.05, 42.15, 40.08, 30.87, 51.44, 49.52, 52.14, 61.69, 56.12, 51.30,2,芦　屋
2019-05-26, 36, 48, 34, 50, 66, 60, 27.36, 31.68, 37.33, 27.08, 37.06, 36.84, 41.79, 52.97, 53.92, 45.31, 51.76, 54.82,2,福　岡
2019-05-26, 52, 48, 60, 68, 19, 70, 29.47, 29.59, 24.64, 30.19, 35.05, 29.46, 42.11, 52.04, 40.58, 43.40, 54.64, 42.86,3,桐　生
2019-05-26, 56, 24, 60, 14, 65, 33, 56.83, 32.86, 31.07, 38.18, 38.12, 32.57, 74.45, 48.36, 46.60, 56.82, 59.64, 53.21,3,平和島
2019-05-26, 48, 64, 31, 74, 23, 44,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,3,多摩川
