boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 68, 62, 49, 60, 52, 22, 33.93, 33.53, 20.99, 35.09, 34.64, 40.22, 48.21, 56.47, 40.74, 53.22, 54.19, 55.43,2019-02-05, 57, 17, 56, 36, 16, 32, 39.01, 36.69, 24.39, 37.70, 29.24, 36.56, 56.59, 50.30, 44.51, 53.01, 47.37, 53.76,1,江戸川
 11, 73, 57, 60, 12, 14, 32.43, 35.66, 34.31, 32.03, 20.97, 28.67, 53.38, 48.84, 51.09, 46.09, 43.55, 44.76,2019-02-05, 47, 50, 30, 44, 69, 36, 40.15, 36.69, 35.97, 22.69, 33.80, 25.60, 66.42, 53.96, 51.08, 35.29, 49.30, 36.80,1,平和島
141,155,181,137,158,151, 41.67, 34.04, 23.94, 41.12, 32.38, 39.45, 53.70, 55.32, 43.66, 55.14, 48.57, 55.05,2019-02-05, 45, 60, 35, 67, 70, 38, 31.90, 23.96, 26.85, 23.68, 22.22, 17.14, 49.14, 43.75, 47.22, 40.79, 37.04, 35.71,1,多摩川
 18, 57, 12, 14, 19, 53, 32.35, 34.07, 22.06, 41.73, 34.66, 28.06, 53.53, 42.86, 41.18, 57.55, 51.70, 46.04,2019-02-05, 69, 39, 45, 46, 34, 11, 30.52, 41.61, 34.73, 33.52, 40.88, 38.22, 50.00, 60.25, 55.09, 53.07, 55.35, 52.23,1,蒲　郡
 60, 17, 35, 67, 27, 49, 32.58, 39.06, 35.29, 31.34, 34.04, 39.31, 46.97, 50.78, 49.26, 50.75, 53.19, 58.62,2019-02-05, 52, 25, 53, 61,  9, 20, 30.43, 31.25, 35.14, 44.12, 21.21, 30.00, 52.17, 56.25, 51.35, 58.82, 42.42, 46.67,1,常　滑
 25, 15, 38, 34, 46, 23, 40.53, 35.14, 40.31, 28.21, 38.74, 50.00, 62.63, 48.65, 60.20, 44.62, 50.26, 66.84,2019-02-05, 36, 40, 38, 16, 14, 64, 34.13, 30.39, 33.00, 38.58, 32.67, 36.89, 51.44, 43.14, 48.00, 55.33, 51.98, 55.83,1,三　国
 49, 53, 66, 59, 35, 11, 33.77, 41.33, 51.95, 33.33, 33.13, 24.84, 48.70, 58.00, 64.29, 54.67, 49.40, 39.87,2019-02-05, 12, 17, 48, 64, 37, 25, 26.67, 34.34, 43.79, 26.11, 45.45, 28.92, 41.33, 43.98, 64.50, 43.95, 58.52, 37.95,1,びわこ
 68, 88, 26, 32, 36, 91, 48.99, 38.19, 34.29, 35.44, 33.13, 31.10, 65.77, 54.86, 47.86, 51.27, 52.50, 50.00,2019-02-05, 36, 57, 50, 30, 32, 78, 36.21, 39.66, 32.57, 29.94, 33.89, 28.33, 49.43, 54.02, 48.57, 49.72, 47.22, 40.56,1,住之江
 17, 10, 73, 32, 53, 35, 27.91, 23.39, 34.29, 30.90, 32.52, 33.14, 48.26, 43.86, 50.86, 49.44, 49.08, 50.58,2019-02-05, 75, 19, 53, 10, 12, 67, 36.14, 32.97, 31.25, 32.52, 26.95, 40.68, 51.81, 48.90, 43.18, 50.31, 47.90, 57.06,1,鳴　門
 51, 20, 48, 65, 60, 34, 38.08, 35.07, 23.75, 31.65, 28.93, 36.90, 51.88, 47.87, 37.50, 51.38, 45.91, 53.87,2019-02-05, 27, 17, 50, 21, 32, 37, 10.00, 27.78, 25.00, 28.57, 33.33, 19.05, 20.00, 55.56, 55.00, 52.38, 38.89, 47.62,1,児　島
