date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-09-02,桐　生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.25,0.19,0.15,0.19,0.18, 31, 44, 59, 13, 29, 34, 27.91, 25.83, 26.97, 35.33, 26.63, 33.52, 47.09, 37.50, 40.45, 56.52, 39.64, 45.25, 61, 11, 64, 48, 54, 43, 29.58, 50.69, 30.17, 31.52, 40.27, 36.94, 46.48, 68.75, 44.83, 55.43, 60.40, 51.59,F0,F0,F0,F1,F0,F1,L0,L0,L0,L0,L0,L0,23.26,13.04,12.50,30.00,29.23,22.22,12.77,17.86,21.84,40.43,25.30,30.00,41.86,30.43,12.50,65.00,56.15,44.44,27.66,32.14,34.48,67.02,45.78,42.86,金　子　　建　二,小　澤　　　　学,松　尾　　基　成,山　田　　雄　太,寺　本　　昇　平,古　賀　　智　之,3480,4145,3741,4150,3947,4789, 4.47, 3.87, 3.69, 5.85, 5.30, 4.11, 3.34, 4.06, 4.49, 6.32, 4.84, 4.61
2019-09-02,多摩川,1,.19,,,,.12,.21,.29,.06,.30,.29,,.34,,,,.21,.26,.12,,.22,.19,,.13,,,,.16,.18,.22,,.11,.18,,.19,,,,.19,.20,.17,.23,.19,.23,,.17,,,.26,.19,,.16,,.19,.11,,.16,,,,.17,.14,.21,.23,.10,,,5,,,,1,3,2,4,6,2,,2,,,,1,3,3,,3,5,,5,,,,2,3,6,,1,4,,1,,,,2,4,5,3,5,3,,5,,,4,2,,3,,1,3,,2,,,,1,3,6,4,5,,,5,,,,1,3,2,4,6,2,,2,,,,1,3,4,,3,5,,5,,,,2,3,6,,1,4,,1,,,,2,4,6,3,5,3,,5,,,4,2,,3,,1,3,,2,,,,1,3,5,4,5,,,11,,,,1,8,5,11,6,10,,6,,,,2,7,8,,3,11,,6,,,,6,10,1,,5,9,,1,,,,2,10,8,12,2,10,,1,,,8,4,,1,,3,7,,10,,,,3,9,4,12,7,,,３,,,,１,１,４,６,５,３,,４,,,,２,３,３,,３,６,,６,,,,３,３,３,,３,４,,１,,,,５,６,２,４,４,４,,３,,,５,４,,５,,１,３,,５,,,,２,２,６,６,５,,,0.18,0.21,0.19,0.17,0.19,0.21,159,129,122,158,134,173, 41.07, 40.00, 27.78, 33.33, 47.37, 41.38, 51.79, 43.64, 44.44, 42.11, 63.16, 62.07, 51, 65, 74, 41, 52, 31, 28.57, 36.07, 30.91, 36.84, 30.65, 33.93, 46.94, 52.46, 45.45, 56.14, 53.23, 50.00,F1,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,63.41, 5.88,21.43,38.89,16.13,22.22,42.06,15.00,18.18,35.48,15.38,22.22,78.05,11.76,42.86,44.44,32.26,55.56,63.49,26.67,28.57,55.65,41.76,33.33,細　川　　裕　子,笠　野　　友紀恵,安　達　　美　帆,金　田　　幸　子,田　村　　美　和,藤　田　　美　代,4123,3528,3778,4065,3207,3551, 7.29, 2.76, 4.43, 4.94, 3.97, 5.00, 6.11, 3.75, 3.47, 5.65, 4.08, 4.11
2019-09-02,蒲　郡,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.17,0.18,0.22,0.19, 60, 14, 32, 41, 30, 31, 30.43, 28.57, 32.00, 32.84, 19.51, 41.67, 36.23, 42.86, 50.67, 47.76, 48.78, 54.17, 33, 53, 49, 25, 64, 31, 40.24, 39.74, 33.73, 24.59, 52.50, 27.50, 56.10, 52.56, 50.60, 39.34, 68.75, 42.50,F0,F0,F1,F0,F0,F0,L0,L0,L0,L0,L0,L0,21.05,25.00,24.24,22.22,16.00, 0.00,17.44,21.43,19.75,25.81,11.36,29.63,34.21,37.50,39.39,44.44,36.00, 0.00,31.40,41.67,43.21,46.24,20.45,46.91,松　浦　　　　勝,本　部　　真　吾,高　橋　　二　朗,金　子　　和　之,深　見　　亜由美,細　川　　明　人,3867,3823,2538,4700,4897,3834, 4.29, 4.63, 4.67, 4.56, 4.20, 0.00, 4.01, 4.57, 4.59, 4.83, 3.36, 5.09
2019-09-02,常　滑,1,.13,,,.11,.15,,.27,.26,,,,.18,,,,.27,.18,.20,,,,,.18,,,.19,.19,,.25,.16,,,,.26,,,,.31,.09,.20,.20,,,,,,,,,,,,,,,.21,,,.14,.18,,.28,,,,,2,,,5,4,,3,6,,,,5,,,,1,3,5,,,,,4,,,6,1,,2,4,,,,6,,,,3,5,6,6,,,,,,,,,,,,,,,2,,,4,4,,5,,,,,2,,,5,4,,3,6,,,,5,,,,1,3,6,,,,,3,,,6,1,,2,4,,,,5,,,,3,2,6,5,,,,,,,,,,,,,,,2,,,4,3,,6,,,,,4,,,8,5,,2,7,,,,5,,,,1,8,9,,,,,2,,,8,7,,2,6,,,,9,,,,1,6,3,9,,,,,,,,,,,,,,,3,,,8,2,,1,,,,,３,,,３,５,,５,５,,,,６,,,,５,５,４,,,,,５,,,６,１,,３,６,,,,６,,,,６,６,６,６,,,,,,,,,,,,,,,５,,,５,５,,４,,,,,0.18,0.19,0.19,0.19,0.18,0.18, 36, 33, 32, 25, 58, 42, 10.71, 30.00, 45.10, 44.44, 39.53, 43.48, 21.43, 37.50, 68.63, 62.22, 58.14, 58.70, 27, 58, 20, 24, 31, 42, 32.34, 37.93, 24.05, 41.81, 27.06, 36.47, 43.71, 59.77, 44.94, 58.76, 40.00, 53.53,F1,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,31.40,15.38,27.27, 0.00,14.08,15.38,25.47,14.93,27.37,21.57,16.95,21.43,54.65,53.85,45.45, 0.00,25.35,23.08,36.79,26.87,42.11,37.25,33.05,30.95,西　村　　豪　洋,切　田　　潤　二,尾　形　　栄　治,渡　邉　　　　健,上　田　　健　太,小　巻　　良　至,4565,3682,3868,5044,5002,3698, 5.48, 4.77, 4.95, 0.00, 3.30, 3.77, 4.35, 3.91, 4.81, 4.04, 3.82, 4.24
2019-09-02,　津　,1,.21,,,.19,,,,,,,,.10,,,,,,,,,,,.23,,,.21,,,,,,,,.17,,,,,,,,,,,.33,,,,,,,,,,,.49,,,,,,,,,,,5,,,6,,,,,,,,5,,,,,,,,,,,5,,,4,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,5,,,6,,,,,,,,5,,,,,,,,,,,5,,,4,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,7,,,12,,,,,,,,6,,,,,,,,,,,1,,,8,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,４,,,５,,,,,,,,３,,,,,,,,,,,６,,,３,,,,,,,,４,,,,,,,,,,,６,,,,,,,,,,,６,,,,,,,,,,,0.17,0.19,0.18,0.16,0.19,0.19, 15, 54, 61, 21, 24, 71, 36.27, 35.64, 41.29, 32.69, 38.79, 41.67, 56.99, 52.66, 56.22, 52.40, 51.87, 57.89, 53, 16, 45, 40, 50, 17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,60.00,33.33,22.22,43.75,60.00, 8.33,42.64,26.14,26.88,32.69,19.75,22.86,85.00,43.33,27.78,50.00,80.00,25.00,65.89,48.86,44.09,50.00,32.10,41.43,飯　島　　昌　弘,三　宅　　爾　士,山　崎　　昂　介,石　岡　　将　太,信　濃　　由　行,下　河　　雅　史,3679,3044,4315,4550,3620,4395, 7.40, 5.17, 3.67, 5.00, 7.00, 3.58, 6.68, 5.19, 4.74, 5.29, 4.19, 4.41
2019-09-02,三　国,1,.02,,,.18,.15,.14,.26,,.15,.15,,.06,,,.27,.14,,.05,.18,.15,.13,,.23,,,.19,.09,,.18,.18,.08,,,.27,,,.21,.10,,.16,.12,.19,,,.20,,,,.18,.12,.26,.13,.11,.16,,.24,,,,.12,.16,.07,,.16,.24,,1,,,4,5,2,3,,6,2,,4,,,1,2,,6,6,5,4,,2,,,6,5,,3,1,5,,,5,,,3,1,,4,2,6,,,3,,,,4,1,6,4,5,4,,6,,,,6,6,6,,6,6,,1,,,4,5,2,3,,6,2,,4,,,1,2,,5,3,6,4,,2,,,6,4,,3,1,5,,,5,,,3,1,,4,2,6,,,3,,,,4,1,6,2,5,4,,6,,,,5,6,6,,5,4,,2,,,9,7,11,8,,7,12,,2,,,6,7,,3,10,2,11,,1,,,10,4,,1,10,4,,,3,,,10,8,,3,9,3,,,5,,,,2,6,1,12,3,8,,1,,,,3,7,4,,2,6,,２,,,２,２,２,５,,４,２,,４,,,３,１,,４,６,４,２,,３,,,６,６,,３,５,５,,,６,,,４,１,,５,４,５,,,６,,,,２,３,４,３,３,３,,４,,,,６,６,５,,６,５,,0.18,0.16,0.16,0.18,0.20,   -, 12, 35, 49, 42, 53, 45, 22.97, 41.86, 42.70, 28.26, 40.96, 24.14, 43.24, 61.63, 53.93, 41.30, 57.83, 39.08, 35, 71, 50, 60, 28, 72, 25.00, 39.77, 23.19, 31.25, 25.64, 42.70, 43.42, 59.09, 46.38, 43.75, 38.46, 62.92,F0,F1,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,48.00,34.51,23.53, 0.00,36.36, 0.00,46.25,22.89,19.59,19.80,27.88, 0.00,74.00,47.79,41.18,33.33,59.09, 0.00,70.00,43.37,34.02,34.65,40.38, 2.78,丸　尾　　義　孝,秋　元　　　　誠,永　田　　義　紘,岡　部　　　　浩,宇　土　　泰　就,大　澤　　誠　也,3333,3781,4374,3361,3752,5074, 6.42, 5.11, 4.59, 2.67, 5.45, 0.00, 6.36, 4.51, 4.08, 4.23, 4.74, 1.39
2019-09-02,びわこ,1,.27,,,.18,.19,.11,.05,,.20,.19,,.23,,,,.20,.07,.13,,.13,.07,,.20,,,,.26,.13,.20,,.19,.05,,.08,,,,.19,.14,.28,.06,.21,,,.20,,,.38,.11,,.13,.14,.27,,,.46,,,,.32,.32,.43,,.38,,,2,,,5,4,1,3,,6,2,,6,,,,4,4,2,,1,5,,5,,,,6,3,3,,4,1,,3,,,,1,4,5,6,2,,,6,,,3,5,,1,4,2,,,6,,,,6,6,6,,6,,,2,,,5,4,1,3,,6,2,,6,,,,4,3,2,,1,5,,5,,,,6,3,2,,4,1,,3,,,,1,4,5,6,2,,,6,,,3,5,,1,4,2,,,6,,,,6,6,5,,6,,,7,,,12,2,10,6,,7,12,,3,,,,1,10,10,,2,6,,6,,,,1,9,9,,1,7,,5,,,,3,12,2,6,6,,,1,,,9,9,,3,11,2,,,5,,,,2,6,5,,5,,,５,,,５,２,１,２,,６,２,,６,,,,２,４,６,,２,５,,４,,,,４,５,３,,４,１,,３,,,,４,３,４,４,４,,,４,,,２,４,,５,４,転,,,６,,,,６,６,６,,５,,,0.17,0.18,0.18,0.21,0.19,0.20, 20, 27, 64, 70, 57, 19, 27.27, 43.10, 37.50, 37.31, 37.88, 44.83, 43.64, 62.07, 48.21, 62.69, 57.58, 63.79, 57, 47, 51, 27, 20, 34, 28.89, 19.51, 49.25, 33.87, 39.06, 30.16, 42.22, 31.71, 73.13, 58.06, 46.88, 52.38,F0,F1,F1,F0,F0,F1,L0,L0,L0,L0,L0,L0,63.64,18.18,22.22,38.89,18.75, 0.00,53.13,19.78,28.92,21.98,28.72,14.89,81.82,30.30,33.33,50.00,37.50, 0.00,67.19,34.07,42.17,34.07,46.81,17.02,松　崎　　祐太郎,今　泉　　和　則,小　松　　卓　司,川　上　　清　人,高　山　　秀　雄,田　代　　達　也,4451,3799,4329,4020,3448,4944, 7.64, 4.21, 4.22, 5.17, 4.31, 0.00, 6.76, 4.03, 4.65, 3.81, 4.99, 2.89
2019-09-02,尼　崎,1,.19,,,,.20,.37,,,,,,.09,,,,.22,.02,,,,,,.12,,,.21,.08,.03,,,,,,.34,,,,.44,,,,,,,.28,,,,.13,,,,,,,.11,,,.04,.05,,,,,,,5,,,,2,2,,,,,,5,,,,4,4,,,,,,5,,,1,3,6,,,,,,6,,,,6,,,,,,,6,,,,5,,,,,,,6,,,6,6,,,,,,,5,,,,2,3,,,,,,5,,,,4,3,,,,,,5,,,1,2,6,,,,,,5,,,,6,,,,,,,6,,,,5,,,,,,,6,,,6,6,,,,,,,6,,,,2,8,,,,,,4,,,,1,7,,,,,,2,,,9,7,11,,,,,,7,,,,2,,,,,,,2,,,,5,,,,,,,6,,,10,9,,,,,,,３,,,,３,４,,,,,,６,,,,６,６,,,,,,５,,,１,２,３,,,,,,６,,,,６,,,,,,,６,,,,５,,,,,,,４,,,３,４,,,,,,,0.20,0.16,0.17,0.20,   -,0.14, 11, 59, 75, 65, 46, 67, 36.36, 24.44, 49.37, 31.25, 35.29, 26.92, 48.48, 46.67, 65.82, 37.50, 55.88, 44.87, 47, 34,  1, 35, 32, 49, 35.53, 32.50, 36.25, 26.67, 13.16, 39.19, 43.42, 46.25, 57.50, 52.00, 26.32, 62.16,F0,F1,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,25.88,12.50,36.84, 0.00, 0.00,33.33,32.65,15.19,41.88, 1.47, 5.26,23.16,41.18,25.00,68.42, 0.00,20.00,61.90,46.94,30.38,61.54, 2.94,19.30,45.26,佐　竹　　太　一,石　田　　貴　洋,中　山　　雄　太,木　下　　雄　介,前　田　　　　翔,澤　　　　大　介,4725,5005,4650,5050,5089,3852, 4.42, 4.13, 6.00, 1.38, 2.40, 5.86, 4.93, 4.04, 6.31, 1.82, 2.89, 4.62
2019-09-02,鳴　門,1,.09,,,.11,,,,,,,,.22,,,,,,,,,,,.24,,,,,,,,,,,.31,,,,,,,,,,,.18,,,.28,,,,,,,,.11,,,,,,,,,,,6,,,2,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,3,,,1,,,,,,,,1,,,,,,,,,,,6,,,2,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,,3,,,1,,,,,,,,1,,,,,,,,,,,4,,,9,,,,,,,,6,,,,,,,,,,,9,,,,,,,,,,,5,,,,,,,,,,,1,,,8,,,,,,,,6,,,,,,,,,,,２,,,１,,,,,,,,５,,,,,,,,,,,５,,,,,,,,,,,６,,,,,,,,,,,６,,,６,,,,,,,,３,,,,,,,,,,,0.17,0.21,0.19,0.17,0.19,0.18, 55, 67, 74, 63, 78, 35, 25.97, 33.78, 31.17, 31.58, 43.59, 24.29, 38.96, 51.35, 49.35, 56.58, 58.97, 44.29, 54, 10, 33, 70, 17, 55, 31.11, 29.33, 36.47, 16.67, 34.83, 22.22, 46.67, 45.33, 55.29, 32.05, 50.56, 39.51,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,38.00,16.67,50.00,22.22,28.79,31.25,36.78,22.99,27.59,27.10,18.60,18.60,57.00,16.67,50.00,27.78,42.42,43.75,51.72,28.74,47.13,40.19,31.40,29.07,齊　藤　　　　優,林　　　　恵　祐,水　長　　照　雄,澤　崎　　雄　哉,近　藤　　稔　也,藤　井　　　　理,4247,3928,3559,4880,3477,3846, 5.69, 3.33, 5.88, 3.78, 4.86, 4.69, 5.49, 4.03, 4.98, 4.61, 4.31, 3.97
2019-09-02,児　島,1,.25,,,.08,.07,.21,,,,,,.27,,,,.04,.21,,,,,,.16,,,,.11,.14,,,,,,.17,,,.22,.16,,,,,,,.10,,,.15,.16,,,,,,,.21,,,,.13,.16,,,,,,2,,,5,6,3,,,,,,5,,,,6,3,,,,,,6,,,,2,5,,,,,,5,,,3,2,,,,,,,4,,,2,4,,,,,,,2,,,,5,4,,,,,,2,,,5,6,3,,,,,,4,,,,6,3,,,,,,6,,,,2,5,,,,,,5,,,3,2,,,,,,,4,,,2,3,,,,,,,2,,,,5,4,,,,,,6,,,12,3,10,,,,,,5,,,,1,9,,,,,,2,,,,2,6,,,,,,2,,,10,4,,,,,,,1,,,9,5,,,,,,,2,,,,2,8,,,,,,４,,,２,６,３,,,,,,６,,,,４,５,,,,,,４,,,,２,６,,,,,,６,,,２,６,,,,,,,５,,,２,３,,,,,,,５,,,,６,６,,,,,,0.14,0.17,   -,0.19,0.17,0.19, 20, 49, 25, 33, 16, 51, 26.44, 43.21, 37.63, 36.54, 37.50, 34.23, 43.68, 62.96, 51.61, 56.73, 54.17, 49.66, 13, 14, 47, 18, 19, 30, 30.06, 26.45, 28.13, 29.56, 38.22, 24.84, 42.94, 42.58, 46.25, 48.43, 57.96, 44.44,F1,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,80.00,20.00,30.00,18.75,27.27, 0.00,42.28,23.81,11.43,27.37,25.22,14.10,80.00,50.00,70.00,18.75,40.91,22.22,59.35,36.19,17.14,33.68,41.74,28.21,中　辻　　崇　人,深　山　　祐　二,木　村　　紗友希,内　田　　　　圭,木　場　　雄二郎,松　本　　　　峻,3876,3974,4317,3976,4158,4868, 8.30, 4.40, 5.30, 3.19, 4.73, 2.33, 6.13, 4.28, 2.83, 3.99, 4.66, 3.42
