boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 69, 15, 65, 14, 12, 71, 35.11, 22.58, 44.44, 31.18, 32.58, 50.54, 57.45, 40.86, 57.78, 52.69, 57.30, 66.67,2019-04-19, 45, 49, 55, 61, 28, 62, 38.89, 31.25, 20.41, 10.53, 34.29, 30.30, 58.33, 50.00, 38.78, 26.32, 52.86, 37.88,1,桐　生
 56, 19, 10, 14, 25, 11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-04-19, 54, 10, 21, 26, 43, 39,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,江戸川
 15, 33, 74, 45, 47, 29, 37.70, 32.80, 24.04, 31.19, 16.10, 38.71, 54.92, 60.00, 36.54, 45.87, 30.51, 54.03,2019-04-19, 53, 63,  5, 29, 47, 65,  0.00,  0.00, 44.44, 50.00,  0.00,  0.00,  0.00,  0.00, 66.67, 87.50,  0.00,  0.00,1,浜名湖
 45, 58, 46, 26, 20, 24, 32.05, 34.93, 32.10, 33.65, 26.53, 40.44, 52.14, 49.28, 50.00, 50.24, 46.43, 58.22,2019-04-19, 48, 16, 62, 39, 35, 59, 42.74, 39.65, 33.71, 34.19, 36.61, 43.33, 58.55, 58.59, 48.69, 52.14, 51.18, 60.00,1,蒲　郡
 15, 12, 32, 20, 17, 71, 33.15, 28.99, 30.00, 34.78, 38.92, 34.38, 44.75, 47.93, 48.33, 47.28, 50.27, 52.50,2019-04-19, 63, 35, 61, 38, 26, 31, 36.05, 49.44, 34.67, 37.04, 33.33, 29.11, 50.00, 68.54, 49.33, 50.62, 60.00, 48.10,1,常　滑
 34, 22, 69, 50, 41, 28,  0.00, 30.00,  0.00, 37.50,  0.00, 40.00,  0.00, 30.00,  0.00, 50.00, 50.00, 60.00,2019-04-19, 56, 62, 31, 45, 34, 21, 14.29,  0.00, 14.29, 20.00,  0.00, 33.33, 42.86,  0.00, 28.57, 60.00,  0.00, 33.33,1,三　国
 59, 56, 51, 38, 49, 19, 30.00, 40.00, 34.34, 34.87, 35.12, 43.30, 51.05, 60.50, 51.01, 50.77, 51.22, 60.82,2019-04-19, 35, 14, 58, 36, 44, 16, 30.85, 29.30, 37.73, 28.97, 34.88, 35.44, 47.76, 46.51, 54.55, 48.13, 53.02, 55.34,1,びわこ
 19, 75, 59, 29, 82, 11, 35.71, 25.00, 14.29,  4.76, 44.44, 75.00, 35.71, 25.00, 42.86, 38.10, 44.44, 87.50,2019-04-19, 79, 56, 76, 35, 80, 30, 20.00, 26.67, 50.00, 50.00, 37.50, 75.00, 33.33, 40.00, 62.50, 50.00, 75.00, 87.50,1,住之江
 46, 42, 52, 36, 19, 15,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-04-19, 43,  6, 11, 28, 38,  7,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,尼　崎
 64, 16, 11, 24, 57, 25, 24.00, 37.04, 15.38, 24.14, 48.28, 17.86, 40.00, 44.44, 23.08, 41.38, 65.52, 21.43,2019-04-19, 16, 69, 24, 63, 21, 36, 30.30, 30.43, 29.41, 29.85, 31.88, 38.24, 53.03, 59.42, 42.65, 46.27, 53.62, 48.53,1,児　島
 47, 58, 55, 22, 31, 48, 40.88, 28.32, 34.13, 28.03, 27.05, 28.70, 56.93, 47.79, 50.79, 41.67, 50.82, 47.22,2019-04-19, 36, 63, 38, 67, 60, 49, 32.39, 36.72, 31.78, 49.60, 41.73, 28.68, 47.89, 53.91, 48.84, 60.00, 52.76, 48.06,1,宮　島
 25, 32, 40, 46, 35, 26, 35.29, 33.33, 30.34, 37.78, 33.72, 34.07, 55.29, 46.43, 48.31, 58.89, 48.84, 49.45,2019-04-19, 53, 34, 43, 57, 38, 39, 35.92, 39.83, 44.31, 43.64, 25.33, 35.77, 52.24, 58.44, 58.04, 57.27, 41.78, 47.56,1,徳　山
 29, 55, 47, 68, 64, 56, 33.33, 52.94, 56.25, 12.50, 29.41, 18.75, 66.67, 76.47, 75.00, 31.25, 41.18, 50.00,2019-04-19, 31, 51, 61, 15, 59, 25, 21.43, 31.25,  7.69, 22.73, 21.74, 18.75, 42.86, 62.50, 15.38, 36.36, 43.48, 31.25,1,下　関
 18, 21, 76, 56, 66, 55, 33.72, 36.26, 31.52, 47.22, 40.68, 37.50, 48.84, 51.10, 48.48, 64.44, 60.45, 55.43,2019-04-19, 62, 55, 57, 20, 19, 14, 38.89, 41.67, 22.22, 35.90, 44.12, 54.05, 61.11, 52.78, 33.33, 56.41, 58.82, 75.68,1,大　村
 68, 29, 11, 21, 72, 22, 34.83, 28.57, 48.91, 38.64, 26.67, 38.89, 49.44, 43.96, 72.83, 52.27, 41.11, 47.78,2019-04-19, 37, 26, 32, 66, 70, 25, 57.75, 20.69, 29.17, 31.88, 30.38, 35.62, 73.24, 41.38, 45.83, 47.83, 45.57, 58.90,2,桐　生
 32, 55, 51, 17, 28, 43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-04-19, 51, 11, 33, 12, 36, 48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,江戸川
 56, 51, 72, 67, 37, 75, 23.48, 28.46, 37.10, 43.31, 28.80, 39.52, 40.00, 43.09, 54.84, 57.48, 45.60, 54.84,2019-04-19, 19,  2, 54, 46, 48, 51, 25.00, 50.00,  0.00, 75.00,  0.00,  0.00, 37.50, 50.00,  0.00, 87.50,  0.00,  0.00,2,浜名湖
 55, 61, 60, 41, 22, 12, 31.92, 33.33, 33.33, 34.68, 32.49, 23.20, 46.01, 49.77, 49.10, 51.35, 48.10, 42.27,2019-04-19, 17, 11, 24, 41, 19, 40, 45.75, 35.96, 33.47, 37.85, 42.01, 47.23, 66.51, 49.56, 52.54, 56.57, 59.36, 61.28,2,蒲　郡
 48, 63, 60, 51, 36, 49, 34.83, 33.16, 34.81, 35.08, 38.76, 35.60, 47.19, 51.30, 51.38, 53.40, 60.11, 56.54,2019-04-19, 51, 53, 50, 39, 40, 30, 41.03, 29.79, 28.89, 30.86, 36.25, 17.81, 57.69, 43.62, 40.00, 43.21, 53.75, 35.62,2,常　滑
 64, 20, 59, 26, 37, 71,  0.00, 10.00,  0.00,  0.00, 20.00,  0.00,  0.00, 30.00,  0.00,  0.00, 60.00,  0.00,2019-04-19, 41, 17, 67, 60, 42, 40,  0.00, 40.00,  0.00,  0.00, 40.00,  0.00,  0.00, 60.00,  0.00,  0.00, 60.00,  0.00,2,三　国
 24, 16, 58, 65, 71, 27, 34.69, 32.20, 34.47, 33.81, 29.10, 33.33, 55.61, 52.20, 48.54, 54.29, 40.74, 51.28,2019-04-19, 67, 37, 54, 21, 57, 53, 33.03, 46.61, 40.38, 33.65, 36.50, 30.30, 47.06, 59.32, 53.85, 51.66, 55.00, 48.48,2,びわこ
 37, 84, 31, 83, 77, 55, 83.33, 50.00, 71.43, 33.33, 55.56, 66.67, 83.33, 62.50, 85.71, 44.44, 66.67, 66.67,2019-04-19, 52, 34, 37, 15, 72, 84, 12.50, 57.14, 83.33, 25.00,  0.00, 33.33, 31.25, 57.14, 83.33, 50.00,  6.25, 41.67,2,住之江
 21, 32, 11, 28, 45, 47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-04-19, 13, 20, 47, 22, 46,  5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,尼　崎
 22, 70, 52, 23, 15, 66, 27.59, 13.79, 18.52, 62.07, 25.00, 23.33, 34.48, 34.48, 55.56, 68.97, 42.86, 40.00,2019-04-19, 14, 17, 48, 65, 27, 29, 25.37, 29.85, 38.57, 32.84, 23.88, 22.06, 37.31, 55.22, 61.43, 53.73, 46.27, 36.76,2,児　島
 56, 44, 57, 21, 60, 27, 36.23, 44.76, 33.62, 37.25, 42.19, 31.25, 51.45, 58.10, 50.86, 56.21, 60.16, 52.34,2019-04-19, 72, 71, 58, 30, 33, 27, 33.58, 28.79, 33.58, 34.68, 36.62, 52.03, 48.18, 40.15, 50.75, 57.26, 54.93, 65.85,2,宮　島
 37, 18, 68, 72, 42, 27, 32.95, 29.07, 28.40, 30.95, 23.91, 41.11, 55.68, 50.00, 44.44, 47.62, 35.87, 66.67,2019-04-19, 55, 26, 66, 35, 24, 30, 45.45, 35.60, 39.59, 29.57, 32.65, 35.12, 63.64, 52.00, 57.55, 46.30, 51.02, 51.65,2,徳　山
