date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-11, 55, 25, 12, 65, 63, 26, 17.86, 35.56, 29.87, 32.63, 30.95, 22.39, 35.71, 58.89, 49.35, 49.47, 47.62, 44.78,1,桐　生
2019-05-11, 12, 61,  1, 11, 59, 37, 32.75, 38.85, 36.02, 48.26, 35.58, 40.11, 49.78, 54.78, 47.31, 62.79, 57.06, 55.08,1,戸　田
2019-05-11, 28, 26, 66,  4, 52, 29, 20.00,  6.67, 34.78, 25.93, 36.84, 28.00, 36.00, 26.67, 43.48, 44.44, 73.68, 44.00,1,浜名湖
2019-05-11, 19, 11, 22, 37, 12,  4, 28.57, 20.00, 35.79, 30.11, 14.10, 22.62, 40.66, 32.22, 52.63, 46.24, 23.08, 29.76,1,常　滑
2019-05-11, 58, 17, 46, 14, 66, 61, 29.63, 28.67, 30.48, 26.06, 30.92, 23.29, 47.53, 46.67, 43.81, 42.96, 45.39, 41.10,1,　津　
2019-05-11, 35, 48, 67, 16, 63, 12, 29.68, 44.12, 31.38, 33.78, 33.48, 33.79, 45.21, 65.55, 45.61, 53.33, 55.22, 49.32,1,びわこ
2019-05-11, 65, 49, 21, 19, 18, 69, 29.55, 38.46, 38.89, 39.02, 34.15, 28.24, 52.27, 53.85, 55.56, 52.44, 48.78, 55.29,1,児　島
2019-05-11, 52, 68, 40, 25, 20, 58, 29.17, 21.10, 31.71, 27.69, 26.50, 35.06, 43.33, 37.61, 43.90, 41.54, 35.90, 52.60,1,宮　島
2019-05-11, 15, 46, 48, 42, 44, 55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,徳　山
2019-05-11, 20, 34, 52, 16, 58, 12, 37.04, 30.30, 16.67, 42.86, 12.00, 28.57, 59.26, 45.45, 47.22, 57.14, 32.00, 50.00,1,下　関
2019-05-11,  1, 58, 18, 45, 40, 60, 34.94, 41.67, 32.26, 30.85, 33.70, 29.35, 49.40, 61.46, 49.46, 44.68, 55.43, 36.96,1,若　松
2019-05-11, 63, 56, 68, 61, 53, 72, 34.59, 37.77, 27.83, 35.71, 41.57, 36.22, 57.14, 52.66, 47.64, 50.51, 54.22, 58.38,1,福　岡
2019-05-11, 19, 42, 24, 46, 32, 37, 35.09, 29.78, 21.54, 25.61, 26.67, 35.50, 51.46, 41.01, 36.15, 38.41, 41.82, 52.07,1,唐　津
