boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 27, 59, 21, 30, 50, 45, 28.40, 37.18, 41.77, 29.11, 22.22, 34.67, 41.98, 44.87, 54.43, 54.43, 44.44, 52.00,2019-03-22, 72, 73, 42, 58, 47, 66, 40.00, 38.18, 30.91, 35.94, 50.00, 33.87, 56.36, 47.27, 54.55, 50.00, 64.58, 51.61,1,桐　生
 29, 11, 57, 27, 32, 19, 31.53, 32.16, 31.66, 30.52, 36.02, 30.84, 45.81, 50.25, 49.25, 45.07, 48.82, 46.73,2019-03-22, 66, 54, 47, 32, 40, 59, 27.62, 27.13, 28.04, 35.68, 35.94, 28.88, 43.09, 44.15, 43.92, 52.42, 52.07, 41.71,1,江戸川
159,161,183,155,152,130, 33.65, 33.82, 30.15, 37.12, 28.79, 37.12, 48.08, 46.32, 48.53, 56.82, 40.15, 55.30,2019-03-22, 44, 71, 12, 54, 53, 48, 34.82, 32.89, 34.81, 35.53, 36.31, 38.30, 54.46, 52.35, 47.47, 51.97, 59.24, 57.45,1,多摩川
 28, 22, 19, 52, 50, 25, 38.30, 39.64, 23.96, 50.48, 22.86, 37.11, 53.19, 59.46, 35.42, 64.76, 40.95, 54.64,2019-03-22, 37, 31, 54, 59, 18, 43, 35.80, 35.96, 35.53, 37.67, 36.49, 38.50, 52.67, 48.68, 52.19, 53.49, 49.29, 55.75,1,浜名湖
 14, 74, 66, 53, 29, 25, 28.68, 31.21, 36.31, 33.53, 29.94, 32.26, 44.19, 44.68, 60.71, 50.87, 44.59, 47.10,2019-03-22, 48,  7, 21, 13, 22, 25, 27.54, 51.67, 40.58, 32.81, 43.75, 25.42, 43.48, 68.33, 53.62, 50.00, 59.38, 47.46,1,常　滑
 45, 56, 63, 40, 46, 36, 35.24, 30.37, 27.32, 36.99, 38.36, 30.00, 52.38, 43.93, 40.98, 51.60, 50.68, 45.45,2019-03-22, 38, 46, 57, 70, 27, 61, 31.06, 29.05, 32.05, 38.03, 35.71, 37.92, 45.53, 47.30, 48.29, 52.56, 53.78, 55.83,1,三　国
 65, 25, 40, 64, 37, 39, 35.23, 31.64, 34.57, 40.54, 36.07, 31.69, 54.92, 51.98, 51.60, 56.76, 54.10, 49.18,2019-03-22, 49, 25, 57, 22, 15, 55, 32.16, 29.00, 36.90, 28.06, 27.69, 31.05, 49.75, 39.50, 56.15, 47.45, 46.67, 50.00,1,びわこ
 82, 92, 21, 69, 23, 24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00, 50.00, 16.67,2019-03-22, 64, 72, 29, 85, 51, 87, 16.67,  0.00, 28.57,  0.00, 16.67,  0.00, 50.00,  0.00, 85.71,  0.00, 16.67,  0.00,1,住之江
 39, 35, 72, 42, 17, 32, 26.78, 45.27, 22.02, 35.90, 39.81, 27.67, 46.99, 62.19, 32.74, 46.67, 64.56, 45.91,2019-03-22, 44, 34,  7, 52, 35, 29, 27.80, 42.59, 48.36, 39.25, 29.90, 38.60, 46.34, 61.11, 61.50, 56.54, 46.57, 57.67,1,尼　崎
 41,  4, 59, 18, 21, 13, 24.82, 26.95, 25.58, 27.86, 44.29, 38.51, 37.96, 42.55, 42.64, 47.14, 58.57, 51.35,2019-03-22, 40,  4,  1, 15, 16,  3, 32.86, 48.00, 30.88, 54.93, 36.99, 33.85, 54.29, 64.00, 52.94, 63.38, 49.32, 47.69,1,丸　亀
