boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 29, 32, 67, 70, 46, 45, 40.00, 21.95, 23.53, 31.71, 45.24, 20.59, 54.29, 43.90, 38.24, 48.78, 66.67, 41.18,2019-01-25, 68, 51, 54, 69, 60, 17, 38.89, 52.94, 17.65, 36.84, 26.32, 57.89, 55.56, 70.59, 41.18, 52.63, 42.11, 78.95,1,桐　生
 43, 38, 73, 24, 51, 18, 43.36, 35.96, 27.27, 38.53, 19.42, 25.66, 53.98, 57.89, 44.44, 47.71, 38.83, 44.25,2019-01-25, 24, 40, 35, 13, 34, 64, 22.39, 31.88, 31.63, 27.05, 31.75, 29.31, 38.81, 48.13, 52.04, 42.62, 49.21, 46.55,1,戸　田
 30, 60, 24, 17, 31, 19, 33.54, 34.36, 35.39, 32.94, 41.95, 34.76, 53.05, 52.76, 52.81, 48.82, 58.62, 53.05,2019-01-25, 11, 65, 38, 29, 10, 24, 32.93, 40.78, 44.57, 27.50, 28.22, 41.57, 52.10, 57.54, 62.86, 43.75, 45.40, 60.67,1,江戸川
 68, 58, 23, 55, 44, 21, 46.58, 32.39, 38.67, 37.50, 34.72, 34.92, 67.12, 46.48, 49.33, 47.22, 51.39, 44.44,2019-01-25, 46, 59, 36, 38, 16, 33, 35.80, 39.64, 32.57, 35.76, 41.08, 42.55, 52.27, 56.21, 44.00, 48.48, 61.08, 60.11,1,浜名湖
 36, 73, 23, 41, 50, 21, 42.86, 27.35, 42.42, 43.51, 35.94, 32.37, 63.16, 37.61, 56.82, 62.60, 46.88, 51.80,2019-01-25, 10, 58, 47, 11, 61,  5, 21.21, 34.38, 38.24, 28.13, 48.28, 25.00, 45.45, 75.00, 50.00, 40.63, 62.07, 32.14,1,常　滑
 66, 13, 24, 40, 38, 39, 22.46, 35.33, 30.93, 37.64, 42.25, 36.00, 40.11, 51.09, 50.52, 52.81, 62.03, 53.14,2019-01-25, 19, 57, 28, 14, 40, 38, 37.93, 31.77, 47.12, 33.16, 31.79, 34.38, 52.30, 47.92, 60.21, 52.85, 44.10, 50.00,1,三　国
 51, 44, 71, 59, 11, 53, 27.27, 43.51, 31.41, 33.33, 26.21, 43.06, 46.85, 59.74, 44.23, 54.61, 41.38, 60.42,2019-01-25, 30, 23, 65, 34, 62, 66, 31.58, 24.64, 42.41, 39.49, 34.25, 26.97, 49.12, 44.93, 61.39, 61.15, 46.58, 40.79,1,びわこ
 54, 32, 71, 10, 28, 31, 37.06, 31.55, 35.54, 23.75, 30.77, 34.55, 52.35, 48.81, 51.20, 41.88, 42.01, 48.48,2019-01-25, 63, 58, 77, 79, 69, 35, 25.66, 38.07, 26.53, 37.20, 30.67, 33.33, 46.05, 52.84, 42.86, 51.83, 49.69, 52.12,1,鳴　門
 61,  6, 44, 57, 27, 10, 37.07, 25.69, 40.19, 35.90, 36.36, 38.89, 54.31, 42.20, 51.40, 53.85, 51.82, 56.48,2019-01-25, 51, 19, 20, 47, 52, 43, 38.46, 13.89, 32.50, 56.10, 41.46, 43.59, 56.41, 25.00, 42.50, 78.05, 63.41, 64.10,1,丸　亀
 52, 69, 56, 36, 31, 42, 22.22, 47.95, 37.21, 31.33, 32.05, 19.70, 39.51, 60.27, 55.81, 48.19, 55.13, 39.39,2019-01-25, 27, 13, 42, 30, 19, 35, 49.40, 35.63, 25.40, 26.39, 36.25, 22.39, 63.86, 59.77, 47.62, 55.56, 56.25, 32.84,1,宮　島
 58, 42, 37, 31, 41, 34, 53.57, 16.67, 39.29, 18.75, 22.22, 47.62, 78.57, 38.89, 64.29, 31.25, 33.33, 66.67,2019-01-25, 39, 66, 53, 57, 23, 29, 32.57, 41.52, 43.10, 40.97, 36.63, 30.49, 45.71, 60.82, 61.49, 55.56, 53.49, 43.90,1,徳　山
 47, 58, 65, 28, 33, 18, 34.30, 31.13, 36.71, 34.60, 35.89, 39.81, 47.34, 46.70, 55.07, 51.18, 54.07, 57.77,2019-01-25, 17, 32, 42, 31, 55, 36, 30.92, 34.21, 25.59, 30.88, 32.56, 33.33, 44.44, 50.53, 36.02, 45.59, 52.09, 54.23,1,下　関
 49, 37, 69, 22, 45, 38, 26.47, 33.64, 27.88, 31.53, 46.55, 45.38, 44.12, 48.60, 39.42, 48.65, 65.52, 60.50,2019-01-25, 17, 71, 40, 50, 58, 13, 33.51, 35.83, 32.64, 40.61, 36.61, 42.79, 51.31, 58.29, 53.89, 59.39, 50.82, 55.29,1,大　村
 64, 15, 53, 55, 71, 59,  5.13, 20.45, 26.19, 31.82, 56.52, 45.00, 17.95, 36.36, 42.86, 52.27, 69.57, 55.00,2019-01-25, 57, 70, 71, 45, 32, 75, 50.00, 38.89, 36.84, 57.14, 18.75, 21.05, 57.14, 66.67, 52.63, 64.29, 25.00, 36.84,2,桐　生
 71, 40, 11, 32, 50, 31, 33.90, 35.09, 29.63, 30.17, 36.52, 38.60, 50.85, 50.00, 42.59, 53.45, 46.96, 55.26,2019-01-25, 62, 60, 58, 51, 57, 37, 31.45, 32.20, 36.92, 28.26, 19.70, 42.52, 50.81, 50.00, 56.92, 44.93, 42.42, 61.42,2,戸　田
 10, 36, 15, 37, 45, 35, 31.68, 32.39, 32.32, 30.86, 34.84, 36.81, 48.45, 50.00, 48.78, 48.15, 52.26, 52.15,2019-01-25, 12, 27, 41, 18, 64, 67, 26.80, 39.88, 40.35, 53.04, 48.28, 31.58, 47.71, 57.74, 54.39, 67.40, 63.22, 44.74,2,江戸川
 57, 70, 33, 13, 29, 15, 44.59, 35.14, 37.14, 38.67, 38.36, 33.78, 62.16, 41.89, 67.14, 56.00, 54.79, 56.76,2019-01-25, 39,  9, 24, 56,  5, 44, 36.09, 25.60, 35.40, 32.73, 30.81, 36.87, 53.25, 43.45, 52.17, 48.48, 43.24, 58.10,2,浜名湖
 46, 17, 12, 40, 42, 32, 20.00, 40.50, 31.71, 32.77, 36.36, 28.46, 42.86, 51.24, 51.22, 50.42, 46.28, 47.97,2019-01-25,  8, 18, 12, 48, 29, 44, 28.13, 18.75,  7.41, 17.65, 24.14, 25.00, 43.75, 31.25, 14.81, 38.24, 44.83, 45.83,2,常　滑
 48, 37, 29, 22, 32, 61, 35.64, 39.78, 33.33, 43.24, 32.26, 51.08, 54.26, 58.60, 54.30, 58.92, 50.54, 66.13,2019-01-25, 60, 52, 37, 51, 16, 30, 28.42, 44.67, 38.28, 43.15, 39.36, 43.98, 49.47, 63.45, 53.11, 60.41, 55.85, 61.26,2,三　国
