date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
2019-11-05,大　村,1,6.76,6.92,6.81,6.78,6.84,6.81,.02,.03,.02,.33,.16,0.07,1,2,3,4,5,6.0,0,1,0,0,0,0,0,0,0,0,0,0,山　本　　浩　輔,田　中　　健太郎,菅　沼　　佳　昭,別　府　　正　幸,大　串　　重　幸,小　川　　晃　司,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,21.0,1,晴,51.0,57.2,50.5,54.6,52.1,50.0,1
2019-11-05,戸　田,2,6.70,6.67,6.70,6.71,6.61,6.76,.06,.05,.01,.04,.01,0.05,1,2,3,4,5,6.0,0,1,0,0,1,1,0,0,0,0,0,0,白　石　　佳　江,竹　井　　奈　美,濱　崎　　寿里矢,西　　　　茂登子,野　田　　祥　子,山　下　　夏　鈴,16.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,1,晴,45.5,47.0,48.3,49.2,47.0,43.5,2
2019-11-05,江戸川,2,6.64,6.66,6.67,6.80,6.73,6.78,.31,.15,.25,.22,.14,0.24,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　島　　昂　章,浦　田　　信　義,服　部　　達　哉,植　田　　太　一,重　木　　輝　彦,三　上　　泰　教,17.0,0.5,0.0,0.5,-0.5,0.5,0.5,18.0,5,晴,51.0,51.0,55.3,58.9,49.5,51.8,3
2019-11-05,多摩川,2,6.68,6.72,6.75,6.72,6.85,6.84,.16,.17,.03,.18,.07,0.01,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,栗　原　　直　也,小野寺　　智　洋,矢　橋　　成　介,川　上　　　　剛,遠　藤　　晃　司,伊　藤　　喜　智,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.5,2,晴,51.2,51.3,59.6,54.7,52.8,51.2,3
2019-11-05,常　滑,2,6.72,6.66,6.77,6.70,6.74,6.8,.35,.01,.05,.06,.06,0.05,1,2,3,4,5,6.0,0,1,0,1,1,0,0,0,0,0,0,0,一　色　　雅　昭,渡　辺　　千　草,渡　　　　修　平,伊　達　　正　利,来　田　　衣　織,吉　村　　茂　樹,16.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,18.0,1,晴,54.0,47.6,51.0,54.7,48.6,60.2,2
2019-11-05,　津　,2,6.71,6.67,6.66,6.65,6.70,6.65,.06,.03,.04,.06,.14,0.03,1,2,3,4,5,6.0,1,1,0,0,0,0,0,0,0,0,0,0,土　性　　雅　也,大　西　　隆　洋,國　弘　　翔　平,品　田　　直　樹,冨　好　　祐　真,黒　田　　誠　司,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,16.0,2,晴,51.0,56.4,49.5,50.5,53.7,51.9,3
2019-11-05,三　国,2,6.68,6.70,6.76,6.75,6.66,6.66,.03,.07,.04,.12,.13,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,加　藤　　政　彦,松　本　　勝　也,吉　田　　　　稔,宮　迫　　暢　彦,佐々木　　大　河,酒　井　　俊　弘,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,14.0,1,晴,51.0,50.5,52.3,51.7,50.5,51.0,1
2019-11-05,丸　亀,2,6.68,6.79,6.73,6.75,6.66,6.74,.04,.12,.01,.01,.05,0.08,1,2,3,4,5,6.0,1,1,1,0,0,0,0,0,0,0,0,0,福　来　　　　剛,土　屋　　智　則,川　原　　正　明,近　江　　翔　吾,船　岡　　洋一郎,湯　川　　浩　司,18.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,晴,51.0,51.4,50.5,51.8,52.7,51.0,1
2019-11-05,徳　山,2,6.86,6.91,6.92,6.94,6.96,6.87,.02,.06,.06,.02,.08,0.14,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,鎌　倉　　　　涼,片　岡　　恵　里,西　村　　美智子,寺　田　　千　恵,鈴　木　　成　美,喜多須　　杏　奈,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,晴,44.5,49.2,49.7,45.5,45.0,46.5,1
2019-11-05,若　松,2,6.83,6.91,6.93,6.95,6.91,6.89,.11,.04,.09,.09,.08,0.01,1,2,3,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,0,渡　邊　　裕　貴,上　野　　　　励,別　府　　昌　樹,汐　崎　　正　則,岩　谷　　　　真,眞　鳥　　章　太,18.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,2,晴,51.4,54.1,51.4,55.0,51.0,51.7,2
