date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-02-04,戸　田,1,6.92,7.02,7.05,6.99,6.95,6.95,.17,.11,.14,.35,.35,0.36,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,高　柳　　成　聡,村　岡　　　　賢,外　崎　　　　悟,落　合　　敬　一,近　藤　　雄一郎,畑　　　　竜　生,-0.5,0.0,-0.5,-0.5,0.0,-0.5,51.0,54.6,51.0,55.1,54.7,51.0
2019-02-04,江戸川,1,6.56,6.68,6.68,6.70,6.74,6.62,.17,.47,.49,.21,.09,0.06,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,齋　藤　　竜　次,今　村　　賢二郎,井　本　　昌　也,三　上　　泰　教,宮　本　　裕　之,山ノ内　　雅　人,0.0,0.0,-0.5,0.0,0.5,0.0,51.3,57.0,50.5,51.4,51.0,54.9
2019-02-04,平和島,1,6.81,6.74,6.85,6.84,6.77,6.89,.05,.13,.23,.13,.08,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,平　岡　　重　典,入　澤　　友　治,古　川　　　　健,石　原　　　　翼,國　分　　将太郎,伊久間　　陽　優,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,50.5,51.0,50.0,50.5,52.9
2019-02-04,多摩川,1,6.82,6.86,6.94,6.94,6.99,6.95,.06,.04,.06,.09,.13,0.08,1,2,3,4,5,6.0,1,0,1,0,0,0,,0.0,,0.0,0.0,0.0,馬　場　　　　剛,横　田　　貴　満,三　浦　　裕　貴,井　上　　一　輝,馬　野　　　　耀,吉　武　　真　也,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,51.0,53.0,50.0,55.1,51.5
2019-02-04,蒲　郡,1,6.79,6.75,6.72,6.72,6.73,6.73,.02,.12,.02,.15,.01,0.04,1,2,3,4,5,6.0,1,0,0,0,1,1,,0.0,0.0,0.0,,,高　塚　　清　一,小　林　　　　晋,金　森　　史　吉,菊　地　　敬　介,橋　本　　英　一,田　嶋　　　　塁,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.0,52.8,52.9,59.3,52.6,51.7
2019-02-04,常　滑,1,6.76,6.83,6.79,6.82,6.69,6.76,.16,.20,.13,.29,.12,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,北　野　　輝　季,石　田　　政　吾,森　野　　正　弘,重　成　　一　人,岩　瀬　　裕　亮,宮之原　　輝　紀,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,51.3,51.8,52.4,54.0,52.7,51.0
2019-02-04,三　国,1,6.79,6.74,6.73,6.94,6.90,6.77,.05,.01,.01,.24,.17,0.04,1,2,3,4,5,6.0,0,0,1,0,0,1,0.0,0.0,,0.0,0.0,,野長瀬　　正　孝,中　山　　将　太,峰　重　　侑　治,坂　口　　明　義,杉　村　　賢　也,鈴　木　　貴　司,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,53.5,51.9,50.5,52.1,56.5
2019-02-04,びわこ,1,7.00,6.88,6.98,6.91,6.92,6.82,.05,.17,.11,.16,.18,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,島　田　　賢　人,立　具　　敬　司,鈴　木　　茂　高,山　本　　修　次,泥　谷　　一　毅,山　崎　　昂　介,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.7,51.0,56.5,54.7,55.9,52.6
2019-02-04,住之江,1,6.89,6.92,6.98,6.92,6.91,6.98,.09,.22,.00,.06,.10,0.15,1,2,3,4,5,6.0,1,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,佐　藤　　享　子,久保田　　美　紀,平　高　　奈　菜,薮　内　　瑞　希,安　井　　瑞　紀,中　北　　　　涼,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.2,48.6,46.5,45.0,51.4,47.9
2019-02-04,鳴　門,1,6.99,7.10,7.01,7.01,7.11,7.0,.11,.08,.15,.02,.16,0.24,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,富　樫　　麗　加,深　川　　麻奈美,八十岡　　恵　美,真　子　　奈津実,池　田　　紫　乃,西　　　　茂登子,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.4,49.6,47.0,46.0,45.0,47.3
