,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
11,2019-11-26,多摩川,2,6.81,6.75,6.72,6.62,6.68,6.64,0.04,0.03,0.04,0.01,0.08,0.06,1,2,3,4,5,6.0,1,1,1,1,1,0,0,0,0,0,0,0,鈴　木　　茂　高,永　嶋　　裕　一,川　合　　理　司,吉　村　　茂　樹,山　口　　高　志,別　府　　昌　樹,7.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.5,2,雨,58.2,55.4,60.3,63.0,51.0,51.6,2
12,2019-11-26,蒲　郡,2,6.69,6.62,6.71,6.73,6.75,6.68,0.06,0.21,0.19,0.02,0.04,0.05,1,2,3,5,6,4.0,0,0,0,0,1,0,0,0,0,0,0,0,天　野　　友　和,宮　西　　真　昭,下　河　　雅　史,大　江　　　　純,若女井　　　　正,行　谷　　吉　範,12.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,15.0,0,雨,53.2,51.7,55.0,54.7,51.1,53.5,1
13,2019-11-26,　津　,2,6.59,6.68,6.61,6.61,6.6,6.6,0.17,0.07,0.06,0.08,0.12,0.03,1,2,3,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,乃　村　　康　友,淺　香　　文　武,水　原　　　　慎,福　島　　勇　樹,大　田　　直　弥,水　長　　照　雄,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,52.4,54.6,51.0,51.0,51.6,51.0,2
14,2019-11-26,三　国,2,6.82,6.87,6.86,6.88,6.85,6.84,0.05,0.09,0.02,0.13,0.03,0.06,1,2,3,4,5,6.0,1,1,1,0,0,0,0,0,0,0,0,0,出　畑　　孝　典,横　川　　聖　志,岩　谷　　　　真,彦　坂　　真太郎,南　野　　利　騰,三　品　　隆　浩,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,11.0,3,晴,51.3,53.5,51.0,53.2,52.8,53.2,5
15,2019-11-26,住之江,2,6.77,6.78,6.83,6.92,6.85,6.85,0.05,0.09,0.09,0.14,0.08,0.1,1,2,3,4,5,6.0,1,1,1,0,0,0,0,0,0,0,0,0,中　岡　　健　人,中　北　　将　史,大古場　　　　貴,高　橋　　英　之,新　田　　智　彰,東　本　　千　佳,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,曇り,55.4,51.5,51.0,51.7,53.9,49.8,2
16,2019-11-26,尼　崎,2,6.7,6.7,6.74,6.71,6.79,6.73,0.12,0.05,0.07,0.11,0.02,0.12,1,2,3,4,5,6.0,0,1,1,1,1,1,0,0,0,0,0,0,酒　井　　俊　弘,鈴　木　　　　博,間　嶋　　仁　志,谷　村　　啓　司,古　田　　祐　貴,村　田　　　　敦,14.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,0,曇り,51.0,51.8,51.6,51.0,51.1,56.6,0
17,2019-11-26,丸　亀,2,6.84,6.68,6.82,6.85,6.74,6.8,0.03,0.04,0.18,0.03,0.05,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,米　田　　隆　弘,小　澤　　　　学,和　田　　敏　彦,永　井　　亮　次,田　路　　朋　史,崎　　　　利　仁,15.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,17.0,2,曇り,52.7,51.5,50.0,53.0,51.0,52.1,2
18,2019-11-26,児　島,2,6.7,6.75,6.76,6.71,6.69,6.69,0.35,0.14,0.13,0.02,0.03,0.01,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,勝　浦　　真　帆,加　木　　　　郁,今　村　　賢二郎,井　川　　真　人,遠　藤　　晃　司,黒　明　　花　夢,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,1,晴,46.0,51.1,58.7,55.0,53.0,49.6,2
19,2019-11-26,下　関,2,6.72,6.69,6.71,6.73,6.66,6.77,0.07,0.17,0.12,0.01,0.03,0.03,1,6,2,3,4,5.0,0,0,0,0,0,1,0,0,0,0,0,0,中　村　　　　格,百　武　　　　翔,雑　賀　　勇　貴,橋　口　　真　樹,橋　本　　　　明,篠　原　　俊　夫,15.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,17.0,3,晴,57.6,51.0,53.2,50.5,52.6,52.0,3
20,2019-11-26,芦　屋,2,6.71,6.72,6.72,6.68,6.67,6.6,0.12,0.41,0.22,0.06,0.03,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　村　　裕　将,今　泉　　和　則,池　上　　裕　次,服　部　　幸　男,寺　本　　武　司,田　上　　晋　六,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,3.0,15.0,5,晴,52.0,51.4,51.0,54.4,52.3,51.0,5
21,2019-11-26,唐　津,2,6.79,6.73,6.82,6.8,6.79,6.79,0.03,0.01,0.13,0.02,0.11,0.09,1,2,3,4,5,6.0,1,0,0,0,0,0,0,0,0,0,0,0,池　田　　雄　一,杉　山　　裕　也,竹　田　　広　樹,入　船　　幸　子,松　山　　　　靖,冨名腰　　桃　奈,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,13.0,3,晴,53.0,53.3,52.6,44.0,56.3,45.5,3
