date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-01-12,戸　田,1,6.75,6.67,6.75,6.75,6.78,6.82,.02,.21,.16,.07,.07,0.13,1,2,3,4,5,6.0,1,0,0,1,1,0,,0.0,0.0,,,0.0,小　澤　　和　也,長　野　　道　臣,今　井　　裕　梨,高　野　　心　吾,宮　迫　　暢　彦,田　中　　　　堅,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,55.5,53.4,45.0,50.5,51.3,51.3
2019-01-12,江戸川,1,6.70,6.77,6.80,7.01,6.84,6.75,.28,.01,.01,.15,.06,0.01,1,2,3,4,5,6.0,0,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,石　田　　貴　洋,佐　藤　　謙史朗,貫地谷　　直　人,田　中　　浩　之,近　藤　　雄一郎,船　越　　健　吾,0.5,0.0,0.0,0.0,0.0,0.0,51.4,54.1,53.5,51.3,54.4,51.2
2019-01-12,平和島,1,6.69,6.67,6.68,6.67,6.65,6.72,.16,.27,.10,.01,.07,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,渋　谷　　正　義,武　藤　　直　志,一　色　　雅　昭,桑　原　　将　光,南　部　　圭　史,福　田　　翔　吾,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,51.2,54.6,53.5,51.5,51.0,51.7
2019-01-12,多摩川,1,6.74,6.72,6.72,6.72,6.69,6.67,.01,.09,.04,.11,.04,0.01,1,2,3,4,5,6.0,1,0,0,0,1,1,,0.0,0.0,0.0,,,大　山　　千　広,川　野　　芽　唯,細　川　　裕　子,富　樫　　麗　加,今　井　　美　亜,長　嶋　　万　記,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,46.5,47.0,47.0,50.5,46.5,48.5
2019-01-12,浜名湖,1,6.66,6.71,6.73,6.79,6.78,6.74,.05,.01,.03,.01,.01,0.01,1,2,3,4,5,6.0,0,0,1,0,1,0,0.0,0.0,,0.0,,0.0,加　藤　　　　翔,大　塚　　康　雅,杉　村　　賢　也,岸　本　　雄　貴,下　出　　秀　明,廣　瀬　　篤　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.0,50.0,51.9,59.6,59.1,57.4
2019-01-12,蒲　郡,1,6.76,6.85,6.77,6.82,6.79,6.73,.04,.24,.23,.07,.05,0.06,4,1,2,3,5,6.0,0,0,0,1,1,0,0.0,0.0,0.0,,,0.0,清　水　　さくら,田　中　　宏　樹,松　下　　哲　也,鵜　飼　　菜穂子,浜　本　　裕　己,木　場　　雄二郎,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,47.9,51.8,51.0,46.0,50.5,55.4
2019-01-12,常　滑,1,6.83,6.74,6.79,6.90,6.86,6.86,.17,.17,.19,.32,.25,0.23,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,村　上　　橋　蔵,熊　本　　英　一,椎　原　　　　健,東　口　　　　晃,増　田　　弘　喜,藤　原　　孝　斗,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,57.6,56.3,51.7,51.9,52.2,52.8
2019-01-12,　津　,1,6.68,6.70,6.76,6.70,6.72,6.63,.15,.22,.46,.08,.05,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,正　木　　聖　賢,塚　原　　武　之,谷　川　　将　太,山　田　　和　佐,花　本　　　　剛,水　長　　照　雄,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.3,55.8,51.8,52.6,54.4,51.0
2019-01-12,三　国,1,6.60,6.74,6.71,6.76,6.68,6.65,.03,.18,.13,.18,.06,0.09,1,2,3,6,5,4.0,1,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,山　地　　正　樹,小　林　　基　樹,笠　置　　博　之,小　寺　　拳　人,森　作　　雄　大,齊　藤　　　　優,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.4,53.2,51.4,55.0,51.0,51.4
2019-01-12,びわこ,1,6.74,6.73,6.71,6.82,6.76,6.73,.15,.15,.19,.15,.18,0.31,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,柘　植　　政　浩,柾　田　　敏　行,潮　田　　浩　子,吉　川　　勇　作,杉　山　　勝　匡,池　田　　真　治,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,52.6,47.0,53.9,50.5,53.7
