date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
2019-10-22,桐　生,1,6.73,6.73,6.85,6.74,6.84,6.76,.26,.27,.19,.09,.13,0.09,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,島　倉　　　　都,中　田　　夕　貴,入　船　　幸　子,高　田　　ひかる,金　子　　千　穂,高　田　　　　綾,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,22.0,0,曇り,46.5,46.5,44.0,47.2,45.0,45.5,0
2019-10-22,江戸川,1,6.71,6.73,6.79,6.83,6.82,6.87,.05,.14,.01,.03,.31,0.29,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,高　木　　圭　右,栗　原　　直　也,八　木　　治　樹,行　谷　　吉　範,松　本　　純　平,大　塚　　雅　治,17.0,0.0,0.5,0.5,0.5,0.5,0.0,19.0,10,曇り,54.7,51.2,53.7,53.0,57.1,51.0,4
2019-10-22,常　滑,1,6.72,6.72,6.67,6.79,6.74,6.75,.02,.05,.09,.17,.14,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,小　川　　時　光,寺　嶋　　　　雄,水　野　　暁　広,篠　原　　俊　夫,山　口　　　　亮,笠　置　　博　之,24.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,3,晴,52.9,50.5,55.3,52.8,51.1,56.9,4
2019-10-22,びわこ,1,6.62,6.69,6.70,6.74,6.72,6.71,.09,.15,.25,.18,.08,0.19,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,島　田　　一　生,菅　沼　　佳　昭,加　倉　　侑　征,田　川　　大　貴,峰　重　　力　也,上　田　　紗　奈,21.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,19.0,3,曇り,52.8,50.0,51.0,52.4,52.6,46.0,2
2019-10-22,住之江,1,6.97,6.98,6.97,6.98,6.96,7.01,.07,.15,.01,.33,.34,0.36,1,2,3,4,6,5.0,0,0,1,0,0,0,0,0,0,0,0,0,和　田　　拓　也,佐　藤　　博　亮,加　藤　　翔　馬,櫻　井　　　　優,佐々木　　大　河,鈴　木　　諒　祐,20.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,曇り,51.0,52.1,54.1,51.7,51.0,51.7,2
2019-10-22,尼　崎,1,6.71,6.70,6.74,6.60,6.64,6.75,.22,.13,.03,.19,.11,0.22,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,秋　元　　　　誠,中　北　　将　史,安　田　　政　彦,平　池　　仁　志,松　下　　直　也,中　村　　栄　治,23.9,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,20.2,0,晴,52.2,52.8,52.1,52.7,51.0,52.7,3
2019-10-22,児　島,1,6.71,6.73,6.83,6.79,6.82,6.74,.07,.02,.05,.01,.08,0.09,1,2,3,4,5,6.0,0,1,0,0,0,0,0,0,0,0,0,0,寺　田　　千　恵,西　村　　拓　也,原　田　　幸　哉,三　角　　哲　男,山　口　　　　剛,小　野　　生　奈,23.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,22.0,5,晴,45.0,51.1,51.1,51.0,51.0,46.0,5
2019-10-22,宮　島,1,6.80,6.82,6.86,6.79,6.80,6.86,.14,.24,.18,.13,.12,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,松　尾　　　　祭,渥　美　　卓　郎,田　中　　伸　二,寺　本　　昇　平,酒　見　　峻　介,大古場　　　　貴,25.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,21.0,3,晴,51.3,52.8,52.4,49.0,50.5,51.0,3
2019-10-22,徳　山,1,6.95,6.96,6.97,6.94,7.00,6.95,.03,.01,.13,.19,.12,0.03,1,2,3,4,5,6.0,0,1,0,0,0,0,0,0,0,0,0,0,竹　田　　辰　也,今　出　　晋　二,近　藤　　友　宝,柳　瀬　　興　志,齊　藤　　大　将,日　笠　　勝　弘,24.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,23.0,4,晴,52.3,56.5,54.7,57.6,55.1,51.1,4
2019-10-22,若　松,1,6.90,6.95,6.89,6.91,6.91,6.87,.07,.01,.13,.03,.01,0.12,1,2,3,4,5,6.0,0,0,1,1,1,0,0,0,0,0,0,0,柴　田　　友　和,原　村　　拓　也,宮　地　　博　士,溝　口　　海義也,高　橋　　竜　矢,中　尾　　智　博,20.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,22.0,2,晴,50.5,52.3,53.1,52.9,52.9,51.0,2
2019-10-22,大　村,1,6.89,6.82,6.74,6.90,6.82,6.87,.08,.07,.11,.17,.15,0.06,1,2,3,4,6,5.0,0,0,0,1,1,1,0,0,0,0,0,0,山　口　　哲　治,松　尾　　光　広,高　木　　圭　大,山　口　　貢　輝,粟　田　　　　祥,吉　川　　勇　作,21.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,24.0,0,晴,49.5,54.0,51.0,53.5,56.7,52.3,0
2019-10-22,桐　生,2,6.75,6.74,6.74,6.79,6.80,6.8,.12,.07,.11,.01,.00,0.06,1,2,3,4,5,6.0,0,0,0,1,0,1,0,0,0,0,0,0,長　田　　光　子,稲　生　　夏　季,蜂　須　　瑞　生,間　庭　　菜　摘,今　井　　裕　梨,西　岡　　成　美,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,22.0,0,曇り,50.0,51.1,46.5,49.8,45.0,45.5,0
2019-10-22,江戸川,2,6.80,6.88,6.86,6.91,6.87,7.0,.28,.09,.02,.23,.42,0.24,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,後　藤　　盛　也,貫地谷　　直　人,小　川　　知　行,中　嶋　　達　也,久　永　　祥　平,梶　山　　涼　斗,15.0,0.5,0.0,1.0,0.0,1.5,1.0,20.0,15,雨,51.4,56.5,53.2,51.4,51.0,51.1,8
2019-10-22,常　滑,2,6.71,6.73,6.84,6.74,6.75,6.7,.00,.01,.02,.16,.16,0.11,1,2,4,5,3,6.0,0,1,1,0,0,0,0,0,0,0,0,0,宇田川　　信　一,畑　　　　竜　生,和　合　　俊　介,高　倉　　孝　太,乙　津　　康　志,菅　野　　はやか,20.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,晴,51.2,51.1,58.1,51.0,51.0,50.3,2
