date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
2019-11-09,桐　生,1,6.66,6.71,6.75,6.72,6.76,6.77,.11,.07,.21,.02,.14,0.4,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,本　橋　　克　洋,谷　口　　　　勝,中　村　　聡　志,松　下　　一　也,貫地谷　　直　人,栗　原　　一　馬,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,1,晴,53.3,53.3,53.6,52.6,54.9,55.6,2
2019-11-09,平和島,1,6.69,6.74,6.86,6.72,6.75,6.78,.10,.33,.24,.03,.03,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,後　藤　　盛　也,鈴　木　　孝　明,横　井　　光　弘,永　嶋　　裕　一,彦　坂　　径　冶,上　原　　　　崚,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,3,晴,51.7,54.2,53.9,54.5,54.6,51.2,2
2019-11-09,常　滑,1,6.73,6.78,6.75,6.72,6.74,6.69,.17,.16,.14,.06,.07,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,吉　田　　隆　義,妻　鳥　　晋　也,松　本　　博　昭,関　口　　智　久,柴　田　　朋　哉,山　本　　稔太朗,19.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,0,晴,55.2,54.7,51.0,53.7,52.5,52.3,1
2019-11-09,　津　,1,6.72,6.76,6.72,6.76,6.76,6.75,.19,.05,.01,.17,.14,0.14,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,野長瀬　　正　孝,新　田　　智　彰,黒　田　　誠　司,品　田　　直　樹,大　西　　隆　洋,廣　瀬　　篤　哉,19.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,16.0,2,晴,51.0,53.0,51.2,50.5,56.3,55.3,3
2019-11-09,びわこ,1,6.58,6.74,6.63,6.72,6.72,6.69,.07,.12,.16,.03,.11,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　村　　泰　平,江　頭　　賢　太,横　田　　貴　満,加　藤　　裕　太,百　武　　　　翔,木　村　　　　颯,16.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,16.0,2,晴,51.2,52.4,51.3,52.6,51.0,52.3,0
2019-11-09,鳴　門,1,6.66,6.73,6.80,6.78,6.78,6.74,.10,.15,.04,.05,.05,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,伊　藤　　誠　二,橋谷田　　佳　織,池　田　　明　美,山　本　　良　一,沼　田　　克　彦,浜　崎　　準　也,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,2,晴,53.0,43.5,53.9,53.8,51.5,50.5,2
2019-11-09,宮　島,1,6.69,6.78,6.73,6.73,6.77,6.72,.18,.15,.07,.01,.06,0.02,1,2,3,4,5,6.0,0,0,0,0,1,1,0,0,0,0,0,0,広　次　　　　修,原　田　　正　己,森　田　　昭　彦,細　川　　明　人,羽　野　　　　諒,半　田　　尚　也,20.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,19.0,1,晴,51.0,51.0,55.4,54.0,52.8,53.1,2
2019-11-09,徳　山,1,6.94,6.99,7.01,6.93,6.99,7.0,.06,.12,.03,.24,.05,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,金　田　　幸　子,道　上　　千　夏,茶　谷　　　　桜,入　船　　幸　子,垣　内　　清　美,中　村　　かなえ,21.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,20.0,1,晴,44.5,49.8,47.0,44.0,48.9,47.0,1
2019-11-09,若　松,1,6.86,6.81,6.89,6.88,6.86,6.94,.08,.01,.11,.02,.15,0.01,1,2,3,5,4,6.0,0,0,1,1,0,0,0,0,0,0,0,0,楠　原　　翔　太,渡　邊　　裕　貴,深　澤　　　　勉,眞　鳥　　章　太,金　森　　史　吉,上　野　　　　励,17.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,1,晴,52.0,51.0,56.1,51.8,53.9,54.4,1
2019-11-09,福　岡,1,6.83,6.86,6.91,6.87,6.81,6.83,.01,.00,.04,.01,.07,0.16,1,2,3,4,5,6.0,1,0,1,0,0,0,0,0,0,0,0,0,永　井　　彪　也,遠　藤　　エ　ミ,大　上　　卓　人,吉　村　　正　明,今　垣　　光太郎,秦　　　　英　悟,18.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,2,晴,51.0,45.0,51.0,50.0,51.0,51.0,1
