,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-02-19,桐　生,1,6.84,6.84,6.76,6.84,6.82,6.73,0.08,0.06,0.04,0.03,0.07,0.12,1,2,3,4,5,6.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,石　岡　　将　太,尾　崎　　鉄　也,深　澤　　達　徳,杉　田　　篤　光,齋　藤　　達　希,太　田　　克　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.3,54.9,52.7,52.4,51.4,51.1
1,2019-02-19,平和島,1,6.72,6.76,6.77,6.75,6.7,6.71,0.02,0.03,0.09,0.09,0.13,0.06,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,高　橋　　英　之,柴　田　　　　光,久　田　　敏　之,土　屋　　千　明,秋　山　　直　之,後　藤　　翔　之,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.3,51.2,51.0,45.5,50.5,51.0
2,2019-02-19,浜名湖,1,6.64,6.68,6.7,6.75,6.64,6.66,0.07,0.23,0.13,0.28,0.19,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,西　山　　昇　一,磯　部　　　　誠,坂　元　　浩　仁,平　田　　健之佑,松　下　　一　也,佐々木　　康　幸,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.8,54.2,50.5,51.0,53.3
3,2019-02-19,常　滑,1,6.73,6.72,6.81,6.85,6.76,6.8,0.09,0.03,0.02,0.14,0.06,0.05,1,2,3,4,5,6.0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,佐　藤　　享　子,安　達　　美　帆,加　藤　　啓　太,牟　田　　奨　太,小　野　　信　樹,深　澤　　　　勉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,49.2,47.5,51.8,53.9,55.6,52.3
4,2019-02-19,尼　崎,1,6.94,6.86,6.84,6.81,6.97,6.91,0.14,0.09,0.11,0.01,0.02,0.02,1,2,3,4,5,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,大　崎　　　　翔,萩　原　　善　行,松　尾　　宣　邦,金　子　　和　之,松　田　　英　数,谷　口　　知　優,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.1,49.5,53.7,51.0,55.8,52.1
5,2019-02-19,鳴　門,1,6.77,6.86,6.78,6.86,6.87,6.92,0.09,0.13,0.12,0.27,0.05,0.33,1,2,3,4,5,6.0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,宮　地　　元　輝,樫　葉　　次　郎,堂　原　　洋　史,藤　田　　竜　弘,沖　　　　　　悟,西　原　　明　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.6,56.9,51.3,58.0,51.5,55.1
6,2019-02-19,徳　山,1,6.93,6.97,7.06,7.05,7.09,7.0,0.01,0.06,0.07,0.13,0.14,0.09,1,2,3,4,5,6.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,亀　山　　雅　幸,飯　田　　庄　吾,小　西　　英　輝,豊　田　　訓　靖,川　上　　清　人,小　川　　日紀太,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,54.1,54.8,51.5,61.5,51.8
7,2019-02-19,下　関,1,6.8,6.82,6.81,6.81,6.86,6.79,0.01,0.07,0.04,0.12,0.11,0.16,1,2,5,6,3,4.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,森　永　　　　隆,吉　村　　正　明,立　間　　充　宏,長　尾　　章　平,市　川　　哲　也,山　地　　正　樹,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,50.0,55.0,52.3,51.0,54.3
8,2019-02-19,大　村,1,7.04,6.97,7.01,6.91,6.82,6.82,0.18,0.16,0.25,0.17,0.14,0.35,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,田　川　　大　貴,深　山　　祐　二,川　島　　拓　郎,窪　田　　好　弘,町　田　　洸　希,眞　鳥　　康　太,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,52.9,51.4,51.4,53.4,53.4,52.9
9,2019-02-19,桐　生,2,6.73,6.78,6.69,6.77,6.84,6.79,0.15,0.08,0.04,0.12,0.13,0.01,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,佐　口　　達　也,田　中　　太一郎,佐　藤　　大　佑,吉　田　　宗　弘,西　尾　　亮　輔,栗　原　　謙　治,-0.5,-0.5,0.0,0.0,-0.5,-0.5,52.4,52.3,51.6,49.0,51.0,56.0
