,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-09-17,桐　生,1,6.78,6.88,6.79,6.72,6.79,6.89,0.04,0.07,0.04,0.03,0.1,0.11,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　本　　玲　緒,木　場　　雄二郎,福　田　　慶　尚,野　添　　貴　裕,田　嶋　　　　塁,大　西　　　　賢,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,57.2,55.9,52.1,53.2,51.9,51.0
1,2019-09-17,多摩川,1,6.77,6.77,6.8,6.8,6.86,6.86,0.03,0.03,0.19,0.05,0.01,0.06,1,2,3,4,5,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,宮　下　　元　胤,吉　村　　茂　樹,大　塚　　浩　二,守　田　　俊　介,伴　　　　将　典,佐　竹　　太　一,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.4,61.5,51.0,51.0,55.8,51.0
2,2019-09-17,浜名湖,1,6.8,6.77,6.75,6.77,6.81,6.81,0.12,0.11,0.27,0.06,0.05,0.03,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,藤　田　　竜　弘,中　林　　秀　人,浜　本　　裕　己,加　藤　　雅　之,前　田　　光　昭,金　子　　建　二,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,56.3,59.0,50.0,51.0,51.9,57.2
3,2019-09-17,常　滑,1,6.79,6.78,6.79,6.79,6.78,6.75,0.16,0.04,0.13,0.08,0.06,0.09,1,2,3,5,6,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,田　村　　美　和,阪　本　　聖　秀,塚　田　　修　二,西　岡　　成　美,廣　瀬　　篤　哉,上　田　　健　太,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.0,51.0,56.3,45.5,56.3,51.0
4,2019-09-17,住之江,1,6.9,6.86,6.89,6.86,6.9,6.93,0.05,0.17,0.05,0.06,0.04,0.01,1,2,3,4,5,6.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,水　野　　暁　広,森　　　　悠　稀,土　屋　　千　明,加　藤　　　　綾,木　村　　恒　一,市　川　　美　宏,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.1,51.0,46.5,49.0,57.2,50.5
5,2019-09-17,尼　崎,1,6.77,6.8,6.77,6.77,6.79,6.73,0.11,0.02,0.02,0.08,0.19,0.05,1,2,3,4,5,6.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,二　宮　　博　貴,高　山　　哲　也,萬　　　　正　嗣,和　合　　俊　介,藤　原　　真　也,金　田　　智　博,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.1,52.8,52.3,57.0,51.2,53.2
6,2019-09-17,鳴　門,1,6.83,6.86,6.83,6.82,6.88,6.91,0.13,0.24,0.13,0.12,0.1,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,土　屋　　智　則,橋　本　　英　一,竹　田　　吉　行,鈴　木　　貴　司,松　下　　　　潤,木　場　　悠　介,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.5,54.4,51.0,57.1,52.6,51.6
7,2019-09-17,児　島,1,6.67,6.75,6.81,6.88,6.87,6.87,0.08,0.1,0.01,0.03,0.02,0.11,1,2,3,4,5,6.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,坪　口　　竜　也,川　上　　清　人,本　橋　　克　洋,松　下　　直　也,田野邊　　秀　樹,井　手　　良　太,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,51.3,60.0,52.7,51.0,53.5,50.5
8,2019-09-17,宮　島,1,6.91,6.91,6.89,6.88,6.82,6.89,0.13,0.05,0.03,0.04,0.03,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,藤　本　　佳　史,金　森　　史　吉,信　濃　　由　行,冨　田　　秀　幸,宇　土　　泰　就,尾　崎　　鉄　也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.4,52.6,52.8,51.0,52.0,55.1
9,2019-09-17,下　関,1,6.95,6.97,6.98,6.97,6.89,7.01,0.02,0.03,0.03,0.08,0.05,0.08,1,2,3,4,5,6.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,濱　崎　　直　矢,田　中　　浩　之,梶　原　　　　正,齋　藤　　達　希,重　冨　　勇　哉,西　原　　明　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.8,51.0,55.0,52.2,53.8,54.5
