,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
0,2019-12-02,多摩川,1,6.78,6.76,6.68,6.78,6.7,6.75,0.16,0.18,0.28,0.16,0.2,0.26,1,2,3,4,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,川　上　　聡　介,田　中　　定　雄,浅　見　　宗　孝,金　子　　貴　志,山　下　　夏　鈴,香　川　　友　尚,10.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,13.5,2,曇り,55.3,52.4,56.4,50.5,43.5,52.0,1
1,2019-12-02,浜名湖,1,6.64,6.65,6.63,6.66,6.64,6.69,0.1,0.19,0.08,0.15,0.08,0.29,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,黒　田　　誠　司,若　林　　義　人,松　本　　真　吾,塚　本　　太二郎,新　良　　一　規,近　藤　　友　宝,16.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,16.0,2,雨,52.2,55.9,50.5,52.3,51.0,54.8,3
2,2019-12-02,　津　,1,6.7,6.72,6.77,6.75,6.68,6.8,0.1,0.09,0.18,0.23,0.21,0.23,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　村　　　　尊,松　下　　哲　也,品　川　　賢　次,大　塚　　雅　治,田　代　　達　也,神　田　　達　也,15.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,11.0,1,曇り,52.7,49.5,52.3,52.0,51.4,51.1,2
3,2019-12-02,尼　崎,1,6.86,6.8,6.82,6.97,6.8,6.82,0.06,0.06,0.01,0.1,0.0,0.17,1,2,3,4,5,6.0,0,1,0,0,0,0,0,0,0,0,0,0,大　山　　大　我,岡　本　　翔太郎,西　野　　翔　太,梶　山　　涼　斗,渡　邉　　　　健,松　山　　裕　基,15.8,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,12.2,0,晴,51.0,51.0,51.8,51.2,55.0,53.7,0
4,2019-12-02,鳴　門,1,6.83,6.86,6.91,6.92,6.93,6.96,0.01,0.09,0.03,0.05,0.01,0.13,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,古　場　　輝　義,小　黒　　竜　吾,山　口　　修　路,長　野　　道　臣,曾　根　　孝　仁,木　村　　　　颯,15.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,16.0,10,晴,51.9,56.4,51.0,52.7,51.0,52.8,10
5,2019-12-02,丸　亀,1,6.82,6.93,6.89,6.82,6.95,6.78,0.02,0.05,0.08,0.11,0.06,0.18,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,小　羽　　正　作,三　好　　　　一,半　田　　尚　也,笠　野　　友紀恵,松　浦　　博　人,深　川　　和　仁,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,16.0,6,晴,50.5,53.7,53.6,48.9,54.0,54.1,6
6,2019-12-02,宮　島,1,6.76,6.77,6.75,6.78,6.73,6.76,0.18,0.26,0.07,0.23,0.16,0.33,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,吉　村　　　　誠,西　舘　　　　健,幸　本　　　　誠,前　田　　健太郎,深　山　　祐　二,豊　田　　光　紀,13.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,15.0,3,晴,50.5,54.8,48.5,52.5,51.0,54.7,3
7,2019-12-02,下　関,1,6.74,6.77,6.77,6.75,6.77,6.69,0.05,0.03,0.09,0.31,0.18,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　村　　晃　朋,齋　藤　　真　之,小　西　　英　輝,杉　山　　正　樹,松　尾　　光　広,白　井　　弘　文,11.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,3,曇り,52.6,52.5,54.1,53.1,55.0,52.7,3
8,2019-12-02,若　松,1,6.81,6.9,6.85,6.84,6.85,6.86,0.01,0.14,0.16,0.05,0.06,0.01,1,3,6,2,4,5.0,1,1,1,1,1,1,0,0,0,0,0,0,岩　永　　節　也,門　間　　雄　大,清　水　　紀　克,吉　田　　祐　貴,荒　牧　　凪　沙,藤　原　　真　也,11.0,0.0,0.0,-0.5,0.0,0.0,0.0,13.0,7,雨,51.3,52.2,54.9,51.0,50.5,51.0,7
9,2019-12-02,唐　津,1,6.73,6.83,6.77,6.77,6.79,6.79,0.1,0.19,0.17,0.21,0.23,0.28,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,野長瀬　　正　孝,花　本　　夏　樹,渡　辺　　史　之,松　田　　英　数,落　合　　敬　一,西　川　　真　人,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,13.0,5,曇り,51.1,53.7,51.0,52.7,54.4,55.5,5
