,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-04-21,桐　生,1,6.86,6.75,6.82,6.85,6.87,6.73,0.22,0.03,0.01,0.06,0.04,0.01,1,2,3,4,6,5.0,0,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,萩　原　　知　哉,吉　武　　真　也,藤　原　　真　也,本　橋　　克　洋,田　嶋　　　　塁,庄　司　　孝　輔,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,52.3,51.5,51.1,53.4,51.8,53.4
1,2019-04-21,戸　田,1,6.78,6.66,6.79,6.68,6.7,6.79,0.18,0.23,0.27,0.11,0.11,0.09,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,小　菅　　文　隆,井　上　　尚　悟,杉　江　　浩　明,金　山　　立　樹,田　邉　　亮　蔵,鈴　木　　孝　明,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,60.5,51.4,50.5,52.7,55.0,54.7
2,2019-04-21,平和島,1,6.87,6.83,6.88,6.99,6.98,6.95,0.31,0.22,0.1,0.19,0.2,0.13,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,福　島　　陽　子,栢　場　　優　子,土　屋　　実沙希,前　田　　紗　希,濱　崎　　寿里矢,小　野　　真　歩,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,48.7,44.0,45.5,49.6,54.2,57.6
3,2019-04-21,浜名湖,1,6.68,6.67,6.67,6.69,6.58,6.66,0.07,0.07,0.06,0.15,0.23,0.08,1,2,3,5,4,6.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,外　崎　　　　悟,野　末　　智　一,宇田川　　信　一,久保原　　秀　人,田　路　　朋　史,萩　原　　善　行,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,50.5,51.5,55.7,51.9,49.5
4,2019-04-21,蒲　郡,1,6.7,6.64,6.7,6.74,6.7,6.69,0.02,0.02,0.03,0.04,0.01,0.06,1,2,3,4,6,5.0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,矢　橋　　成　介,原　田　　智　和,大　串　　重　幸,山　口　　　　亮,河　野　　主　樹,溝　口　　海義也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,59.8,51.0,53.2,51.0,51.5,52.9
5,2019-04-21,常　滑,1,6.76,6.73,6.75,6.78,6.73,6.76,0.11,0.11,0.11,0.27,0.18,0.16,1,2,3,5,4,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,今　井　　美　亜,金　田　　幸　子,大　瀧　　明日香,定　野　　久　恵,中　田　　夕　貴,水　野　　望　美,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,46.5,44.5,46.0,48.6,47.1,46.0
6,2019-04-21,　津　,1,6.71,6.82,6.87,6.75,6.79,6.81,0.28,0.06,0.15,0.1,0.16,0.1,1,2,3,4,5,6.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,永　井　　　　源,庄　司　　樹良々,三　宅　　爾　士,吉　田　　慎二郎,橋　本　　英　一,宇留田　　翔　平,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.3,55.1,57.1,56.6,54.3,53.8
7,2019-04-21,三　国,1,6.71,6.74,6.68,6.66,6.74,6.69,0.04,0.02,0.07,0.15,0.04,0.02,1,2,3,4,5,6.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　子　　龍　介,門　間　　雄　大,村　上　　奈　穂,高　山　　哲　也,前　田　　昭　広,八　木　　治　樹,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.8,52.8,48.2,53.8,57.5,53.1
8,2019-04-21,びわこ,1,6.81,6.78,6.8,6.79,6.79,6.85,0.11,0.11,0.22,0.06,0.02,0.06,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,平　池　　仁　志,内　野　　省　一,多羅尾　　達　之,柴　田　　直　哉,今　出　　晋　二,中　村　　守　成,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,53.1,53.6,51.3,51.0,56.0,52.2
9,2019-04-21,尼　崎,1,6.65,6.67,6.7,6.6,6.65,6.64,0.29,0.22,0.11,0.39,0.12,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,伏　田　　裕　隆,豊　田　　泰　洋,平　石　　和　男,金　光　　佑　治,山　田　　亮　太,澤　田　　尚　也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,55.5,50.0,51.0,51.0,51.3
10,2019-04-21,丸　亀,1,6.82,6.92,6.98,6.9,7.0,6.84,0.02,0.09,0.18,0.03,0.02,0.11,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,川　原　　祐　明,杉　本　　洋　一,齋　藤　　智　裕,若女井　　　　正,山　口　　広　樹,坂　本　　雅　佳,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.0,51.9,57.6,51.0,54.7,57.7
11,2019-04-21,宮　島,1,6.72,6.71,6.74,6.79,6.76,6.77,0.0,0.08,0.04,0.1,0.12,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,西　山　　昇　一,日　高　　逸　子,白　水　　勝　也,武　田　　光　史,渡　邊　　伸太郎,吉　田　　一　郎,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,51.1,47.0,51.0,54.3,51.0,51.0
12,2019-04-21,徳　山,1,7.01,7.05,7.08,7.09,7.06,6.97,0.13,0.17,0.21,0.26,0.15,0.09,1,2,3,4,5,6.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,柴　田　　　　光,村　田　　友　也,尾　崎　　鉄　也,熊　本　　英　一,森　　　　智　也,上　村　　慎太郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.4,61.3,56.8,56.8,50.5,51.0
13,2019-04-21,大　村,1,6.78,6.8,6.82,6.87,6.84,6.88,0.23,0.05,0.13,0.1,0.27,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,増　田　　弘　喜,沢　田　　昭　宏,西　原　　明　生,古　賀　　智　之,増　田　　　　進,榎　　　　幸　司,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,53.0,52.6,53.6,51.9,51.7,51.3
14,2019-04-21,桐　生,2,6.74,6.8,6.82,6.79,6.73,6.76,0.01,0.05,0.08,0.09,0.12,0.01,1,2,3,4,5,6.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,寺　本　　昇　平,片　岡　　秀　樹,井　上　　恵　一,山　本　　寛　久,船　越　　健　吾,石　原　　　　翼,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,49.5,56.2,52.8,51.5,52.7,50.0
15,2019-04-21,戸　田,2,6.77,6.7,6.71,6.7,6.72,6.78,0.05,0.44,0.11,0.01,0.04,0.01,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,亀　山　　高　雅,佐　川　　正　道,吉　永　　浩　則,山　本　　英　志,伊久間　　陽　優,小　森　　信　雄,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,52.5,51.0,54.6,50.0,52.4,51.3
16,2019-04-21,平和島,2,6.87,6.9,6.88,6.86,6.89,6.94,0.06,0.95,0.24,0.09,0.09,0.13,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,豊　田　　　　結,間　庭　　菜　摘,野田部　　宏　子,藤　原　　菜　希,大　橋　　由　珠,稲　生　　夏　季,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.4,49.6,50.9,47.0,50.4,50.7
17,2019-04-21,浜名湖,2,6.73,6.66,6.67,6.68,6.69,6.69,0.12,0.11,0.08,0.13,0.13,0.11,1,2,3,5,6,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,樫　葉　　次　郎,長　岡　　茂　一,山　口　　裕　二,金　田　　智　博,佐々木　　和　伸,大　塚　　浩　二,-0.5,-0.5,0.0,0.0,-0.5,-0.5,56.9,51.6,51.4,55.2,54.3,51.2
18,2019-04-21,蒲　郡,2,6.68,6.71,6.72,6.72,6.77,6.7,0.1,0.15,0.09,0.07,0.1,0.16,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　森　　史　吉,本　岡　　勝　利,新　出　　浩　司,乃　村　　康　友,牟　田　　奨　太,倉　田　　茂　将,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.5,56.5,51.8,53.3,54.9,57.5
19,2019-04-21,常　滑,2,6.7,6.73,6.76,6.81,6.73,6.76,0.14,0.05,0.1,0.03,0.01,0.03,1,2,3,4,5,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,一　色　　雅　昭,豊　田　　訓　靖,齊　藤　　　　仁,伊　達　　正　利,山　来　　和　人,秋　山　　広　一,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.0,51.9,50.0,54.4,53.5,51.0
20,2019-04-21,　津　,2,6.77,6.83,6.83,6.78,6.8,6.84,0.02,0.18,0.04,0.05,0.15,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,松　山　　　　靖,飯　島　　　　誠,向　　　　達　哉,多　田　　有　佑,浅　野　　由　将,黒　田　　誠　司,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.2,52.0,52.8,53.4,53.2,52.3
21,2019-04-21,三　国,2,6.7,6.62,6.7,6.74,6.68,6.75,0.01,0.02,0.06,0.05,0.29,0.04,1,2,3,5,4,6.0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,中　田　　達　也,吉　田　　隆　義,小　澤　　和　也,二　宮　　博　貴,中　村　　泰　平,金　子　　千　穂,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.5,52.8,56.3,51.4,51.4,46.5
22,2019-04-21,びわこ,2,6.77,6.79,6.8,6.8,6.83,6.89,0.12,0.2,0.22,0.01,0.15,0.13,1,5,2,3,6,4.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,片　山　　雅　雄,妻　鳥　　晋　也,浦　上　　拓　也,齋　藤　　達　希,村　上　　　　純,大　内　　裕　樹,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,49.5,55.0,51.7,52.3,52.5,54.2
23,2019-04-21,尼　崎,2,6.59,6.59,6.58,6.66,6.69,6.69,0.14,0.18,0.19,0.01,0.05,0.01,1,2,3,4,5,6.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,酒　井　　俊　弘,岸　蔭　　　　亮,岡　部　　貴　司,小　澤　　　　学,片　岡　　雅　裕,芹　澤　　克　彦,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.7,50.0,52.6,52.2,51.5,51.1
24,2019-04-21,丸　亀,2,6.77,6.82,6.85,6.88,6.88,6.79,0.06,0.17,0.24,0.11,0.04,0.1,1,2,3,4,6,5.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　子　　順　一,神　田　　達　也,関　　　　　　道,吉　村　　茂　樹,川　合　　理　司,堤　　　　健　一,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,52.2,51.7,54.6,61.3,59.9,51.0
25,2019-04-21,宮　島,2,6.73,6.64,6.66,6.78,6.7,6.69,0.03,0.02,0.24,0.05,0.02,0.04,1,3,4,2,5,6.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,西　島　　義　則,服　部　　幸　男,角　谷　　健　吾,石　川　　真　二,佐々木　　康　幸,一　瀬　　　　明,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,52.9,53.5,49.5,52.1,52.8,51.0
26,2019-04-21,徳　山,2,7.05,7.03,6.97,7.1,7.11,7.0,0.01,0.01,0.08,0.02,0.11,0.02,1,2,3,4,5,6.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,杉　山　　貴　博,吉　永　　則　雄,西　川　　昌　希,古　澤　　光　紀,江　本　　真　治,小　池　　公　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.8,51.0,52.7,53.1,53.5,50.5
27,2019-04-21,大　村,2,6.9,6.86,6.97,6.97,6.87,6.91,0.09,0.03,0.08,0.05,0.08,0.11,1,2,3,6,4,5.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　子　　良　昭,深　澤　　達　徳,赤　峰　　和　也,平　岡　　重　典,夏　山　　亮　平,赤　坂　　俊　輔,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.1,52.5,52.7,50.5,56.5,50.5
28,2019-04-21,桐　生,3,6.82,6.83,6.8,6.79,6.81,6.75,0.04,0.01,0.19,0.17,0.05,0.05,1,6,2,3,4,5.0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,宮　地　　孝四朗,金　児　　隆　太,林　　　　恵　祐,佐　口　　達　也,天　野　　友　和,菅　　　　章　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.4,51.0,58.6,53.2,53.5,51.1
29,2019-04-21,戸　田,3,6.75,6.75,6.77,6.82,6.85,6.81,0.02,0.03,0.18,0.11,0.01,0.06,1,2,3,4,5,6.0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,後　藤　　隼　之,中　村　　裕　将,中　里　　昌　志,山　崎　　聖　司,山　本　　光　雄,長　尾　　京志郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.5,51.1,51.0,50.0,52.6,52.0
30,2019-04-21,平和島,3,6.85,6.87,6.94,6.9,6.92,6.84,0.38,0.04,0.17,0.09,0.19,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,魚　谷　　香　織,堀之内　　紀代子,黒　澤　　めぐみ,入　船　　幸　子,白　石　　有　美,廣　中　　智紗衣,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,44.0,46.5,50.4,44.5,55.6,46.0
31,2019-04-21,浜名湖,3,6.65,6.68,6.63,6.68,6.68,6.66,0.17,0.23,0.19,0.27,0.19,0.19,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,谷　　　　勝　幸,中　岡　　正　彦,田　上　　晋　六,亀　本　　勇　樹,梶　野　　学　志,西　山　　祐　希,-0.5,0.0,-0.5,-0.5,0.0,0.0,54.3,51.3,51.0,57.5,51.0,51.0
32,2019-04-21,蒲　郡,3,6.64,6.69,6.6,6.61,6.7,6.59,0.26,0.17,0.14,0.27,0.17,0.16,1,2,3,5,6,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,小　黒　　竜　吾,竹　田　　和　哉,菅　沼　　佳　昭,数　原　　　　魁,岡　田　　憲　行,西　野　　翔　太,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.7,53.6,50.0,51.4,52.6,51.8
33,2019-04-21,常　滑,3,6.73,6.67,6.8,6.73,6.76,6.76,0.02,0.06,0.27,0.07,0.04,0.04,1,2,3,4,5,6.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,山　室　　展　弘,山　口　　修　路,相　原　　利　章,前　田　　聖　文,桐　本　　康　臣,竹　下　　大　樹,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,51.0,51.1,54.9,53.0,51.3
34,2019-04-21,　津　,3,6.8,6.71,6.69,6.67,6.8,6.76,0.03,0.02,0.09,0.05,0.03,0.04,1,2,3,4,5,6.0,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　田　　宗　弘,松　井　　洪　弥,川　島　　圭　司,宮　迫　　暢　彦,中　里　　英　夫,松　本　　純　平,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,49.5,52.5,51.0,51.0,51.0,53.0
35,2019-04-21,三　国,3,6.72,6.77,6.67,6.68,6.72,6.63,0.19,0.08,0.01,0.02,0.14,0.22,1,6,2,3,4,5.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,立　間　　充　宏,梅　木　　敬　太,森　　　　晋太郎,柴　田　　友　和,山　崎　　小葉音,田　中　　定　雄,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.4,51.7,53.4,51.0,45.0,52.5
36,2019-04-21,びわこ,3,6.7,6.85,6.88,6.85,6.78,6.9,0.03,0.06,0.05,0.05,0.07,0.01,1,2,3,4,5,6.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,野　間　　大　樹,浅　見　　宗　孝,岡　部　　　　哲,池　永　　　　太,國　弘　　翔　平,北　中　　元　樹,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,51.0,58.6,51.9,51.4,50.0,56.9
