,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-03-06,桐　生,1,6.77,6.73,6.74,6.71,6.68,6.85,0.16,0.31,0.27,0.17,0.08,0.13,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,中　島　　浩　哉,石　井　　孝　之,浅　野　　由　将,長　田　　頼　宗,大　貫　　英　治,金　子　　順　一,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.8,53.4,54.2,51.4,52.1,51.4
1,2019-03-06,戸　田,1,6.78,6.72,6.72,6.69,6.74,6.72,0.04,0.05,0.11,0.13,0.18,0.22,1,2,3,4,5,6.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,荒　田　　泰　明,松　本　　弓　雄,表　　　　憲　一,大　串　　重　幸,高　山　　智　至,深　水　　慎一郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.8,51.6,52.9,52.4,54.0,51.8
2,2019-03-06,多摩川,1,6.82,6.73,6.8,6.75,6.76,6.78,0.05,0.17,0.13,0.19,0.02,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,大　庭　　元　明,齋　藤　　竜　次,吉　永　　浩　則,濱　村　　芳　宏,神　田　　達　也,伊久間　　陽　優,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,54.6,51.9,54.7,51.3,52.8,51.3
3,2019-03-06,三　国,1,6.77,6.83,6.81,6.76,6.72,6.71,0.12,0.14,0.06,0.05,0.02,0.07,1,2,3,4,5,6.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,杉　山　　貴　博,佐　藤　　大　騎,萩　原　　知　哉,吉　村　　茂　樹,石　原　　　　翼,富　永　　　　茂,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.9,51.0,52.1,59.3,50.0,51.0
4,2019-03-06,びわこ,1,6.86,6.75,6.71,6.66,6.72,6.76,0.04,0.19,0.1,0.11,0.04,0.01,1,2,3,5,4,6.0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,三　浦　　洋次朗,寺　島　　美　里,川　上　　清　人,澤　田　　尚　也,浦　田　　信　義,山　崎　　小葉音,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,51.4,47.0,60.5,51.0,50.5,44.5
5,2019-03-06,住之江,1,6.86,6.91,6.86,6.91,6.85,6.92,0.02,0.22,0.05,0.01,0.05,0.13,1,2,3,4,5,6.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,渡　辺　　　　豊,白　神　　　　優,齋　藤　　　　勇,大　野　　芳　顕,黄金井　　力　良,松　下　　直　也,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,53.8,52.3,52.8,53.0,55.1,51.0
6,2019-03-06,鳴　門,1,6.81,6.88,6.95,6.91,6.89,6.8,0.03,0.05,0.01,0.07,0.06,0.16,1,2,3,4,5,6.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,尾　嶋　　一　広,小　林　　　　享,浮　田　　圭　浩,松　山　　将　吾,永　田　　郁　弥,間　庭　　菜　摘,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.0,52.9,51.2,51.0,53.2,49.3
7,2019-03-06,丸　亀,1,6.79,6.76,6.84,6.82,6.83,6.86,0.24,0.29,0.19,0.15,0.11,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,松　尾　　　　充,菊　池　　宏　志,浜　崎　　準　也,橋　本　　英　一,船　越　　健　吾,牧　山　　敦　也,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,49.5,52.0,51.0,53.7,51.6,51.0
8,2019-03-06,児　島,1,6.72,6.66,6.69,6.78,6.71,6.65,0.05,0.17,0.13,0.22,0.14,0.16,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,土　屋　　　　南,岸　　　　恵　子,高　田　　ひかる,関　野　　　　文,竹　井　　奈　美,佐々木　　裕　美,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,47.4,47.2,47.3,45.0,47.0,47.0
9,2019-03-06,宮　島,1,6.65,6.71,6.77,6.71,6.74,6.73,0.01,0.1,0.04,0.06,0.17,0.16,1,2,3,4,5,6.0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,是　澤　　孝　宏,大　井　　清　貴,竹　村　　祥　司,吉　岡　　　　誠,岩　川　　仁　士,岸　本　　　　隆,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,52.0,51.4,53.6,53.1,55.4
