,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-05-13,桐　生,1,6.68,6.73,6.76,6.75,6.66,6.8,0.01,0.28,0.05,0.06,0.01,0.01,1,2,3,4,5,6.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,鈴　木　　諒　祐,市　川　　　　猛,谷　川　　将　太,鳥居塚　　孝　博,小　池　　修　平,秋　田　　健太郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.3,52.0,51.0,52.6,60.2
1,2019-05-13,戸　田,1,6.63,6.66,6.65,6.65,6.69,6.64,0.08,0.16,0.11,0.16,0.19,0.27,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,坂　野　　泰　章,後　藤　　盛　也,浦　田　　信　義,中　村　　かなえ,島　倉　　　　都,岩　橋　　裕　馬,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,52.6,51.0,47.0,48.4,51.0
2,2019-05-13,多摩川,1,6.81,6.78,6.78,6.84,6.83,6.82,0.22,0.09,0.26,0.19,0.07,0.19,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,小　林　　　　泰,齋　藤　　達　希,喜多須　　杏　奈,梶　野　　学　志,中　村　　直　喜,大　田　　直　弥,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.1,51.4,49.0,50.5,50.0,51.2
3,2019-05-13,浜名湖,1,6.56,6.64,6.7,6.69,6.63,6.66,0.19,0.19,0.26,0.36,0.22,0.32,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,後　藤　　孝　義,志　道　　吉　和,今　村　　賢二郎,鈴　木　　裕　隆,田　嶋　　　　塁,汐　崎　　正　則,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,51.6,51.0,57.7,58.7,51.5,54.4
4,2019-05-13,常　滑,1,6.72,6.74,6.73,6.67,6.75,6.74,0.03,0.11,0.01,0.05,0.04,0.15,1,2,3,4,5,6.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,岡　　　　祐　臣,佐　藤　　　　旭,鈴　谷　　一　平,福　本　　忠　治,佐　藤　　謙史朗,前　田　　　　翔,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,55.6,52.8,55.1,52.8,53.8,49.0
5,2019-05-13,　津　,1,6.77,6.74,6.79,6.79,6.82,6.79,0.02,0.01,0.06,0.07,0.02,0.09,1,5,2,3,4,6.0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,西　野　　雄　貴,村　岡　　賢　人,濱野谷　　憲　吾,新　田　　雄　史,田　中　　信一郎,中　辻　　崇　人,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.3,53.4,52.3,52.2,51.9
6,2019-05-13,三　国,1,6.77,6.77,6.79,6.69,6.74,6.85,0.18,0.13,0.19,0.15,0.07,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,滝　沢　　芳　行,平　瀬　　城　啓,野　中　　義　生,山　崎　　鉄　平,遠　藤　　晃　司,金　光　　佑　治,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,51.2,51.7,52.8,51.5,52.4,51.7
7,2019-05-13,児　島,1,6.76,6.75,6.76,6.64,6.76,6.72,0.11,0.23,0.22,0.13,0.12,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,深　見　　亜由美,島　田　　なぎさ,高　橋　　悠　花,古　川　　　　舞,篠　木　　亜衣花,稲　生　　夏　季,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,44.5,46.5,47.9,46.0,47.5,50.8
8,2019-05-13,下　関,1,6.77,6.82,6.82,6.78,6.73,6.8,0.02,0.17,0.21,0.04,0.01,0.12,1,2,3,4,5,6.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,森　永　　　　隆,吉　村　　茂　樹,中　林　　秀　人,守　屋　　大　地,水　長　　照　雄,澤　　　　大　介,-0.5,-0.5,-0.5,0.0,-0.5,0.0,50.0,61.2,58.7,51.0,51.0,50.5
9,2019-05-13,福　岡,1,6.95,6.89,6.92,6.94,6.95,6.91,0.3,0.23,0.06,0.03,0.12,0.12,1,2,3,6,5,4.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,松　田　　憲　幸,笠　　　　雅　雄,山　来　　和　人,泉　　　　啓　文,坂　本　　雅　佳,宮　地　　孝四朗,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.6,59.3,53.3,58.7,59.0,51.4
10,2019-05-13,唐　津,1,6.7,6.73,6.69,6.74,6.73,6.75,0.17,0.1,0.11,0.13,0.19,0.18,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,浅　見　　昌　克,川　添　　英　正,丸　山　　龍太郎,白　井　　弘　文,松　尾　　光　広,雑　賀　　勇　貴,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,51.3,51.0,52.9,53.2,52.2
11,2019-05-13,大　村,1,6.87,6.84,6.84,6.91,6.94,6.9,0.17,0.09,0.09,0.16,0.25,0.13,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,寺　本　　武　司,吉　田　　祐　貴,原　　　　義　昭,池　上　　隆　行,山　田　　貴　愛,小　川　　日紀太,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,51.7,51.0,54.1,51.0,54.1,51.9
12,2019-05-13,桐　生,2,6.77,6.71,6.77,6.66,6.71,6.71,0.38,0.14,0.06,0.32,0.06,0.07,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,内　田　　亜希子,松　本　　晶　恵,水　口　　由　紀,香　川　　素　子,蜂　須　　瑞　生,宇　野　　弥　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,46.5,47.0,47.0,46.5,47.0
13,2019-05-13,戸　田,2,6.66,6.66,6.63,6.62,6.6,6.64,0.16,0.11,0.08,0.15,0.15,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,田　中　　浩　之,山　崎　　善　庸,原　　　　加央理,向　後　　龍　一,来　田　　衣　織,阿　波　　勝　哉,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,51.7,51.0,46.0,51.0,47.2,54.5
14,2019-05-13,多摩川,2,6.81,6.83,6.76,6.83,6.78,6.82,0.07,0.06,0.07,0.02,0.03,0.04,1,2,3,4,5,6.0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,品　田　　直　樹,大　賀　　広　幸,岡　崎　　恭　裕,池　上　　裕　次,吉　田　　　　光,平　見　　真　彦,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,50.0,51.0,51.0,51.2,50.0,52.9
15,2019-05-13,浜名湖,2,6.56,6.58,6.54,6.62,6.62,6.62,0.07,0.15,0.05,0.01,0.08,0.05,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,宮　内　　由紀英,齊　藤　　　　優,川　原　　祐　明,坂　東　　　　満,星　野　　太　郎,水　原　　　　慎,-0.5,0.0,0.0,-0.5,-0.5,0.0,51.1,51.4,51.0,52.8,51.8,51.0
16,2019-05-13,常　滑,2,6.68,6.74,6.86,6.71,6.75,6.73,0.22,0.09,0.23,0.06,0.06,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,松　本　　　　峻,高　田　　　　明,二　宮　　博　貴,齊　藤　　大　将,井　上　　尚　悟,大　澤　　誠　也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.9,49.0,51.0,57.3,51.0,54.7
17,2019-05-13,　津　,2,6.78,6.77,6.84,6.79,6.75,6.84,0.03,0.12,0.21,0.03,0.12,0.07,1,3,2,4,6,5.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　田　　　　諭,中　島　　孝　平,西　島　　義　則,今　村　　　　豊,山　下　　和　彦,菊　地　　孝　平,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.0,52.9,51.0,49.5,53.8
18,2019-05-13,三　国,2,6.7,6.82,6.83,6.85,6.86,6.82,0.08,0.01,0.03,0.17,0.12,0.27,1,3,2,6,4,5.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,山　室　　展　弘,乙　藤　　智　史,清　水　　紀　克,秋　元　　　　誠,齋　藤　　智　裕,西　山　　祐　希,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.0,52.5,54.9,53.9,57.1,50.5
19,2019-05-13,児　島,2,6.74,6.74,6.76,6.77,6.69,6.75,0.29,0.09,0.17,0.1,0.11,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,仁　科　　さやか,樋　口　　由加里,前　田　　紗　希,渡　邉　　真奈美,喜　多　　那由夏,土　屋　　実沙希,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,46.5,45.0,48.8,46.0,47.3,45.5
20,2019-05-13,下　関,2,6.78,6.81,6.85,6.81,6.84,6.91,0.01,0.03,0.01,0.13,0.08,0.04,1,2,3,4,5,6.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,加　藤　　雅　之,小　林　　孝　弘,内　田　　　　圭,塩　田　　雄　一,寺　島　　吉　彦,笠　井　　広　幸,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,51.0,51.0,55.6,49.5,49.5,57.6
21,2019-05-13,福　岡,2,6.86,6.9,6.95,6.86,6.87,6.98,0.28,0.03,0.01,0.01,0.05,0.01,1,2,3,4,5,6.0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,中　島　　浩　哉,小　池　　公　生,宇佐見　　　　淳,阪　本　　聖　秀,土　屋　　智　則,大　串　　重　幸,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,54.7,49.5,52.9,51.0,51.8,52.9
22,2019-05-13,唐　津,2,6.66,6.72,6.78,6.72,6.76,6.75,0.15,0.13,0.11,0.06,0.01,0.09,1,2,3,4,6,5.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,湯　川　　浩　司,高　濱　　芳　久,杉　本　　洋　一,安河内　　　　健,前　原　　大　道,國　弘　　翔　平,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.7,52.0,53.5,54.0,49.5
23,2019-05-13,大　村,2,6.89,6.93,6.86,6.75,6.83,6.94,0.08,0.03,0.37,0.15,0.17,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,高　岡　　竜　也,宮　嵜　　隆太郎,浦　田　　晃　嗣,山　口　　俊　英,橋　本　　　　明,荒　牧　　凪　沙,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.3,59.5,55.2,51.0,52.9,51.9
24,2019-05-13,桐　生,3,6.71,6.69,6.61,6.7,6.7,6.7,0.01,0.03,0.12,0.16,0.16,0.12,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,村　田　　　　敦,東　　　　潤　樹,中　田　　竜　太,杉　江　　浩　明,藤　井　　　　理,太　田　　克　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,57.2,52.0,50.5,50.5,58.9,50.0
25,2019-05-13,戸　田,3,6.48,6.6,6.69,6.68,6.59,6.66,0.01,0.08,0.07,0.04,0.04,0.12,1,2,3,4,5,6.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,加　藤　　政　彦,山　田　　亮　太,柳　田　　英　明,松　本　　勝　也,内　野　　省　一,鈴　木　　　　博,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.0,51.3,50.5,53.8,52.4
26,2019-05-13,多摩川,3,6.83,6.8,6.78,6.83,6.95,6.77,0.01,0.09,0.03,0.04,0.06,0.24,1,2,3,4,5,6.0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,後　藤　　隼　之,板　橋　　侑　我,服　部　　達　哉,桐　生　　順　平,藤　山　　雅　弘,生　田　　波美音,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.5,51.1,53.6,51.0,51.9,46.5
27,2019-05-13,浜名湖,3,6.59,6.69,6.58,6.61,6.67,6.7,0.07,0.04,0.31,0.03,0.04,0.05,1,3,2,4,6,5.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,加　藤　　　　翔,中　谷　　有　希,丸　尾　　義　孝,宮　地　　秀　祈,小　林　　　　晋,田　中　　伸　二,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.2,56.9,51.2,51.0,54.8,51.0
28,2019-05-13,常　滑,3,6.7,6.79,6.76,6.75,6.59,6.77,0.22,0.18,0.1,0.1,0.13,0.02,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,関　根　　彰　人,山　田　　晃　大,中　村　　辰　也,飯　山　　晃　三,加　瀬　　智　宏,蒲　原　　健　太,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.0,51.2,51.0,58.1,52.4,51.0
29,2019-05-13,　津　,3,6.83,6.79,6.82,6.81,6.74,6.8,0.24,0.01,0.09,0.03,0.02,0.02,1,2,3,4,5,6.0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,角　谷　　健　吾,井　口　　佳　典,吉　永　　則　雄,仲　谷　　颯　仁,秦　　　　英　悟,松　田　　祐　季,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.1,51.0,50.5,51.0,51.0
30,2019-05-13,三　国,3,6.81,6.86,6.75,6.74,6.87,6.87,0.07,0.15,0.19,0.11,0.18,0.14,1,3,2,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,森　安　　弘　雅,佐　藤　　大　騎,赤　岩　　善　生,中　山　　将　太,角　山　　雄　哉,塚　原　　武　之,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.0,52.8,52.7,53.3,55.7
31,2019-05-13,児　島,3,6.72,6.67,6.69,6.75,6.79,6.77,0.39,0.17,0.24,0.11,0.04,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,大　橋　　由　珠,高　石　　梨　菜,若　狭　　奈美子,土　屋　　　　南,戸　敷　　晃　美,塩　崎　　桐　加,-0.5,-0.5,0.0,0.0,-0.5,-0.5,50.6,50.3,47.0,47.2,47.0,48.9
32,2019-05-13,下　関,3,6.83,6.86,6.85,6.89,6.87,6.89,0.06,0.01,0.08,0.06,0.02,0.16,1,2,3,4,5,6.0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,榮　田　　将　彦,金　子　　賢　志,川　尻　　泰　輔,多羅尾　　達　之,鈴　木　　貴　司,三　好　　　　一,-0.5,-0.5,0.0,0.0,-0.5,-0.5,50.0,50.5,55.0,51.4,55.9,54.0
33,2019-05-13,福　岡,3,6.96,6.94,6.97,6.91,6.92,6.92,0.13,0.05,0.1,0.22,0.19,0.18,1,2,3,4,6,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,佐々木　　　　巌,岩　崎　　正　哉,桂　林　　　　寛,中　嶋　　達　也,吉　川　　勇　作,山　崎　　昭　生,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.1,53.2,51.6,51.3,51.6,51.0
34,2019-05-13,唐　津,3,6.71,6.73,6.7,6.71,6.7,6.73,0.02,0.17,0.22,0.01,0.04,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,杉　山　　貴　博,一　色　　雅　昭,松　田　　竜　馬,門　間　　雄　大,塚　田　　修　二,井　町　　　　泰,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.8,53.0,51.0,52.1,55.8,48.5
35,2019-05-13,大　村,3,6.87,6.85,6.7,6.72,6.83,6.77,0.05,0.06,0.13,0.21,0.31,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,宗　行　　治　哉,藤　井　　　　徹,山　口　　隆　史,富　永　　大　一,貫地谷　　直　人,福　田　　慶　尚,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,50.0,51.0,51.0,51.2,54.1,51.3
