,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-10-11,桐　生,1,6.8,6.73,6.82,6.79,6.87,6.78,0.06,0.07,0.12,0.11,0.05,0.09,1,2,3,4,5,6.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,高　柳　　成　聡,寺　島　　美　里,別　府　　正　幸,西　野　　雄　貴,金　子　　猛　志,中　澤　　宏　奈,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,51.6,46.5,54.7,51.0,55.6,47.2
1,2019-10-11,江戸川,1,6.82,6.87,6.9,6.9,6.8,6.89,0.12,0.06,0.14,0.16,0.18,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　川　　勇　作,笠　井　　広　幸,松　尾　　基　成,大　塚　　雅　治,田　中　　太一郎,小　倉　　康　典,0.5,0.5,0.0,0.5,0.0,0.0,52.9,59.0,55.0,51.2,52.6,51.8
2,2019-10-11,平和島,1,6.76,6.79,6.69,6.77,6.82,6.8,0.01,0.01,0.03,0.01,0.31,0.06,1,2,3,4,5,6.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,上　村　　純　一,石　丸　　海　渡,田　中　　信一郎,服　部　　幸　男,金　子　　拓　矢,河　村　　　　了,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.1,54.0,52.0,53.7,51.3,51.0
3,2019-10-11,多摩川,1,6.72,6.82,6.75,6.83,6.73,6.76,0.15,0.2,0.11,0.13,0.01,0.06,1,2,3,4,5,6.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,藤　丸　　光　一,池　田　　真　治,河　上　　年　昭,梶　野　　学　志,渡　邉　　昌　成,藤　堂　　里　香,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,49.5,53.2,56.1,51.6,51.0,44.0
4,2019-10-11,蒲　郡,1,6.9,6.86,6.92,6.91,6.87,6.84,0.02,0.03,0.02,0.17,0.05,0.18,1,2,3,4,5,6.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,貫地谷　　直　人,杉　江　　浩　明,津久井　　拓　也,山　本　　修　次,富　永　　修　一,佐　藤　　　　航,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.0,50.0,53.3,55.2,51.8,50.5
5,2019-10-11,三　国,1,6.77,6.78,6.83,6.75,6.78,6.74,0.09,0.04,0.11,0.11,0.02,0.03,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,岡　村　　　　仁,吉　田　　健太郎,高　倉　　孝　太,松　下　　直　也,角　浜　　　　修,倉　尾　　大　介,0.0,-0.5,-0.5,0.0,-0.5,-0.5,52.8,51.9,50.0,51.0,51.0,53.9
6,2019-10-11,尼　崎,1,6.72,6.88,6.79,6.75,6.86,6.78,0.01,0.02,0.04,0.05,0.03,0.12,1,2,3,4,5,6.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,織　田　　　　猛,松　竹　　大　輔,三　宅　　　　潤,金　子　　　　萌,鈴　谷　　一　平,山　川　　波　乙,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,50.5,52.6,51.0,54.7,45.5
7,2019-10-11,鳴　門,1,6.78,6.85,6.87,6.84,6.75,6.79,0.02,0.05,0.08,0.02,0.06,0.18,1,2,3,4,6,5.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,木　村　　光　宏,江　頭　　賢　太,岡　本　　　　大,吉　武　　真　也,西　岡　　成　美,服　部　　　　剛,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.2,52.5,54.5,51.4,45.5,51.9
8,2019-10-11,丸　亀,1,6.86,6.92,6.81,6.8,6.82,6.78,0.12,0.04,0.23,0.16,0.27,0.05,2,5,1,3,4,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,島　田　　賢　人,谷　口　　健　一,小　西　　英　輝,谷　村　　啓　司,西　田　　　　靖,白　井　　弘　文,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.0,52.5,53.5,50.5,51.7,51.2
9,2019-10-11,児　島,1,6.71,6.62,6.72,6.68,6.78,6.78,0.12,0.49,0.19,0.1,0.08,0.19,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,長谷川　　雅　和,田　邉　　亮　蔵,百　武　　　　翔,上　田　　健　太,門　間　　雄　大,前　原　　大　道,0.0,-0.5,-0.5,-0.5,0.0,0.0,51.0,54.0,51.0,51.0,52.3,51.0
