,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-03-18,桐　生,1,6.71,6.71,6.78,6.68,6.71,6.77,0.03,0.12,0.01,0.21,0.19,0.42,1,2,3,4,5,6.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,加　藤　　知　弘,竹　本　　太　樹,前　田　　義　哲,和　田　　兼　輔,水　野　　暁　広,大　塚　　雅　治,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,56.6,52.7,52.4,51.0,55.0,51.8
1,2019-03-18,戸　田,1,6.68,6.61,6.65,6.74,6.71,6.7,0.02,0.02,0.08,0.09,0.1,0.12,1,2,3,4,5,6.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,中　島　　孝　平,中　田　　竜　太,池　永　　　　太,渡　邉　　英　児,赤　岩　　善　生,星　　　　栄　爾,-0.5,-0.5,0.0,-0.5,-0.5,0.0,50.5,49.5,50.5,51.0,51.9,51.0
2,2019-03-18,常　滑,1,6.64,6.74,6.77,6.74,6.8,6.63,0.24,0.12,0.16,0.25,0.11,0.13,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,伏　見　　　　卓,船　越　　健　吾,門　間　　雄　大,澤　田　　尚　也,櫻　井　　　　優,福　田　　翔　吾,0.0,-0.5,-0.5,-0.5,0.0,-0.5,54.3,51.1,52.7,51.9,52.3,52.0
3,2019-03-18,尼　崎,1,6.65,6.61,6.6,6.72,6.71,6.73,0.11,0.06,0.18,0.28,0.11,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,古　場　　輝　義,森　　　　秋　光,池　田　　雄　一,関　根　　彰　人,齊　藤　　大　将,藤　原　　孝　斗,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.4,54.6,53.1,51.5,56.5,55.4
4,2019-03-18,鳴　門,1,6.74,6.7,6.78,6.77,6.81,6.85,0.13,0.13,0.01,0.02,0.01,0.28,1,2,3,4,5,6.0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,北　川　　太　一,西　舘　　　　健,樫　葉　　次　郎,水　摩　　　　敦,後　藤　　孝　義,冨　田　　　　祥,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,51.0,54.4,56.1,51.2,51.7,57.7
5,2019-03-18,児　島,1,6.68,6.77,6.76,6.76,6.74,6.78,0.18,0.06,0.01,0.05,0.04,0.09,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,高　橋　　正　男,黄金井　　力　良,岸　本　　　　隆,吉　村　　茂　樹,吉　田　　　　稔,大　山　　大　我,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.3,55.5,55.4,59.4,51.4,50.5
6,2019-03-18,徳　山,1,6.89,6.95,6.95,7.02,6.91,6.91,0.1,0.09,0.05,0.02,0.01,0.02,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,烏　野　　賢　太,坂　口　　貴　彦,長谷川　　　　巌,片　岡　　秀　樹,宮　本　　夏　樹,井　上　　忠　政,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,53.9,50.5,55.6,51.8,52.2
7,2019-03-18,下　関,1,6.71,6.84,6.76,6.77,6.77,6.75,0.07,0.11,0.25,0.08,0.04,0.01,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,森　野　　正　弘,村　田　　浩　司,瀬　川　　公　則,榮　田　　将　彦,金　子　　順　一,佐々木　　完　太,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,52.0,53.3,55.5,48.5,52.7,51.2
8,2019-03-18,若　松,1,6.80,6.87,6.79,6.9,6.93,6.87,0.19,0.09,0.05,0.12,0.12,0.05,6,1,2,5,4,3.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,幸　本　　　　誠,原　　　　義　昭,石　倉　　洋　行,井　上　　　　茂,金　森　　史　吉,藤　井　　定　美,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,48.5,55.8,52.4,52.0,53.5,51.7
9,2019-03-18,福　岡,1,6.85,6.87,6.86,6.87,6.91,6.89,0.04,0.09,0.06,0.01,0.13,0.01,1,2,3,5,6,4.0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,堀之内　　紀代子,白　石　　有　美,柴　田　　朋　哉,上　田　　紗　奈,竹　下　　大　樹,犬　童　　千　秋,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,46.5,58.5,51.0,46.5,52.1,49.4
