date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
2019-07-20,桐　生,1,6.77,6.84,6.86,6.85,6.85,6.81,.14,.19,.21,.07,.08,0.11,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,澤　崎　　雄　哉,秦　　　　直　也,桐　村　　翔　太,金　子　　賢　志,倉　田　　茂　将,山　崎　　鉄　平,26.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,25.0,2,曇り,51.0,51.4,49.5,50.5,56.0,51.7,3
2019-07-20,戸　田,1,6.80,6.81,6.87,6.80,6.67,6.9,.02,.13,.15,.23,.12,0.22,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,酒　井　　陽　祐,山　本　　良　一,川　俣　　昌　史,福　田　　翔　吾,白　石　　浩　二,中　島　　　　航,30.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,29.0,0,曇り,51.0,53.5,52.2,51.9,51.2,50.5,1
2019-07-20,平和島,1,6.80,6.84,6.80,6.84,6.90,6.79,.12,.04,.08,.11,.01,0.06,1,2,3,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,佐　竹　　太　一,山ノ内　　雅　人,新　田　　洋　一,宮　地　　元　輝,廣　瀬　　真　也,菊　地　　敬　介,27.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,25.0,3,曇り,51.0,52.4,52.5,54.8,49.0,57.0,2
2019-07-20,蒲　郡,1,6.78,6.76,6.70,6.71,6.77,6.72,.05,.13,.05,.05,.01,0.12,1,2,3,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,0,中　島　　浩　哉,浦　上　　拓　也,片　橋　　幸　貴,林　　　　祐　介,市　川　　美　宏,三　品　　隆　浩,26.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,29.0,0,曇り,55.8,51.5,52.4,54.4,52.9,53.8,1
2019-07-20,三　国,1,6.64,6.70,6.66,6.71,6.71,6.74,.04,.03,.06,.08,.07,0.04,1,2,3,4,6,5.0,0,1,0,0,0,0,0,0,0,0,0,0,河　合　　佑　樹,後　藤　　陽　介,森　　　　智　也,花　本　　夏　樹,佐々木　　大　河,窪　田　　好　弘,26.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,25.0,1,曇り,51.0,56.1,50.0,52.9,51.0,52.3,1
2019-07-20,尼　崎,1,6.74,6.72,6.66,6.60,6.79,6.78,.03,.05,.03,.12,.34,0.23,1,2,3,4,5,6.0,0,1,1,0,0,0,0,0,0,0,0,0,古　場　　健　也,香　月　　大　介,松　江　　秀　徳,泉　　　　具　巳,山　本　　修　次,町　田　　洸　希,30.2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,27.3,0,曇り,52.8,51.0,51.8,54.4,56.1,53.3,2
2019-07-20,鳴　門,1,6.76,6.76,6.79,6.75,6.79,6.8,.17,.04,.39,.24,.13,0.27,1,3,4,6,2,5.0,0,0,0,0,0,0,0,0,0,0,0,0,長谷川　　　　充,田　中　　宏　樹,森　下　　　　勇,坂　口　　貴　彦,伊　藤　　雄　二,中　岡　　正　彦,25.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,5,曇り,51.7,51.1,52.9,53.7,51.0,51.2,5
2019-07-20,児　島,1,6.81,6.86,6.80,6.85,6.81,6.79,.04,.09,.10,.23,.22,0.24,1,2,3,4,5,6.0,1,0,0,0,0,0,0,0,0,0,0,0,中　村　　　　尊,池　田　　剛　規,薮　内　　瑞　希,篠　木　　亜衣花,岩　永　　節　也,金　田　　大　輔,27.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,24.0,1,曇り,53.2,51.0,44.5,47.0,51.0,50.0,1
2019-07-20,宮　島,1,6.74,6.77,6.69,6.73,6.76,6.72,.18,.15,.01,.11,.17,0.16,1,2,3,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,0,山　本　　梨　菜,野田部　　宏　子,中　川　　り　な,仁　科　　さやか,金　子　　千　穂,大豆生田　　　　蒼,25.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,23.0,1,曇り,48.1,50.7,47.6,46.5,46.0,46.5,1
2019-07-20,徳　山,1,7.13,7.09,7.11,7.16,7.13,7.19,.11,.04,.05,.13,.02,0.02,1,2,3,4,5,6.0,0,0,0,0,1,1,0,0,0,0,0,0,平　野　　和　明,品　川　　賢　次,岩　谷　　　　真,原　村　　拓　也,平　池　　仁　志,小　澤　　和　也,26.0,-0.5,-0.5,0.0,-0.5,-0.5,0.0,24.0,8,曇り,52.1,52.4,51.0,52.5,52.1,55.7,8
2019-07-20,若　松,1,7.42,7.35,7.30,7.34,7.30,7.23,.02,.01,.17,.06,.14,0.12,1,2,3,4,6,5.0,0,1,0,1,0,0,0,0,0,0,0,0,塩　田　　雄　一,土井内　　大　助,木　村　　恒　一,吉　村　　茂　樹,篠　原　　飛　翔,宮　地　　博　士,25.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,25.0,3,雨,50.0,52.5,56.7,61.4,52.6,54.1,3
2019-07-20,芦　屋,1,6.78,6.79,6.83,6.80,6.80,6.83,.25,.18,.16,.12,.11,0.34,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,小　野　　達　哉,坪　口　　竜　也,古　田　　祐　貴,木　村　　仁　紀,新　美　　恵　一,高　田　　　　明,29.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,26.0,4,雨,51.0,52.0,51.0,51.9,51.6,51.0,4
2019-07-20,桐　生,2,6.78,6.74,6.83,6.87,6.76,6.79,.38,.26,.24,.17,.13,0.44,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,妻　鳥　　晋　也,中　村　　将　隆,佐　藤　　駿　介,富　澤　　祐　作,蒲　原　　健　太,原　田　　才一郎,29.0,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,25.0,1,曇り,54.7,54.7,50.5,52.9,51.2,51.4,2
2019-07-20,戸　田,2,6.83,6.83,6.83,6.77,6.78,6.82,.14,.08,.02,.01,.06,0.18,1,2,3,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,0,塚　崎　　　　勝,川　崎　　誠　志,谷　　　　勝　幸,加　藤　　高　史,今　泉　　　　徹,大　澤　　誠　也,29.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,28.0,0,曇り,54.9,51.3,53.8,51.2,51.0,52.4,0
2019-07-20,平和島,2,6.78,6.96,6.76,6.78,6.93,6.93,.25,.08,.03,.02,.18,0.42,1,2,3,4,6,5.0,0,0,0,1,0,0,0,0,0,0,0,0,吉　原　　聖　人,前　川　　竜　次,小　坂　　宗　司,和　田　　兼　輔,中　谷　　有　希,櫻　井　　　　優,28.0,-0.5,0.0,0.0,-0.5,-0.5,-0.5,25.0,3,曇り,51.0,51.0,51.0,51.0,56.4,51.6,2
2019-07-20,蒲　郡,2,6.72,6.63,6.72,6.66,6.71,6.72,.03,.01,.04,.01,.06,0.02,1,2,3,4,5,6.0,0,0,0,0,1,1,0,0,0,0,0,0,池　田　　紫　乃,茶　谷　　　　桜,大　瀧　　明日香,堀之内　　紀代子,渡　辺　　千　草,森　岡　　真　希,29.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,29.0,0,曇り,45.0,47.0,45.5,46.0,47.6,47.2,1
2019-07-20,三　国,2,6.63,6.73,6.67,6.66,6.68,6.66,.01,.03,.09,.12,.19,0.09,1,2,3,4,5,6.0,1,0,0,0,0,0,0,0,0,0,0,0,繁野谷　　圭　介,渡　邉　　英　児,一　色　　雅　昭,樋　口　　範　政,横　川　　光　弥,石　原　　　　光,24.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,2,雨,51.1,51.3,54.1,54.9,54.3,50.5,3
2019-07-20,尼　崎,2,6.79,6.70,6.76,6.65,6.74,6.72,.01,.01,.03,.10,.11,0.06,1,2,3,4,5,6.0,1,0,0,0,0,0,0,0,0,0,0,0,山　本　　浩　次,重　木　　輝　彦,永　瀬　　　　巧,吉　田　　　　光,石　田　　章　央,宮　崎　　光　基,28.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,27.0,0,曇り,51.2,49.5,52.6,50.0,52.2,53.1,1
2019-07-20,鳴　門,2,6.73,6.63,6.66,6.74,6.71,6.73,.16,.30,.07,.18,.16,0.25,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,武　藤　　綾　子,西　村　　美智子,土　屋　　　　南,柳　澤　　千　春,廣　中　　智紗衣,五反田　　　　忍,26.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,5,曇り,48.1,49.2,47.4,47.0,46.0,47.9,5
2019-07-20,児　島,2,6.82,6.90,6.81,6.93,6.81,6.89,.14,.18,.06,.04,.11,0.06,1,2,6,3,4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,福　田　　　　理,久　富　　政　弘,西　橋　　奈　未,杉　江　　浩　明,山　川　　波　乙,宮　武　　英　司,25.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,1,曇り,51.7,54.7,47.3,50.0,45.5,53.5,1
2019-07-20,宮　島,2,6.81,6.79,6.82,6.84,6.74,6.83,.09,.07,.22,.14,.04,0.03,1,2,3,4,6,5.0,1,0,0,1,0,1,0,0,0,0,0,0,村　上　　奈　穂,今　井　　裕　梨,鈴　木　　成　美,中　田　　夕　貴,赤　井　　星璃菜,平　川　　香　織,23.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,23.0,1,雨,48.1,45.0,44.5,47.0,51.9,47.0,1
2019-07-20,徳　山,2,7.11,7.16,7.15,7.07,7.13,7.17,.02,.03,.09,.21,.09,0.07,1,2,3,4,5,6.0,1,0,0,0,0,0,0,0,0,0,0,0,大　賀　　広　幸,夏　山　　亮　平,別　府　　正　幸,遠　藤　　晃　司,山　崎　　昭　生,大　石　　和　彦,25.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,23.0,5,曇り,51.0,55.4,56.8,52.5,51.0,53.0,5
2019-07-20,若　松,2,7.09,7.08,7.23,7.13,7.08,7.09,.02,.28,.03,.18,.09,0.11,1,2,3,5,4,6.0,0,0,0,1,1,0,0,0,0,0,0,0,荒　田　　泰　明,片　山　　雅　雄,松　下　　哲　也,坂　野　　泰　章,山　一　　鉄　也,柳　瀬　　幹　太,28.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5,25.0,7,曇り,52.1,48.5,51.0,51.0,51.0,53.4,7
2019-07-20,芦　屋,2,6.83,6.79,6.90,6.85,6.85,6.8,.01,.17,.05,.04,.07,0.05,1,5,2,3,4,6.0,0,0,0,0,0,1,0,0,0,0,0,0,梶　野　　学　志,中　山　　雄　太,中　田　　達　也,寺　本　　重　宣,深　川　　真　二,新　開　　　　航,28.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,26.0,8,曇り,51.4,52.0,51.0,49.5,51.3,51.0,8
2019-07-20,桐　生,3,6.83,6.76,6.82,6.82,6.83,6.81,.05,.10,.07,.02,.11,0.13,1,2,3,4,6,5.0,0,1,1,0,1,0,0,0,0,0,0,0,松　山　　　　靖,菊　池　　宏　志,山　崎　　　　郡,久　永　　祥　平,伊久間　　陽　優,大　谷　　健　太,29.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,25.0,2,雨,55.9,53.6,50.5,50.5,51.0,51.4,3
2019-07-20,戸　田,3,6.88,6.78,6.74,6.76,6.73,6.78,.04,.09,.01,.06,.09,0.06,1,2,3,4,5,6.0,1,0,1,0,0,0,0,0,0,0,0,0,黄金井　　力　良,大　場　　広　孝,佐々木　　和　伸,後　藤　　孝　義,山　谷　　　　央,吉　村　　正　明,28.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,28.0,0,曇り,55.2,55.3,53.7,51.0,51.0,50.0,0
2019-07-20,平和島,3,6.80,6.87,6.89,6.81,6.82,6.88,.29,.19,.30,.01,.24,0.01,1,2,3,6,4,5.0,0,0,0,0,0,1,0,0,0,0,0,0,牧　　　　宏　次,野　田　　貴　博,田　中　　定　雄,森　　　　晋太郎,秋　元　　　　誠,吉　田　　隆　義,28.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,25.0,3,曇り,51.7,53.1,52.6,53.0,53.1,54.2,4
2019-07-20,蒲　郡,3,6.70,6.71,6.67,6.73,6.70,6.73,.08,.04,.03,.02,.01,0.01,1,2,3,4,5,6.0,0,1,1,1,0,1,0,0,0,0,0,0,宮　嵜　　隆太郎,木　山　　和　幸,桑　原　　　　悠,野　中　　義　生,星　　　　栄　爾,中　村　　有　裕,29.0,-0.5,-0.5,0.0,-0.5,0.0,-0.5,29.0,0,曇り,59.4,49.0,50.0,52.7,51.3,53.1,1
2019-07-20,三　国,3,6.63,6.62,6.68,6.70,6.68,6.68,.12,.06,.12,.17,.02,0.01,1,2,3,4,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,浜　野　　孝　志,吉　田　　和　仁,稲　田　　浩　二,神　田　　達　也,鈴　木　　慶　太,坂　東　　　　満,24.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,2,雨,55.8,54.6,51.0,51.0,51.4,53.5,3
2019-07-20,尼　崎,3,6.70,6.70,6.69,6.67,6.68,6.7,.09,.10,.14,.09,.08,0.01,1,2,3,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,藤　生　　雄　人,樋　口　　喜　彦,木　場　　雄二郎,小　林　　　　晋,吉　田　　翔　悟,船　岡　　洋一郎,29.1,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,27.1,0,曇り,51.5,53.7,55.8,53.9,52.2,52.0,3
2019-07-20,鳴　門,3,6.68,6.73,6.71,6.59,6.72,6.72,.08,.06,.08,.27,.15,0.03,1,2,3,5,6,4.0,0,1,0,0,0,1,0,0,0,0,0,0,石　岡　　将　太,小　畑　　実　成,今　出　　晋　二,下　出　　卓　矢,吉　崎　　悠　司,水　原　　　　慎,26.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,24.0,6,曇り,53.7,51.0,56.7,53.4,52.1,50.5,6
2019-07-20,児　島,3,6.80,6.80,6.81,6.75,6.94,6.84,.03,.03,.01,.41,.13,0.17,1,2,3,5,4,6.0,0,1,0,0,0,0,0,0,0,0,0,0,一　柳　　和　孝,田　山　　和　広,平　見　　真　彦,谷　口　　　　勝,小　菅　　文　隆,寺　田　　千　恵,25.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,24.0,1,曇り,52.2,53.1,52.6,52.5,60.4,45.5,1
2019-07-20,宮　島,3,6.79,6.80,6.83,6.84,6.75,6.84,.10,.27,.10,.02,.01,0.01,1,2,3,4,5,6.0,0,0,0,1,1,0,0,0,0,0,0,0,豊　田　　　　結,高　石　　梨　菜,森　下　　愛　梨,津　田　　裕　絵,川　野　　芽　唯,出　口　　舞有子,24.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,23.0,3,曇り,57.6,49.6,51.0,48.8,46.5,47.0,3
2019-07-20,徳　山,3,7.09,7.12,7.07,7.10,7.16,7.12,.07,.13,.04,.09,.03,0.01,1,2,3,4,5,6.0,1,0,1,0,0,1,0,0,0,0,0,0,是　澤　　孝　宏,飯　島　　　　誠,山　口　　修　路,萩　原　　知　哉,井　上　　大　輔,井　内　　将太郎,25.0,-0.5,0.0,-0.5,-0.5,0.0,-0.5,23.0,5,曇り,50.5,52.9,51.0,52.5,51.4,51.9,5
2019-07-20,若　松,3,7.04,6.92,6.98,7.07,7.12,7.06,.24,.24,.03,.09,.04,0.32,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,江　本　　真　治,加　藤　　　　翔,竹　井　　貴　史,篠　原　　俊　夫,武　田　　正　紀,中　村　　日　向,28.0,-0.5,-0.5,0.0,-0.5,-0.5,0.0,25.0,7,曇り,54.0,50.5,51.0,52.4,54.3,56.6,7
2019-07-20,芦　屋,3,6.84,6.77,6.81,6.87,6.84,6.81,.21,.11,.24,.06,.04,0.05,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,鶴　田　　勇　雄,松　田　　大志郎,川　上　　昇　平,田　中　　信一郎,三　原　　　　司,豊　田　　健士郎,28.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,26.0,8,曇り,52.1,51.0,51.0,52.4,50.5,51.0,8
2019-07-20,桐　生,4,6.79,6.77,6.84,6.79,6.74,6.74,.12,.18,.16,.17,.12,0.09,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,佐々木　　翔　斗,金　児　　隆　太,川　原　　祐　明,伏　見　　　　卓,向井田　　佑　紀,堀　本　　和　也,29.0,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,25.0,1,曇り,51.8,50.5,51.0,53.0,50.0,52.4,2
2019-07-20,戸　田,4,6.87,6.80,6.74,6.79,6.81,6.77,.05,.10,.05,.03,.04,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,柳　田　　英　明,豊　田　　訓　靖,石　倉　　洋　行,中　井　　俊　祐,高　柳　　成　聡,市　橋　　卓　士,29.0,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,28.0,0,曇り,51.6,51.9,52.0,51.0,51.5,51.5,0
2019-07-20,平和島,4,6.82,6.85,6.82,6.82,6.89,6.75,.23,.08,.05,.03,.01,0.05,1,2,3,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,0,塩　崎　　優　司,飯　島　　昌　弘,堤　　　　健　一,金　子　　貴　志,濱　崎　　　　誠,竹　田　　広　樹,28.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,25.0,3,曇り,51.2,51.8,50.5,50.5,51.2,53.4,2
