date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-05-15,唐　津,9,6.70,6.75,6.80,6.89,6.74,6.75,.13,.04,.10,.14,.47,0.14,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,後　藤　　　　浩,前　田　　光　昭,鋤　柄　　貴　俊,金　子　　猛　志,中　島　　友　和,野　村　　　　誠,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,51.9,51.0,56.6,52.4,50.5
2019-05-15,桐　生,10,6.66,6.73,6.71,6.74,6.69,6.73,.17,.01,.01,.09,.07,0.16,1,2,3,4,5,6.0,0,1,1,1,0,0,0.0,,,,0.0,0.0,松　本　　晶　恵,長　嶋　　万　記,香　川　　素　子,加　藤　　　　綾,久保田　　美　紀,池　田　　紫　乃,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,46.5,49.5,47.0,47.9,48.1,44.5
2019-05-15,江戸川,10,7.06,6.95,6.94,6.99,6.92,7.08,.01,.08,.11,.03,.13,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,若　林　　　　将,山　田　　雄　太,野　中　　一　平,荒　川　　健　太,濱　崎　　　　誠,桑　原　　将　光,0.5,0.5,1.0,0.5,0.5,0.0,51.8,55.2,53.6,54.1,51.0,51.7
2019-05-15,多摩川,10,6.70,6.69,6.66,6.70,6.77,6.76,.27,.12,.13,.19,.04,0.01,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,岡　谷　　健　吾,北　村　　征　嗣,小　林　　基　樹,西　舘　　　　健,藤　山　　雅　弘,清　埜　　翔　子,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.4,52.4,51.5,54.1,52.0,49.0
2019-05-15,　津　,10,6.73,6.69,6.69,6.70,6.69,6.76,.08,.10,.17,.07,.12,0.2,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,松　井　　　　繁,魚　谷　　智　之,吉　永　　則　雄,毒　島　　　　誠,吉　川　　元　浩,村　松　　修　二,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,50.5,51.2,51.1,50.5,52.7
2019-05-15,三　国,10,6.81,6.79,6.92,6.81,6.81,6.87,.14,.23,.16,.06,.11,0.17,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,角　山　　雄　哉,服　部　　幸　男,秋　元　　　　誠,古　田　　祐　貴,河　野　　　　大,島　田　　賢　人,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.0,53.2,53.5,51.0,51.0,54.8
2019-05-15,住之江,10,6.80,6.84,6.80,6.82,6.80,6.87,.22,.16,.29,.17,.24,0.2,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,仲　口　　博　崇,椎　名　　　　豊,沖　　　　　　悟,池　田　　浩　美,前　野　　竜　一,眞　田　　英　二,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.5,51.2,51.8,51.7,58.7,50.5
2019-05-15,児　島,10,6.62,6.75,6.64,6.68,6.70,6.73,.02,.06,.19,.08,.09,0.38,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,平　高　　奈　菜,原　田　　佑　実,小　芦　　るり華,浜　田　　亜理沙,喜　井　　つかさ,勝　浦　　真　帆,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,46.0,46.5,49.9,47.0,47.7,46.0
2019-05-15,下　関,10,6.81,6.84,6.90,6.85,6.86,6.79,.14,.21,.03,.15,.06,0.24,1,3,6,4,2,5.0,1,1,1,0,0,0,,,,0.0,0.0,0.0,高　山　　智　至,金　子　　賢　志,長谷川　　　　充,榮　田　　将　彦,畔　柳　　俊　吾,西　川　　昌　希,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.8,50.5,51.0,50.0,51.4,52.7
2019-05-15,福　岡,10,6.90,6.90,6.92,6.87,6.93,6.91,.29,.23,.29,.17,.05,0.06,1,2,3,5,6,4.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,小　池　　公　生,川　上　　　　剛,中　島　　浩　哉,土　屋　　智　則,笠　　　　雅　雄,藤　山　　翔　大,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.0,52.0,54.4,51.1,59.0,51.0
