,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-10-07,桐　生,1,6.84,6.82,6.88,6.89,6.79,6.79,0.07,0.07,0.09,0.06,0.07,0.05,1,2,3,4,5,6.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,萩　原　　善　行,近　藤　　稔　也,栗　原　　謙　治,原　田　　富士男,品　川　　賢　次,河　上　　哲　也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,49.0,54.4,54.6,51.5,51.6,52.0
1,2019-10-07,戸　田,1,6.78,6.62,6.68,6.69,6.75,6.84,0.04,0.06,0.01,0.03,0.01,0.16,1,2,3,4,5,6.0,1,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,森　　　　秋　光,黄金井　　力　良,佐　藤　　謙史朗,中　北　　将　史,松　本　　純　平,生　方　　靖　亜,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,56.4,54.6,54.4,51.5,54.6,53.0
2,2019-10-07,江戸川,1,6.68,6.64,6.71,6.71,6.83,6.74,0.06,0.11,0.15,0.14,0.06,0.03,1,2,3,4,5,6.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,幸　野　　史　明,山　川　　雄　大,廣　瀬　　真　也,宮　村　　勇　哉,山　口　　　　亮,吉　川　　貴　仁,-0.5,0.0,0.0,0.5,0.5,0.0,50.0,50.5,50.0,54.2,51.5,51.0
3,2019-10-07,平和島,1,6.66,6.64,6.68,6.67,6.75,6.64,0.21,0.18,0.3,0.17,0.01,0.14,1,2,3,6,4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,上　村　　純　一,岡　　　　祐　臣,坪　井　　康　晴,海　野　　康志郎,三　嶌　　誠　司,深　川　　真　二,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,53.9,51.0,58.8,52.3,50.0
4,2019-10-07,蒲　郡,1,6.63,6.7,6.64,6.68,6.68,6.7,0.05,0.02,0.04,0.11,0.18,0.02,1,2,3,4,6,5.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,加　藤　　啓　太,山　本　　修　次,渡　邉　　　　健,前　田　　　　滉,滝　沢　　　　崚,宮　地　　孝四朗,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,54.6,53.9,49.5,53.9,53.6
5,2019-10-07,　津　,1,6.74,6.7,6.74,6.76,6.73,6.67,0.11,0.21,0.11,0.03,0.01,0.04,1,2,3,5,6,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,安　田　　政　彦,宮　田　　政　勝,中　村　　守　成,石　原　　　　光,齋　藤　　　　勇,矢　橋　　成　介,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.7,52.0,52.4,49.5,51.0,59.7
6,2019-10-07,三　国,1,6.62,6.68,6.63,6.63,6.61,6.65,0.05,0.08,0.29,0.18,0.22,0.39,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,青　木　　幸太郎,寺　嶋　　　　雄,西　山　　祐　希,福　嶋　　智　之,飯　島　　　　誠,橋　本　　健　造,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.1,50.5,50.5,52.6,52.0,50.0
7,2019-10-07,びわこ,1,6.74,6.77,6.69,6.7,6.72,6.73,0.01,0.07,0.05,0.01,0.02,0.01,1,2,3,4,5,6.0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,前　田　　聖　文,小　林　　孝　弘,井　上　　　　茂,吉　田　　翔　悟,小　池　　哲　也,森　　　　智　也,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.2,51.0,51.8,51.0,53.0,50.5
8,2019-10-07,丸　亀,1,6.8,6.8,6.73,6.76,6.77,6.84,0.04,0.01,0.09,0.04,0.05,0.11,1,2,3,4,5,6.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,中　村　　晃　朋,内　田　　　　圭,植　田　　太　一,小　西　　英　輝,樫　葉　　次　郎,森　下　　　　勇,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.0,54.9,60.0,53.8,56.7,54.9
9,2019-10-07,唐　津,1,6.72,6.7,6.78,6.71,6.68,6.71,0.06,0.17,0.1,0.23,0.19,0.25,1,2,3,5,4,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,岡　瀬　　正　人,蜂　須　　瑞　生,森　岡　　真　希,田　川　　大　貴,菅　沼　　佳　昭,北　川　　太　一,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.5,46.0,47.0,52.0,50.5,50.5
